filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,avg_ms_mean,avg_ms_stdev,avg_ms_cv_pct,p50_ms_mean,p90_ms_mean,p99_ms_mean,p99_ms_stdev,p99_ms_cv_pct,max_ms_mean,disk_util_mean,disk_await_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,3,200000,3624.91,1.8,0,326770,0.16,0.0,0.0,0.0,0.01,5.213333333333334,0.07767453465153999,1.4899207413978257,47.21333333333333,82.2097435897436,0.0,11.593406593406593,3
ext4,1024,scenario_b,3,200000,3676.0899999999997,1.8,0,331689.6666666667,0.14,0.0,0.0,0.0,0.01,4.663333333333333,0.04932882862316244,1.0578019004252133,51.73,86.74684981684982,0.0,13.567765567765568,3
ext4,10240,scenario_a,3,20000,1352.57,6.733333333333333,0,150974,5.876666666666666,0.8500784277543652,14.465316411021531,0.01,8.3,113.86333333333333,17.172688587793502,15.081842490523876,259.8933333333333,75.81571326916979,0.0,12.215627739540784,0
ext4,10240,scenario_b,3,20000,1174.9566666666667,5.866666666666667,0,132533,7.34,1.3079373073660676,17.81930936466032,0.01,10.113333333333333,145.81,13.762190959291333,9.43844109408911,329.7033333333333,76.24432725587215,0.0,11.986299273899768,0
ext4,102400,scenario_a,3,2000,622.3766666666667,31.133333333333333,0,63261.666666666664,12.813333333333333,1.564363555358323,12.208872700507206,0.02,38.193333333333335,188.46666666666667,18.327382064368418,9.724468728883137,403.4766666666667,83.51593026207247,0.0,14.037121644774414,3
ext4,102400,scenario_b,3,2000,541.2733333333333,27.066666666666666,0,55343.666666666664,15.973333333333333,0.7059981114233476,4.419854620763862,0.02,61.72666666666667,222.95333333333335,15.424637218856493,6.918325457729491,424.77666666666664,84.63854368932039,0.0,13.754045307443366,3
ext4,1024000,scenario_a,3,200,124.28333333333333,62.13333333333333,2.3333333333333335,14943.666666666666,13.946666666666667,2.4532699267168563,17.5903675433809,0.2,19.71666666666667,287.78333333333336,32.441384577932745,11.27285037745969,757.26,72.22123583279465,0.0,11.270074696545285,0
ext4,1024000,scenario_b,3,200,137.64000000000001,68.83333333333333,0,13246.333333333334,28.94,2.4990398156091884,8.635244698027602,0.19333333333333333,56.776666666666664,510.7633333333334,31.425922951177338,6.15273667866605,1156.4466666666667,93.63537414965987,0.0,14.369941791149449,3
f2fs,1024,scenario_a,3,200000,3755.293333333333,1.9,0,338630.3333333333,0.15666666666666668,0.005773502691896263,3.685214484189104,0.0,0.01,5.13,0.168226038412607,3.2792600080430216,48.53666666666666,71.22842490842491,0.0,7.875457875457875,0
f2fs,1024,scenario_b,3,200000,3619.306666666667,1.8,0,326821.6666666667,0.14,0.0,0.0,0.0,0.01,4.6466666666666665,0.05507570547286119,1.1852734319841003,68.83666666666667,87.15780856824335,0.0,16.761904761904763,3
f2fs,10240,scenario_a,3,20000,1459.87,7.333333333333333,0,161890,5.180000000000001,0.5282991576748917,10.19882543773922,0.01,5.746666666666667,111.96666666666667,14.528486959533451,12.975725179696443,253.02,75.60768067846608,0.0,11.709291703207633,0
f2fs,10240,scenario_b,3,20000,1128.14,5.633333333333333,0,125885.66666666667,7.8533333333333335,0.6278003929063231,7.994062728009207,0.01,11.103333333333333,145.86666666666667,14.795236846138474,10.142986868924913,344.74333333333334,74.85150100084282,0.0,11.9102402022756,0
f2fs,102400,scenario_a,3,2000,631.4499999999999,31.566666666666666,0,64574.333333333336,12.153333333333334,0.694070121337415,5.710944498113672,0.02,35.50333333333333,180.32666666666668,5.111460978363561,2.834556348680299,380.34,85.02902912621359,0.0,13.809061488673139,3
f2fs,102400,scenario_b,3,2000,488.7633333333333,24.433333333333334,0,50177.333333333336,18.503333333333334,0.5462905209989766,2.95238977300834,0.02,63.75666666666667,274.4866666666667,25.566621468886602,9.314340029468317,532.72,82.95694859347772,0.0,14.507841672890217,3
f2fs,1024000,scenario_a,3,200,132.89666666666668,66.43333333333334,0,15971.666666666666,6.266666666666667,0.3527510926040248,5.629006796872737,0.16666666666666666,2.94,30.953333333333333,14.794763713332273,47.79699670471335,5526.58,75.05835858585858,0.0,10.347130587772298,0
f2fs,1024000,scenario_b,3,200,133.02,66.53333333333333,0,12758.666666666666,34.57666666666667,2.5436653343813376,7.356595009297226,0.18333333333333332,82.77,577.66,9.14277310229231,1.5827256694755238,1194.2866666666666,90.00321095448489,0.0,13.49954414755593,3
