filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,200000,120,30,16,False,False,5,331348,3671.45,1.8,451319,0,0.16,0.0,0.01,5.11,14.06,59.34,82.04813186813186,93.3,0.0,0.0,0.0,8.659230769230769,0.0,0.0,4.857142857142857,54.79120879120879,28.75824175824176,11.637362637362637,True,disk util avg 82.05% >= 80.00% | cpu iowait avg 11.64% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r1_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r1_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r1_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,2,200000,120,30,16,False,False,5,326226,3619.63,1.8,441454,0,0.16,0.0,0.01,5.23,14.73,56.07,82.72065934065934,90.6,0.0,0.0,0.0,8.956813186813187,0.0,0.0,4.527472527472527,54.73626373626374,28.813186813186814,11.945054945054945,True,disk util avg 82.72% >= 80.00% | cpu iowait avg 11.95% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r2_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r2_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r2_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,3,200000,120,30,16,False,False,5,330595,3668.55,1.8,447822,0,0.16,0.0,0.01,5.22,14.19,35.39,82.48076923076923,90.9,0.0,0.0,0.0,8.785934065934066,0.0,0.0,4.725274725274725,55.175824175824175,28.47252747252747,11.736263736263735,True,disk util avg 82.48% >= 80.00% | cpu iowait avg 11.74% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r3_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r3_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r3_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,4,200000,120,30,16,False,False,5,330001,3659.4,1.8,449218,0,0.16,0.0,0.01,5.12,14.34,44.16,82.08472527472527,88.61,0.0,0.0,0.0,8.705384615384615,0.0,0.0,4.758241758241758,54.83516483516483,28.76923076923077,11.615384615384615,True,disk util avg 82.08% >= 80.00% | cpu iowait avg 11.62% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r4_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r4_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r4_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,5,200000,120,30,16,False,False,5,330204,3662.06,1.8,448638,0,0.16,0.0,0.01,5.18,14.51,53.94,82.7176923076923,91.9,0.0,0.0,0.0,8.737582417582418,0.0,0.0,4.681318681318682,55.05494505494506,28.67032967032967,11.67032967032967,True,disk util avg 82.72% >= 80.00% | cpu iowait avg 11.67% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r5_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r5_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r5_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,1,200000,120,30,16,True,True,5,335384,3718.43,1.9,458615,0,0.14,0.0,0.01,4.7,14.31,57.95,85.98206521739131,94.9,0.0,0.0,0.0,9.376739130434782,0.0,0.0,8.417582417582418,53.07692307692308,25.021978021978022,13.516483516483516,True,disk util avg 85.98% >= 80.00% | cpu iowait avg 13.52% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r1_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r1_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r1_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,2,200000,120,30,16,True,True,5,337904,3742.02,1.9,456345,0,0.14,0.0,0.01,4.57,14.2,77.98,86.23637362637363,95.25,0.0,0.0,0.0,9.37021978021978,0.0,0.0,8.131868131868131,53.285714285714285,24.98901098901099,13.582417582417582,True,disk util avg 86.24% >= 80.00% | cpu iowait avg 13.58% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r2_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r2_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r2_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,3,200000,120,30,16,True,True,5,332679,3688.03,1.8,456307,0,0.14,0.0,0.01,4.7,14.68,41.81,86.70021978021978,96.0,0.0,0.0,0.0,9.468681318681318,0.0,0.0,7.9010989010989015,53.51648351648352,25.065934065934066,13.604395604395604,True,disk util avg 86.70% >= 80.00% | cpu iowait avg 13.60% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r3_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r3_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r3_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,4,200000,120,30,16,True,True,5,335041,3713.6,1.9,458905,0,0.14,0.0,0.01,4.6,14.46,69.31,86.54241758241758,94.04,0.0,0.0,0.0,9.357142857142858,0.0,0.0,7.857142857142857,53.54945054945055,25.087912087912088,13.56043956043956,True,disk util avg 86.54% >= 80.00% | cpu iowait avg 13.56% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r4_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r4_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r4_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,5,200000,120,30,16,True,True,5,340874,3776.96,1.9,463959,0,0.14,0.0,0.01,4.48,13.54,40.29,86.67835164835165,93.84,0.0,0.0,0.0,9.308351648351648,0.0,0.0,8.032967032967033,53.527472527472526,24.967032967032967,13.472527472527473,True,disk util avg 86.68% >= 80.00% | cpu iowait avg 13.47% >= 5.00%,results/kafka_fs_bench_20260426_223151/raw/r5_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r5_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260426_223151/monitor/r5_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
