filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,block_util_mean,block_await_mean,block_await_stdev,block_await_cv_pct,block_wkB_s_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,1,100000,1962.44,2.0,0,294827,15.48,0.0,0.0,13.9,26.74,51.28,0.0,0.0,178.46,4.0229605263157895,5.1400657894736845,0.0,0.0,2221.271578947368,0.743421052631579,0
ext4,1024,scenario_b,1,100000,1861.39,1.9,0,279607,18.04,0.0,0.0,15.13,32.67,72.33,0.0,0.0,255.4,32.908223684210526,11.7125,0.0,0.0,2846.0463157894737,4.355263157894737,0
ext4,10240,scenario_a,1,10000,2051.09,20.5,0,308049,18.2,0.0,0.0,13.51,36.28,96.62,0.0,0.0,334.84,12.485657894736843,8.102565789473685,0.0,0.0,19422.787368421054,0.7960526315789473,0
ext4,10240,scenario_b,1,10000,1975.53,19.8,0,296873,38.72,0.0,0.0,17.88,77.49,380.51,0.0,0.0,826.29,37.004473684210524,13.189934210526316,0.0,0.0,20430.147368421054,4.23841059602649,0
f2fs,1024,scenario_a,1,100000,1910.68,1.9,0,287032,15.86,0.0,0.0,14.37,27.62,49.56,0.0,0.0,126.63,2.9595394736842104,2.7776315789473687,0.0,0.0,1494.703157894737,0.6052631578947368,0
f2fs,1024,scenario_b,1,100000,824.29,0.8,7021,181784,18.26,0.0,0.0,15.61,34.14,62.62,0.0,0.0,168.33,15.558715596330275,4.609449541284404,0.0,0.0,1612.9878899082569,1.817351598173516,0
f2fs,10240,scenario_a,1,10000,1990.91,19.9,0,299022,19.25,0.0,0.0,14.99,39.45,83.85,0.0,0.0,250.12,15.865328947368422,6.80875,0.0,0.0,19683.772631578948,0.7828947368421053,0
f2fs,10240,scenario_b,1,10000,1868.39,18.7,0,280798,34.08,0.0,0.0,26.12,73.0,130.35,0.0,0.0,554.36,44.796513157894736,12.172236842105264,0.0,0.0,18022.871578947368,4.046052631578948,0
