filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,block_util_avg,block_util_max,block_await_avg,block_await_max,block_r_await_avg,block_w_await_avg,block_rkB_s_avg,block_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,102400,scenario_a_dynamic,1,1000,180,30,8,False,True,5,111558,743.12,74.3,133112,0,13.05,7.36,27.22,104.79,219.58,425.12,34.8317880794702,100.1,9.812781456953642,26.72,0.0,9.812781456953642,0.0,75689.53642384105,8.57615894039735,46.0728476821192,41.66225165562914,3.7549668874172184,False,disk await avg 9.81 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_dynamic_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_102400B_1000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b_dynamic,1,1000,180,30,8,True,True,5,110735,737.77,73.8,132427,0,12.04,6.67,26.43,92.67,160.4,267.8,32.01304635761589,100.5,8.703774834437086,22.86,0.0,8.703774834437086,0.0,75058.18278145696,12.205298013245033,46.52317880794702,38.13245033112583,3.0927152317880795,False,disk await avg 8.70 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_dynamic_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_102400B_1000ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a,1,100,180,30,8,False,False,5,13988,93.18,93.2,16758,0,14.56,7.53,36.34,72.71,105.6,150.98,21.839868421052632,100.1,5.998684210526315,20.729999999999997,0.0,5.998684210526315,0.0,93154.35789473684,5.006622516556291,17.2317880794702,77.24503311258277,0.31788079470198677,False,disk await avg 6.00 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_1024000B_100ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,1,100,180,30,8,True,False,5,13901,92.6,92.6,16633,0,16.16,9.87,36.44,84.95,137.28,196.46,20.994934210526317,100.8,5.602697368421053,17.2,0.019736842105263157,5.635592105263158,0.0,93713.71789473684,8.611842105263158,22.44736842105263,68.5,0.34210526315789475,False,disk await avg 5.60 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_1024000B_100ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a_dynamic,1,100,180,30,8,False,True,5,13932,92.81,92.8,16669,0,16.37,9.58,38.61,79.14,114.33,150.06,30.67993377483444,108.9,7.964966887417218,18.55,0.0728476821192053,7.964966887417218,0.0,95758.64794701987,6.543046357615894,21.655629139072847,69.00662251655629,2.728476821192053,False,disk await avg 7.96 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_a_dynamic_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_a_dynamic_1024000B_100ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b_dynamic,1,100,180,30,8,True,True,5,13824,92.02,92.0,16536,0,18.5,12.16,40.31,94.16,143.47,177.27,30.011447368421052,100.0,8.079144736842105,18.41,0.019736842105263157,8.079144736842105,0.0,92090.81263157894,10.644736842105264,26.86842105263158,59.86842105263158,2.611842105263158,False,disk await avg 8.08 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_ext4_scenario_b_dynamic_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_ext4_scenario_b_dynamic_1024000B_100ops_measure_vmstat.txt.gz
f2fs,1024,scenario_a,1,100000,180,30,8,False,False,5,383101,2551.52,2.6,461279,0,11.25,9.3,23.42,40.51,57.39,93.09,0.6740131578947368,11.1,1.2657236842105264,14.22,0.0,1.2657236842105264,0.0,37.25473684210527,7.271523178807947,56.390728476821195,35.966887417218544,0.2847682119205298,False,,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_1024B_100000ops_measure_vmstat.txt.gz
f2fs,1024,scenario_b,1,100000,180,30,8,True,False,5,386017,2570.28,2.6,459448,0,11.45,8.97,24.01,47.77,96.02,192.96,3.3129605263157895,111.3,2.0148026315789473,23.3,0.15789473684210525,2.0148026315789473,0.0,2168.3873684210525,8.55921052631579,55.76315789473684,35.2828947368421,0.3815789473684211,False,,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_1024B_100000ops_measure_vmstat.txt.gz
f2fs,1024,scenario_a_dynamic,1,100000,180,30,8,False,True,5,363732,2421.94,2.4,439516,0,14.64,11.85,30.87,52.51,72.87,104.03,25.318223684210526,35.05,7.109342105263158,9.74,0.34210526315789475,7.109342105263158,0.0,1182.5852631578948,8.427631578947368,57.28947368421053,31.282894736842106,2.9671052631578947,False,disk await avg 7.11 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_a_dynamic_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_a_dynamic_1024B_100000ops_measure_vmstat.txt.gz
f2fs,1024,scenario_b_dynamic,1,100000,180,30,8,True,True,5,357022,2377.55,2.4,434024,0,15.0,11.8,32.37,57.14,80.42,118.96,24.766184210526315,36.5,6.980921052631579,10.8,0.3223684210526316,6.980921052631579,0.0,1175.4442105263158,9.69078947368421,55.67763157894737,31.782894736842106,2.8552631578947367,False,disk await avg 6.98 ms >= 5.00 ms,results/kafka_fs_bench_20260524_132814/raw/r1_f2fs_scenario_b_dynamic_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260524_132814/monitor/r1_f2fs_scenario_b_dynamic_1024B_100000ops_measure_vmstat.txt.gz
