filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,200000,120,30,16,False,False,5,324046,3594.6,1.8,442118,0,0.16,0.0,0.01,5.19,14.43,43.76,82.16505494505495,91.9,0.0,0.0,0.0,9.207472527472527,0.0,0.0,5.043956043956044,54.83516483516483,28.35164835164835,11.857142857142858,True,disk util avg 82.17% >= 80.00% | cpu iowait avg 11.86% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r1_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r1_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r1_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,2,200000,120,30,16,False,False,5,328105,3637.97,1.8,441801,0,0.15,0.0,0.01,5.04,14.25,74.22,81.47604395604395,91.9,0.0,0.0,0.0,8.715274725274725,0.0,0.0,4.604395604395604,54.72527472527472,29.021978021978022,11.68131868131868,True,disk util avg 81.48% >= 80.00% | cpu iowait avg 11.68% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r2_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r2_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r2_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,3,200000,120,30,16,False,False,5,325843,3614.01,1.8,444721,0,0.16,0.0,0.01,5.23,15.07,38.18,82.69747252747253,90.7,0.0,0.0,0.0,9.068351648351648,0.0,0.0,4.571428571428571,54.637362637362635,28.9010989010989,11.989010989010989,True,disk util avg 82.70% >= 80.00% | cpu iowait avg 11.99% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r3_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r3_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r3_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,4,200000,120,30,16,False,False,5,328722,3645.86,1.8,444569,0,0.16,0.0,0.01,5.3,14.61,46.09,82.2665934065934,90.0,0.0,0.0,0.0,8.828131868131868,0.0,0.0,4.725274725274725,55.0,28.593406593406595,11.714285714285714,True,disk util avg 82.27% >= 80.00% | cpu iowait avg 11.71% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r4_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r4_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r4_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a,5,200000,120,30,16,False,False,5,328201,3637.91,1.8,446686,0,0.16,0.0,0.01,5.1,14.49,40.89,82.01252747252747,90.7,0.0,0.0,0.0,8.862197802197802,0.0,0.0,4.714285714285714,54.67032967032967,29.01098901098901,11.626373626373626,True,disk util avg 82.01% >= 80.00% | cpu iowait avg 11.63% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r5_ext4_scenario_a_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r5_ext4_scenario_a_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r5_ext4_scenario_a_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,1,200000,120,30,16,True,True,5,330689,3665.81,1.8,451096,0,0.14,0.0,0.01,4.66,14.8,57.53,86.4021978021978,95.5,0.0,0.0,0.0,9.500879120879121,0.0,0.0,8.054945054945055,53.56043956043956,24.87912087912088,13.54945054945055,True,disk util avg 86.40% >= 80.00% | cpu iowait avg 13.55% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r1_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r1_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r1_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,2,200000,120,30,16,True,True,5,330495,3661.14,1.8,455620,0,0.14,0.0,0.01,4.62,14.65,64.65,86.76593406593406,92.77,0.0,0.0,0.0,9.56879120879121,0.0,0.0,7.758241758241758,52.72527472527472,25.703296703296704,13.780219780219781,True,disk util avg 86.77% >= 80.00% | cpu iowait avg 13.78% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r2_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r2_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r2_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,3,200000,120,30,16,True,True,5,332007,3676.59,1.8,457705,0,0.14,0.0,0.01,4.52,14.81,48.2,86.38586956521739,93.3,0.0,0.0,0.0,9.396195652173914,0.0,0.0,8.197802197802197,53.37362637362637,24.87912087912088,13.43956043956044,True,disk util avg 86.39% >= 80.00% | cpu iowait avg 13.44% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r3_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r3_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r3_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,4,200000,120,30,16,True,True,5,328319,3639.17,1.8,459589,0,0.14,0.0,0.01,4.74,15.12,56.62,87.18230769230769,93.2,0.0,0.0,0.0,9.561208791208792,0.0,0.0,8.373626373626374,53.494505494505496,24.714285714285715,13.494505494505495,True,disk util avg 87.18% >= 80.00% | cpu iowait avg 13.49% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r4_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r4_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r4_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,5,200000,120,30,16,True,True,5,332999,3689.94,1.8,456545,0,0.14,0.0,0.01,4.58,14.6,73.76,86.70076923076923,94.6,0.0,0.0,0.0,9.542747252747253,0.0,0.0,8.45054945054945,53.637362637362635,24.626373626373628,13.263736263736265,True,disk util avg 86.70% >= 80.00% | cpu iowait avg 13.26% >= 5.00%,results/kafka_fs_bench_20260427_143625/raw/r5_ext4_scenario_b_1024B_200000ops_measure.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r5_ext4_scenario_b_1024B_200000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_143625/monitor/r5_ext4_scenario_b_1024B_200000ops_measure_vmstat.txt.gz
