filesystem,record_size,scenario,round,profile,phase,occupancy_target_pct,fs_used_pct_before,fs_used_pct_after,valid,run_state,invalid_reasons,java_exit_code,target_ops,measure_sec,drain_timeout_sec,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,max_in_flight_records,max_catch_up_records,max_schedule_lag_limit_ms,sent_requests,sent_ops,ack_window_requests,ack_window_ops,eventual_ack_requests,eventual_ack_ops,outstanding_at_end,failed_requests,unresolved_after_drain,latency_dropped_samples,backpressure_wait_count,backpressure_wait_ms,max_observed_outstanding,catch_up_resets,catch_up_records_skipped,max_schedule_lag_ms,ack_stall_count,ack_stall_total_sec,ack_stall_max_sec,consumer_records,producer_acked_records,consumer_record_delta,consumer_drain_completed,malformed_headers,payload_crc_errors,sequence_gaps,duplicate_records,out_of_order_records,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,drain_time_sec,drain_completed,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,mapper_util_avg,mapper_await_avg,mapper_wkB_s_avg,raw_util_avg,raw_await_avg,raw_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,topics_created,topics_failed,final_topic_count,topic_first_failure_elapsed_ms,topic_first_failure,raw_output_path,iostat_path,vmstat_path
ext4,10240,scenario_a,1,latency,occupancy,60,59.996528316178455,60.241484426136154,True,BACKPRESSURED,,0,2000,60,180,20,8,False,False,5,1000,10,100,116735,1945.58,116730,1945.5,116735,1945.58,0,0,0,0,11,11702.01,1000,31,4429,1460.55,0,0,0,-1,-1,0,True,0,0,0,0,0,116735,1945.58,97.3,155557,0,0.03,True,16.11,0.6,0.76,54.74,1976.47,2036.45,15.9155,9929.406666666668,22015.82933333333,77.7695,49.86446380958994,95815.85066666667,9.883333333333333,11.25,69.01666666666667,9.483333333333333,False,cpu iowait avg 9.48% >= 5.00% | disk await avg 9929.41 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_10240B_2000ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used60pct_vmstat.txt.gz
ext4,10240,scenario_a,1,latency,occupancy,80,79.99644598375582,80.38419738923888,True,NOT_SATURATED,,0,2000,60,180,20,8,False,False,5,1000,10,100,119744,1995.73,119742,1995.7,119744,1995.73,0,0,0,0,0,0.0,481,13,1313,476.74,0,0,0,-1,-1,0,True,0,0,0,0,0,119744,1995.73,99.8,158683,0,0.05,True,1.85,0.58,0.72,8.38,246.13,328.35,17.466666666666665,789.3249999999999,23783.082666666665,87.10266666666666,80.33506311075182,122788.52266666667,1.9166666666666667,4.433333333333334,80.35,12.85,False,cpu iowait avg 12.85% >= 5.00% | disk await avg 789.32 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_10240B_2000ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_10240B_2000ops_occupancy_used80pct_vmstat.txt.gz
ext4,10240,scenario_b,1,latency,occupancy,20,19.997464847486047,26.83318284796083,True,BACKPRESSURED,,0,2000,60,180,20,8,True,False,5,1000,10,100,118380,1973.0,118377,1972.95,118380,1973.0,0,0,0,0,12,6508.58,1000,16,2552,809.56,0,0,0,157443,157443,0,True,0,0,0,0,0,118380,1973.0,98.7,157443,0,0.02,True,12.42,0.57,0.71,292.41,1531.13,1612.94,9.873333333333333,345480.7141666666,21056.170666666665,14.58,93.72566666666667,21485.056,15.316666666666666,19.0,62.916666666666664,2.566666666666667,False,disk await avg 345480.71 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_10240B_2000ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used20pct_vmstat.txt.gz
ext4,10240,scenario_b,1,latency,occupancy,40,40.06017813991846,39.66959655740697,True,STALLED,,0,2000,60,180,20,8,True,False,5,1000,10,100,110827,1847.12,110827,1847.12,110827,1847.12,0,0,0,0,18,36769.37,1000,24,10111,2510.91,2,3,2,149883,149883,0,True,0,0,0,0,0,110827,1847.12,92.4,149883,0,0.02,True,48.0,0.6,0.77,2543.62,3034.58,3085.2,13.44,248944.5323333333,20401.834666666666,13.459999999999999,107.48916666666666,20564.138666666666,11.75,9.166666666666666,72.01666666666667,6.5,False,cpu iowait avg 6.50% >= 5.00% | disk await avg 248944.53 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_10240B_2000ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used40pct_vmstat.txt.gz
ext4,10240,scenario_b,1,latency,occupancy,60,60.241878935661326,59.990027485307095,True,STALLED,,0,2000,60,180,20,8,True,False,5,1000,10,100,110699,1844.98,109699,1828.32,110699,1844.98,1000,0,0,0,16,64917.46,1000,33,6392,2377.74,2,3,2,149753,149753,0,True,0,0,0,0,0,110699,1844.98,92.2,149753,0,3.96,True,80.17,0.58,0.75,2835.28,6298.38,6354.12,8.986666666666666,12378.722,21470.890666666666,69.78666666666666,24.393862312763847,77908.82133333333,4.083333333333333,5.933333333333334,77.63333333333334,11.816666666666666,False,cpu iowait avg 11.82% >= 5.00% | disk await avg 12378.72 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_10240B_2000ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used60pct_vmstat.txt.gz
ext4,10240,scenario_b,1,latency,occupancy,80,80.38459189876406,80.23821171233601,True,BACKPRESSURED,,0,2000,60,180,20,8,True,False,5,1000,10,100,116647,1944.12,116646,1944.1,116647,1944.12,0,0,0,0,16,9449.04,1000,46,4639,612.3,0,0,0,155342,155342,0,True,0,0,0,0,0,116647,1944.12,97.2,155342,0,0.0,True,22.46,0.63,0.87,874.33,1065.13,1116.58,12.4435,186612.64299999998,21535.914666666667,79.39216666666667,9.450039767232244,115058.176,3.8833333333333333,7.05,76.88333333333334,11.766666666666667,False,cpu iowait avg 11.77% >= 5.00% | disk await avg 186612.64 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_b_10240B_2000ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_b_10240B_2000ops_occupancy_used80pct_vmstat.txt.gz
ext4,102400,scenario_a,1,latency,occupancy,20,19.997876509599273,26.829186294944925,True,NOT_SATURATED,,0,200,60,180,20,8,False,False,5,1000,10,100,12000,200.0,12000,200.0,12000,200.0,0,0,0,0,0,0.0,138,8,88,465.51,0,0,0,-1,-1,0,True,0,0,0,0,0,12000,200.0,100.0,15912,0,0.06,True,11.82,1.66,2.47,488.57,982.82,1060.61,10.36,357042.58616666665,22155.946666666667,14.36,111.0495,22332.586666666666,3.0166666666666666,2.8,90.48333333333333,3.2666666666666666,False,disk await avg 357042.59 ms >= 5.00 ms,0,0,1,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_102400B_200ops_occupancy_used20pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used20pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used20pct_vmstat.txt.gz
ext4,102400,scenario_a,1,latency,occupancy,40,39.99688509000992,39.999818182566656,True,NOT_SATURATED,,0,200,60,180,20,8,False,False,5,1000,10,100,12000,200.0,12000,200.0,12000,200.0,0,0,0,0,0,0.0,67,8,80,433.57,0,0,0,-1,-1,0,True,0,0,0,0,0,12000,200.0,100.0,15920,0,0.06,True,3.14,1.56,2.4,7.07,421.19,499.92,14.631666666666666,5263.8945,21709.824,14.097666666666667,52.2975,22205.44,2.816666666666667,2.1166666666666667,92.65,2.033333333333333,False,disk await avg 5263.89 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_102400B_200ops_occupancy_used40pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used40pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used40pct_vmstat.txt.gz
ext4,102400,scenario_a,1,latency,occupancy,60,59.99832933792382,59.97970162730034,True,NOT_SATURATED,,0,200,60,180,20,8,False,False,5,1000,10,100,11966,199.43,11965,199.42,11966,199.43,0,0,0,0,0,0.0,385,18,126,501.13,1,1,1,-1,-1,0,True,0,0,0,0,0,11966,199.43,99.7,15870,0,0.01,True,46.46,1.62,3.04,1370.14,1879.28,1927.32,17.41283333333333,48335.956999999995,21633.365333333335,50.99516666666667,43.537013412530285,75280.384,5.033333333333333,8.033333333333333,77.2,9.333333333333334,False,cpu iowait avg 9.33% >= 5.00% | disk await avg 48335.96 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_102400B_200ops_occupancy_used60pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used60pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used60pct_vmstat.txt.gz
ext4,102400,scenario_a,1,latency,occupancy,80,79.99948199184085,79.99353004378713,True,NOT_SATURATED,,0,200,60,180,20,8,False,False,5,1000,10,100,11981,199.68,11981,199.68,11981,199.68,0,0,0,0,0,0.0,166,12,118,500.34,0,0,0,-1,-1,0,True,0,0,0,0,0,11981,199.68,99.8,15879,0,0.0,True,5.42,1.67,2.3,41.36,657.55,728.78,8.266666666666666,130.92016666666666,21803.008,95.86,78.2309536443208,103921.49333333333,6.433333333333334,4.783333333333333,76.06666666666666,12.383333333333333,False,cpu iowait avg 12.38% >= 5.00% | disk await avg 130.92 ms >= 5.00 ms,0,0,2,-1,none,results/kafka_fs_bench_20260906_105748/raw/r1_ext4_scenario_a_102400B_200ops_occupancy_used80pct.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used80pct_iostat.txt.gz,results/kafka_fs_bench_20260906_105748/monitor/r1_ext4_scenario_a_102400B_200ops_occupancy_used80pct_vmstat.txt.gz
