profile,phase,occupancy_target_pct,filesystem,record_size,scenario,total_rounds,valid_rounds,invalid_rounds,run_states,target_ops_mean,sent_ops_mean,ack_window_ops_mean,eventual_ack_ops_mean,outstanding_at_end_mean,drain_time_sec_mean,drain_completed_rounds,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,mapper_util_mean,mapper_await_mean,raw_util_mean,raw_await_mean,cpu_iowait_mean,bottleneck_rounds
latency,occupancy,20,ext4,102400,scenario_b,1,1,0,NOT_SATURATED,200,200.0,200.0,200.0,0,0.05,1,12000,1.55,0.0,0.0,1.48,2.08,2.85,0.0,0.0,14.83,14.46,45907.308333333334,13.62,43.91116666666667,1.4166666666666667,0
latency,occupancy,40,ext4,102400,scenario_b,1,1,0,NOT_SATURATED,200,200.0,200.0,200.0,0,0.02,1,12000,32.97,0.0,0.0,1.37,2.16,1203.14,0.0,0.0,1762.28,10.173333333333334,106098.75333333334,12.766666666666667,83.9795,4.516666666666667,0
latency,occupancy,60,ext4,102400,scenario_b,1,1,0,NOT_SATURATED,200,199.93,199.92,199.93,0,0.0,1,11996,94.87,0.0,0.0,1.41,1.99,2801.41,0.0,0.0,3457.13,13.493333333333334,214498.12033333333,80.73683333333334,2.6650045031249037,13.116666666666667,0
latency,occupancy,80,ext4,102400,scenario_b,1,1,0,NOT_SATURATED,200,199.1,199.07,199.1,0,0.03,1,11946,34.04,0.0,0.0,1.43,2.12,1448.4,0.0,0.0,2201.63,14.006666666666668,191992.67166666666,76.00666666666666,30.746096328100503,10.55,0
latency,occupancy,20,ext4,1024000,scenario_a,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.2,1,1200,56.19,0.0,0.0,6.54,9.51,1667.25,0.0,0.0,2158.26,9.626666666666667,1536536.1571666666,14.086666666666666,0.6338333333333332,1.6833333333333333,0
latency,occupancy,40,ext4,1024000,scenario_a,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.1,1,1200,7.77,0.0,0.0,7.0,10.01,12.55,0.0,0.0,186.99,14.179166666666667,1681.3145,14.299666666666667,18.276333333333334,1.4333333333333333,0
latency,occupancy,60,ext4,1024000,scenario_a,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.13,1,1200,26.09,0.0,0.0,7.39,10.29,914.29,0.0,0.0,1568.58,14.0115,102601.34616666666,71.10033333333334,16.740391435643932,8.766666666666667,0
latency,occupancy,80,ext4,1024000,scenario_a,1,1,0,BACKPRESSURED,20,20.0,19.67,20.0,20,0.43,1,1200,32.93,0.0,0.0,6.63,9.28,1227.67,0.0,0.0,2398.11,7.06,207314.02333333335,93.86666666666666,64.43642508114483,12.4,0
latency,occupancy,20,ext4,1024000,scenario_b,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.24,1,1200,33.77,0.0,0.0,6.98,9.48,1147.36,0.0,0.0,1801.53,12.473333333333333,539730.6825,15.0,0.16233333333333333,2.2333333333333334,0
latency,occupancy,40,ext4,1024000,scenario_b,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.14,1,1200,83.82,0.0,0.0,5.85,9.79,2422.86,0.0,0.0,3208.9,14.791666666666666,3520335.6658333335,13.925833333333333,111.57966666666668,4.0,0
latency,occupancy,60,ext4,1024000,scenario_b,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.0,1,1200,81.43,0.0,0.0,7.71,12.8,2264.46,0.0,0.0,2756.56,14.928666666666667,236487.99049999999,32.643166666666666,3.003162270075169,7.1,0
latency,occupancy,80,ext4,1024000,scenario_b,1,0,1,FAILED,,,,,,,,,,,,,,,,,,,,,,,
latency,occupancy,20,f2fs,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19972.13,19972.03,19972.13,0,0.04,1,1198328,1.13,0.0,0.0,0.36,0.85,17.85,0.0,0.0,129.78,4.1866666666666665,13.054176470588235,9.506666666666666,142.50702434456932,0.4,0
latency,occupancy,40,f2fs,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19949.25,19949.13,19949.25,0,0.05,1,1196955,0.72,0.0,0.0,0.36,0.83,11.33,0.0,0.0,32.44,11.02,26.2204068627451,13.24,93.41325146198831,0.95,0
latency,occupancy,60,f2fs,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19783.45,19783.12,19783.45,0,0.04,1,1187007,3.78,0.0,0.0,0.47,3.52,93.14,0.0,0.0,281.88,13.506666666666668,23673.265833333335,13.893333333333333,63.892869055170884,1.0833333333333333,0
latency,occupancy,20,f2fs,1024,scenario_b,1,1,0,BACKPRESSURED,20000,19913.22,19913.05,19913.22,1,0.04,1,1194793,1.27,0.0,0.0,0.42,1.69,19.78,0.0,0.0,134.72,7.98,13015.605930555557,7.406666666666666,19.669687500000002,0.75,0
latency,occupancy,40,f2fs,1024,scenario_b,1,1,0,BACKPRESSURED,20000,19957.75,19957.63,19957.75,0,0.03,1,1197465,1.16,0.0,0.0,0.4,1.44,19.91,0.0,0.0,79.64,11.298,27.148833333333336,13.4915,69.15266666666666,0.7666666666666667,0
latency,occupancy,60,f2fs,1024,scenario_b,1,1,0,BACKPRESSURED,20000,19483.45,19483.15,19483.45,0,0.02,1,1169007,3.19,0.0,0.0,0.44,2.53,40.83,0.0,0.0,1196.38,7.3,864247.5283333333,70.85333333333334,6.243677930734434,4.2,0
