filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,block_util_avg,block_util_max,block_await_avg,block_await_max,block_r_await_avg,block_w_await_avg,block_rkB_s_avg,block_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,100000,180,30,8,False,False,5,293299,1953.06,2.0,360568,0,14.73,13.3,25.34,46.52,91.02,197.29,3.948157894736842,76.44,5.208157894736842,47.49,0.0,5.208157894736842,0.0,2193.717894736842,4.139072847682119,51.688741721854306,43.27814569536424,0.8278145695364238,False,disk await avg 5.21 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_a_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,1,100000,180,30,8,True,True,5,285242,1899.23,1.9,344790,0,16.5,14.07,29.29,62.58,142.76,224.16,31.384144736842106,92.87,10.926710526315789,40.63,0.0,10.926710526315789,0.0,2872.0505263157893,6.562913907284768,52.562913907284766,36.45695364238411,4.410596026490066,False,disk await avg 10.93 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_b_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_1024B_100000ops_measure_vmstat.txt.gz
ext4,10240,scenario_a,1,10000,180,30,8,False,False,5,304205,2026.29,20.3,365482,0,16.71,12.57,33.0,88.29,157.59,263.13,14.011184210526316,100.4,7.84625,34.53,0.0,7.84625,0.0,23534.34947368421,6.447368421052632,56.43421052631579,36.17763157894737,0.868421052631579,False,disk await avg 7.85 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_a_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,1,10000,180,30,8,True,True,5,292309,1947.13,19.5,352947,0,26.13,15.02,52.52,207.47,379.94,598.25,34.771776315789474,99.6,11.896184210526316,41.52,0.0,11.896184210526316,0.0,19377.92,10.47682119205298,55.11258278145695,30.132450331125828,4.264900662251655,False,disk await avg 11.90 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_b_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_10240B_10000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,1,1000,180,30,8,False,False,5,107670,717.29,71.7,128580,0,17.95,15.05,30.23,70.86,191.81,394.81,19.87,100.5,7.317302631578947,41.12,0.0,7.317302631578947,0.0,70624.53894736842,7.6490066225165565,47.079470198675494,44.397350993377486,0.8344370860927153,False,disk await avg 7.32 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_a_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_102400B_1000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,1,1000,180,30,8,True,True,5,104812,697.15,69.7,124979,0,22.34,16.31,43.03,115.4,185.26,271.54,35.97625,101.0,10.508486842105263,25.659999999999997,0.07894736842105263,10.508486842105263,0.0,67642.6105263158,13.210526315789474,49.0921052631579,34.0328947368421,3.6973684210526314,False,disk await avg 10.51 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_b_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_102400B_1000ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a,1,100,180,30,8,False,False,5,13862,92.29,92.3,16572,0,26.01,18.7,51.55,104.69,158.07,242.62,26.363223684210528,306.34,6.558881578947369,20.66,0.0,6.558881578947369,0.0,92888.1852631579,6.322368421052632,21.480263157894736,71.63157894736842,0.47368421052631576,False,disk await avg 6.56 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_a_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_a_1024000B_100ops_measure_vmstat.txt.gz
ext4,1024000,scenario_b,1,100,180,30,8,True,True,5,13710,91.26,91.3,16351,0,32.71,25.98,60.57,129.48,220.75,358.95,35.79532894736842,100.3,9.41842105263158,22.87,0.019736842105263157,9.41842105263158,0.0,91213.54105263158,13.388157894736842,33.78947368421053,49.6578947368421,3.1315789473684212,False,disk await avg 9.42 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_ext4_scenario_b_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_ext4_scenario_b_1024000B_100ops_measure_vmstat.txt.gz
f2fs,1024,scenario_a,1,100000,180,30,8,False,False,5,294584,1962.21,2.0,357991,0,14.2,13.09,24.59,40.4,62.35,106.92,1.3863815789473684,59.41,2.2910526315789475,33.67,0.0,2.2910526315789475,0.0,284.9684210526316,3.7039473684210527,50.8421052631579,44.78947368421053,0.6052631578947368,False,,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_a_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_1024B_100000ops_measure_vmstat.txt.gz
f2fs,1024,scenario_b,1,100000,180,30,8,True,True,5,272885,1817.17,1.8,330221,0,16.99,14.42,31.43,60.68,88.25,414.68,31.736688741721853,46.2,9.31317880794702,13.28,0.47019867549668876,9.31317880794702,0.0,991.2455629139073,6.728476821192053,52.24503311258278,36.913907284768214,4.086092715231788,False,disk await avg 9.31 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_b_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_1024B_100000ops_measure_vmstat.txt.gz
f2fs,10240,scenario_a,1,10000,180,30,8,False,False,5,305938,2037.64,20.4,371054,0,16.48,13.02,33.25,70.28,115.75,198.41,15.25421052631579,106.8,5.985197368421052,30.04,0.11842105263157894,5.985197368421052,0.0,20121.195789473684,6.47682119205298,56.57615894039735,36.2317880794702,0.7350993377483444,False,disk await avg 5.99 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_a_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_10240B_10000ops_measure_vmstat.txt.gz
f2fs,10240,scenario_b,1,10000,180,30,8,True,True,5,299514,1995.02,20.0,361279,0,24.93,19.14,53.16,97.3,140.85,240.14,42.49177631578947,77.82,11.136184210526316,16.73,0.5263157894736842,11.136184210526316,0.0,19249.785263157893,10.185430463576159,55.794701986754966,29.894039735099337,4.125827814569536,False,disk await avg 11.14 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_b_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_10240B_10000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_a,1,1000,180,30,8,False,False,5,107710,717.37,71.7,129084,0,16.18,14.4,27.65,48.66,79.03,134.34,27.22217105263158,97.6,8.342819647129186,24.76,0.40460526315789475,8.342828947368421,0.06736842105263158,71138.02105263158,7.642384105960265,46.62251655629139,44.71523178807947,0.9337748344370861,False,disk await avg 8.34 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_a_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_102400B_1000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_b,1,1000,180,30,8,True,True,5,107206,714.1,71.4,127832,0,19.35,15.91,35.87,68.94,102.2,321.42,49.422697368421055,83.4,10.23413875904679,16.46,0.7719078947368421,10.234144736842106,0.06736842105263158,73002.03789473684,12.80794701986755,50.03973509933775,33.41721854304636,3.7086092715231787,False,disk await avg 10.23 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_b_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_102400B_1000ops_measure_vmstat.txt.gz
f2fs,1024000,scenario_a,1,100,180,30,8,False,False,5,13870,92.3,92.3,16563,0,24.56,18.38,48.91,82.65,123.54,159.24,30.67203947368421,96.6,9.178157894736842,29.730000000000004,1.006578947368421,9.178157894736842,0.0,93567.59578947368,6.1644736842105265,21.980263157894736,71.00657894736842,0.7828947368421053,False,disk await avg 9.18 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_a_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_a_1024000B_100ops_measure_vmstat.txt.gz
f2fs,1024000,scenario_b,1,100,180,30,8,True,True,5,13634,90.75,90.7,16295,0,31.67,26.64,58.19,96.8,138.91,538.23,50.17460526315789,75.74,10.47598532253139,23.41,0.6842105263157895,10.475986842105263,0.06736842105263158,92456.01684210527,13.368421052631579,36.875,46.48026315789474,3.276315789473684,False,disk await avg 10.48 ms >= 5.00 ms,results/kafka_fs_bench_20260430_123613/raw/r1_f2fs_scenario_b_1024000B_100ops_measure.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_1024000B_100ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260430_123613/monitor/r1_f2fs_scenario_b_1024000B_100ops_measure_vmstat.txt.gz
