filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,block_util_mean,block_await_mean,block_await_stdev,block_await_cv_pct,block_wkB_s_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,1,100000,1953.06,2.0,0,293299,14.73,0.0,0.0,13.3,25.34,46.52,0.0,0.0,197.29,3.948157894736842,5.208157894736842,0.0,0.0,2193.717894736842,0.8278145695364238,0
ext4,1024,scenario_b,1,100000,1899.23,1.9,0,285242,16.5,0.0,0.0,14.07,29.29,62.58,0.0,0.0,224.16,31.384144736842106,10.926710526315789,0.0,0.0,2872.0505263157893,4.410596026490066,0
ext4,10240,scenario_a,1,10000,2026.29,20.3,0,304205,16.71,0.0,0.0,12.57,33.0,88.29,0.0,0.0,263.13,14.011184210526316,7.84625,0.0,0.0,23534.34947368421,0.868421052631579,0
ext4,10240,scenario_b,1,10000,1947.13,19.5,0,292309,26.13,0.0,0.0,15.02,52.52,207.47,0.0,0.0,598.25,34.771776315789474,11.896184210526316,0.0,0.0,19377.92,4.264900662251655,0
ext4,102400,scenario_a,1,1000,717.29,71.7,0,107670,17.95,0.0,0.0,15.05,30.23,70.86,0.0,0.0,394.81,19.87,7.317302631578947,0.0,0.0,70624.53894736842,0.8344370860927153,0
ext4,102400,scenario_b,1,1000,697.15,69.7,0,104812,22.34,0.0,0.0,16.31,43.03,115.4,0.0,0.0,271.54,35.97625,10.508486842105263,0.0,0.0,67642.6105263158,3.6973684210526314,0
ext4,1024000,scenario_a,1,100,92.29,92.3,0,13862,26.01,0.0,0.0,18.7,51.55,104.69,0.0,0.0,242.62,26.363223684210528,6.558881578947369,0.0,0.0,92888.1852631579,0.47368421052631576,0
ext4,1024000,scenario_b,1,100,91.26,91.3,0,13710,32.71,0.0,0.0,25.98,60.57,129.48,0.0,0.0,358.95,35.79532894736842,9.41842105263158,0.0,0.0,91213.54105263158,3.1315789473684212,0
f2fs,1024,scenario_a,1,100000,1962.21,2.0,0,294584,14.2,0.0,0.0,13.09,24.59,40.4,0.0,0.0,106.92,1.3863815789473684,2.2910526315789475,0.0,0.0,284.9684210526316,0.6052631578947368,0
f2fs,1024,scenario_b,1,100000,1817.17,1.8,0,272885,16.99,0.0,0.0,14.42,31.43,60.68,0.0,0.0,414.68,31.736688741721853,9.31317880794702,0.0,0.0,991.2455629139073,4.086092715231788,0
f2fs,10240,scenario_a,1,10000,2037.64,20.4,0,305938,16.48,0.0,0.0,13.02,33.25,70.28,0.0,0.0,198.41,15.25421052631579,5.985197368421052,0.0,0.0,20121.195789473684,0.7350993377483444,0
f2fs,10240,scenario_b,1,10000,1995.02,20.0,0,299514,24.93,0.0,0.0,19.14,53.16,97.3,0.0,0.0,240.14,42.49177631578947,11.136184210526316,0.0,0.0,19249.785263157893,4.125827814569536,0
f2fs,102400,scenario_a,1,1000,717.37,71.7,0,107710,16.18,0.0,0.0,14.4,27.65,48.66,0.0,0.0,134.34,27.22217105263158,8.342819647129186,0.0,0.0,71138.02105263158,0.9337748344370861,0
f2fs,102400,scenario_b,1,1000,714.1,71.4,0,107206,19.35,0.0,0.0,15.91,35.87,68.94,0.0,0.0,321.42,49.422697368421055,10.23413875904679,0.0,0.0,73002.03789473684,3.7086092715231787,0
f2fs,1024000,scenario_a,1,100,92.3,92.3,0,13870,24.56,0.0,0.0,18.38,48.91,82.65,0.0,0.0,159.24,30.67203947368421,9.178157894736842,0.0,0.0,93567.59578947368,0.7828947368421053,0
f2fs,1024000,scenario_b,1,100,90.75,90.7,0,13634,31.67,0.0,0.0,26.64,58.19,96.8,0.0,0.0,538.23,50.17460526315789,10.47598532253139,0.0,0.0,92456.01684210527,3.276315789473684,0
