filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,avg_ms_mean,avg_ms_stdev,avg_ms_cv_pct,p50_ms_mean,p90_ms_mean,p99_ms_mean,p99_ms_stdev,p99_ms_cv_pct,max_ms_mean,disk_util_mean,disk_await_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,3,200000,3610.4166666666665,1.8,0,325543,0.15666666666666668,0.005773502691896263,3.685214484189104,0.0,0.01,5.15,0.19974984355438208,3.8786377389200397,44.766666666666666,82.73465201465201,0.0,11.853479853479854,3
ext4,1024,scenario_b,3,200000,3677.9333333333334,1.8333333333333333,0,331868.3333333333,0.14,0.0,0.0,0.0,0.01,4.616666666666667,0.12096831541082681,2.6202523193680896,54.45666666666666,86.31516483516484,0.0,13.47985347985348,3
ext4,10240,scenario_a,3,20000,1270.9766666666667,6.366666666666666,0,143153.66666666666,6.403333333333333,1.1403654385035233,17.80893448990406,0.01,9.783333333333333,124.10666666666667,20.94589299441142,16.877331054800777,320.23,73.0856362703604,0.0,10.627112992176478,0
ext4,10240,scenario_b,3,20000,1212.5033333333333,6.066666666666666,0,136362.33333333334,6.8966666666666665,0.775134396948899,11.239261434735123,0.01,7.569999999999999,149.38666666666666,14.976946729334836,10.025624818815716,396.81,78.64630192328647,0.0,12.82069439904108,0
ext4,102400,scenario_a,3,2000,603.91,30.2,0,61703.333333333336,13.426666666666668,0.6301058112200941,4.692942983267831,0.02,47.693333333333335,189.34666666666666,9.561445148790703,5.049703444541249,359.12666666666667,83.34822473238735,0.0,13.25886855862584,3
ext4,102400,scenario_b,3,2000,589.6833333333333,29.5,0,59944.333333333336,13.743333333333334,0.575354962899716,4.186429514186631,0.02,34.74666666666667,211.34666666666666,14.20409213337246,6.720755220509335,448.2233333333333,83.65292169431875,0.0,14.212227933244495,3
ext4,1024000,scenario_a,2,200,120.285,60.1,0,14558,17.525,2.453660530717322,14.000916009799269,0.185,29.755,324.945,20.73944189220147,6.3824468424507135,791.105,73.10065082644627,0.0,11.837605042016808,0
ext4,1024000,scenario_b,1,200,138.42,69.2,0,13333,27.46,0.0,0.0,0.19,54.84,513.17,0.0,0.0,1367.89,93.85163265306123,0.0,14.814432989690722,1
f2fs,1024,scenario_a,3,200000,3701.6833333333334,1.8333333333333333,0,333617.6666666667,0.16,0.0,0.0,0.0,0.01,5.183333333333334,0.06658328118479383,1.2845649103175658,48.626666666666665,71.41846153846154,0.0,7.981684981684982,0
f2fs,1024,scenario_b,3,200000,3637.1233333333334,1.8,0,328296,0.14,0.0,0.0,0.0,0.01,4.383333333333333,0.10408329997330676,2.374523953763653,54.26,87.23663003663003,0.0,16.64835164835165,3
f2fs,10240,scenario_a,3,20000,1286.1466666666668,6.433333333333334,0,143637.33333333334,6.3133333333333335,0.6536308846232203,10.353181910610669,0.01,8.756666666666668,119.64666666666666,11.975146484838225,10.00875897211642,337.81,75.2111209439528,0.0,10.10585229667088,0
f2fs,10240,scenario_b,3,20000,1079.49,5.4,0,121382.66666666667,8.186666666666666,0.3723349746308197,4.548065651027929,0.01,11.41,154.19,13.000565372321311,8.43152303801888,445.44666666666666,76.6842195828805,0.0,12.945815867101382,0
f2fs,102400,scenario_a,3,2000,616.9433333333334,30.866666666666667,0,62860.333333333336,12.783333333333333,0.33857544703261255,2.6485693379343878,0.02,39.26,182.91333333333333,3.6962864246880756,2.020785667905425,366.6,82.57187702265372,0.0,12.59546925566343,3
f2fs,102400,scenario_b,3,2000,494.65,24.733333333333334,0,50742.333333333336,18.35,2.694512943001016,14.683994239787552,0.02,62.696666666666665,262.1333333333333,42.2783778465226,16.12857751011798,507.03666666666663,82.56057754543191,0.0,15.175970873786408,2
f2fs,1024000,scenario_a,1,200,132.88,66.4,0,15990,6.94,0.0,0.0,0.17,3.01,43.47,0.0,0.0,6668.5,73.24134453781512,0.0,10.225,0
f2fs,1024000,scenario_b,1,200,132.31,66.2,0,12675,34.95,0.0,0.0,0.19,75.7,574.86,0.0,0.0,1008.29,90.38680412371134,0.0,13.494845360824742,1
