procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4521660   5604 362632    0    0   208  1289 1599    2  2  2 96  0  0  0
 0  0      0 4522688   5636 362712    0    0     0   104 1313 1074  0  1 99  0  0  0
 1  0      0 4522304   5664 362712    0    0     0   136 1445 1141  0  1 98  0  0  0
 2  1      0 4444824   5824 368740    0    0  6232   312 6918 6178 13 13 71  3  0  0
 7  0      0 4422688   5848 372756    0    0   572    80 7741 11042 41 22 36  1  0  0
 0  0      0 4390180   5864 374244    0    0     0    96 6163 8241 22 22 56  0  0  0
10  0      0 4382368   5896 375796    0    0     0   200 6355 7954 23 27 50  1  0  0
 8  0      0 4341824   5920 377552    0    0     0   152 7930 8873 37 24 39  0  0  0
 3  0      0 4302512   6076 378996    0    0   140  6968 6302 7210 38 16 46  0  0  0
 9  0      0 4292936   6092 380724    0    0     0    96 6944 7865 32 24 44  0  0  0
 8  0      0 4286384   6108 382088    0    0     0    96 5579 6905 18 25 56  0  0  0
10  0      0 4283864   6172 383524    0    0    68   348 6158 8456 18 34 46  1  0  0
 6  0      0 4280840   6196 384868    0    0     0   188 5260 7754 12 38 50  0  0  0
 3  0      0 4276584   6212 386260    0    0     0   288 5174 8117  9 42 48  0  0  0
 6  0      0 4274316   6228 387516    0    0     0    96 5187 7878  9 42 49  0  0  0
10  0      0 4267008   6244 388876    0    0     0    92 5302 7878 10 42 47  0  0  0
12  0      0 4238784   6276 390064    0    0     0   200 5188 7614 20 28 52  1  0  0
 6  0      0 4228704   6300 391276    0    0     0   156 5208 7383 18 24 58  0  0  0
 5  0      0 4223160   6316 392760    0    0     0   260 5803 8256 16 39 45  1  0  0
 6  0      0 4219128   6332 393908    0    0     0    96 5245 7638 14 26 61  0  0  0
 7  0      0 4213836   6348 395280    0    0     0    96 5145 8016 12 26 61  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
