procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 4470028   4288 362744    0    0   262  1859 2548    6  3  7 89  1  0  0
 1  0      0 4476444   4288 362840    0    0     0    44 1526 1176  0  1 99  0  0  0
 1  0      0 4482248   4288 362840    0    0     0    16 1439 1080  0  1 99  0  0  0
 6  0      0 4427092   4452 369572    0    0  6808   176 6761 6415 16 10 71  3  0  0
 4  0      0 4397636   4452 373252    0    0     0    32 7573 10922 45 24 31  0  0  0
 8  0      0 4359584   4452 375012    0    0     0    16 7378 9375 31 25 44  0  0  0
 6  0      0 4328084   4452 376544    0    0     0   140 6423 8160 21 28 51  0  0  0
 6  0      0 4291040   4452 378112    0    0     0    16 6105 7533 32 19 49  0  0  0
 4  0      0 4258028   4596 379240    0    0   136   412 4851 6279 19 20 60  0  0  0
 3  0      0 4251728   4596 381000    0    0     0    16 7441 8463 33 23 44  0  0  0
 5  0      0 4250216   4596 382612    0    0     0    16 6548 7906 15 31 54  0  0  0
12  0      0 4246436   4596 384112    0    0    68   188 6147 8793 17 34 48  0  0  0
13  0      0 4240892   4596 385556    0    0     0    16 5892 8401 16 35 49  0  0  0
 4  0      0 4237616   4604 386916    0    0     0   172 5323 8118 12 40 47  0  0  0
 7  0      0 4232324   4604 388408    0    0     0    16 6045 8669 10 40 50  0  0  0
 8  0      0 4226780   4604 389856    0    0     0    16 5946 8462 14 37 49  0  0  0
 5  0      0 4207880   4604 391356    0    0     0   108 7064 9150 29 23 47  0  0  0
 8  0      0 4201580   4604 392812    0    0     0    16 5749 8217 12 39 49  0  0  0
 6  0      0 4187720   4612 394460    0    0     0    64 7552 9726 31 27 42  0  0  0
 7  0      0 4185200   4612 396028    0    0     0    16 6083 8655 16 33 51  0  0  0
 9  0      0 4182932   4612 397556    0    0    16    16 5839 9026 11 32 57  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 4142612   4612 399328    0    0     0   112 6834 10045 27 23 50  0  0  0
 4  0      0 4142360   4612 400704    0    0     0    16 5424 8598  4 35 61  0  0  0
 5  0      0 4141100   4620 402000    0    0     0    56 5250 8174 11 26 63  0  0  0
 4  0      0 4140092   4620 403400    0    0     0    20 4641 7861  6 38 56  0  0  0
 2  0      0 4139336   4620 404664    0    0     0    16 4571 7499  4 37 59  0  0  0
 9  0      0 4137572   4904 406180    0    0   488   144 4894 8228  4 39 55  2  0  0
 7  0      0 4136564   4904 407684    0    0     0    16 5604 9000  4 33 63  0  0  0
 8  0      0 4135052   4912 409084    0    0     0    80 5495 8705  4 32 63  1  0  0
10  0      0 4134296   4912 410492    0    0     0    24 5425 8605  3 35 62  0  0  0
 0  0      0 4133288   4912 411744    0    0     0    16 4764 7822  3 40 56  0  0  0
 4  0      0 4132280   4912 413184    0    0     0   276 4780 7951  2 43 55  0  0  0
 2  0      0 4131020   4912 414552    0    0     0    16 5459 8519  3 35 62  0  0  0
 6  0      0 4129760   4920 415840    0    0     0    56 4917 7980  3 37 59  0  0  0
 5  0      0 4128500   4920 417124    0    0     0   324 4944 8159  3 38 58  0  0  0
 7  0      0 4127240   4920 418548    0    0     0    16 5261 8496  3 37 60  0  0  0
11  0      0 4126484   4920 419896    0    0     0   156 5406 8494  3 36 61  0  0  0
 7  0      0 4125476   4920 421380    0    0     0    16 5595 8802  2 36 62  0  0  0
 2  0      0 4122452   4928 422836    0    0     0    80 5566 8925  3 31 65  0  0  0
 0  0      0 4120688   4928 424140    0    0     0   312 5168 8430  3 39 57  1  0  0
 1  0      0 4119428   4928 425684    0    0     8    16 5501 8629  4 35 61  0  0  0
 7  0      0 4118672   4928 427012    0    0     0   124 5473 8864  3 36 61  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 4117664   4928 428464    0    0     0    16 4957 8075  3 38 58  0  0  0
 4  0      0 4116656   4936 429860    0    0     0    88 5371 8546  3 34 62  0  0  0
 2  0      0 4114892   4936 431308    0    0     0   168 5408 8624  3 34 62  0  0  0
 7  1      0 4114136   4936 432776    0    0     0    20 5565 8818  3 35 62  0  0  0
 6  0      0 4113128   4936 434096    0    0     0   140 5015 8159  4 40 56  0  0  0
 1  0      0 4111868   4936 435512    0    0     0    16 5215 8430  3 35 62  0  0  0
 0  0      0 4110608   4948 436920    0    0     0    84 5186 8341  3 36 61  0  0  0
 9  0      0 4109348   4948 438240    0    0     0    16 4979 7992  3 40 57  0  0  0
 5  4      0 4108340   4948 439648    0    0     0   152 5408 8561  3 36 62  0  0  0
 3  0      0 4106828   4948 440988    0    0     0    28 5430 8662  3 36 62  0  0  0
 4  0      0 4105568   4948 442548    0    0     0    16 5319 8596  3 34 62  0  0  0
 4  0      0 4104560   4956 443760    0    0     0    48 4791 7877  3 38 58  0  0  0
 9  0      0 4103552   4956 444872    0    0     0   152 4938 7850  3 39 57  0  0  0
 3  0      0 4102292   4956 446472    0    0     0   132 5048 8192  3 39 58  0  0  0
 4  0      0 4101032   4956 447752    0    0     0    16 5058 7980  2 37 60  0  0  0
 9  0      0 4099520   4956 449072    0    0     0    24 5031 8175  2 38 60  0  0  0
 4  0      0 4098260   4964 450340    0    0     0    56 4768 7936  3 38 59  0  0  0
10  0      0 4096748   4964 451744    0    0     0   136 4867 7979  2 39 58  0  0  0
 0  0      0 4095236   4964 453108    0    0     0   124 5260 8424  3 36 61  0  0  0
 1  0      0 4093976   4964 454584    0    0     0    16 5171 8290  2 36 61  1  0  0
 3  0      0 4092464   4964 455788    0    0     0    16 5048 8145  3 36 60  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 4090952   4972 457308    0    0     0    48 5306 8553  4 34 62  0  0  0
 2  0      0 4088936   4972 458712    0    0     0    16 5149 8358  6 37 57  0  0  0
11  1      0 4087676   4972 459912    0    0     0   136 5184 8565  4 37 58  1  0  0
 4  0      0 4086164   4972 461468    0    0     0    16 4983 8128  2 39 59  0  0  0
 3  0      0 4084904   4972 462684    0    0     0    16 5178 8442  3 36 61  0  0  0
 1  0      0 4083392   4980 464104    0    0     0    44 5433 8655  3 35 62  0  0  0
 5  0      0 4082132   4980 465760    0    0     0    16 5885 9080  3 35 62  0  0  0
 1  0      0 4080620   4980 467164    0    0     0   348 5531 8772  3 36 60  1  0  0
11  0      0 4079360   4980 468772    0    0     0    16 5527 8633  3 33 64  0  0  0
 5  0      0 4078100   4980 470052    0    0     0    16 5272 8475  3 37 60  0  0  0
 9  0      0 4076588   4988 471436    0    0     0    44 5355 8417  3 37 60  0  0  0
 0  0      0 4074824   4988 472820    0    0     0    16 5565 8844  3 34 63  0  0  0
