procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 4399784   5352 362944    0    0   278  1937 2869    7  3  9 87  1  0  0
 1  0      0 4403800   5384 363028    0    0     0   104 1417 1104  0  0 99  0  0  0
 2  0      0 4410856   5408 363028    0    0     0   128 1352 1021  0  1 99  0  0  0
 2  0      0 4375420   5568 369128    0    0  6204   536 6290 6092 13 11 74  3  0  0
 4  0      0 4344500   5592 378268    0    0   660    80 6588 10079 40 21 39  0  0  0
 9  0      0 4289340   5608 387904    0    0     0    96 6226 9450 30 25 45  0  0  0
 3  0      0 4284376   5640 396556    0    0     0   220 5447 7148 18 22 59  0  0  0
 2  0      0 4273764   5664 407088    0    0     0   188 6584 8114 20 31 49  0  0  0
 1  0      0 4251588   5680 419280    0    0     0   376 8544 9652 37 22 40  1  0  0
 6  0      0 4217596   5696 428628    0    0     0    96 5976 7588 28 21 52  0  0  0
 3  0      0 4203736   5712 436724    0    0     0    96 5115 6513  9 29 61  0  0  0
 5  0      0 4188420   5776 446608    0    0    68   452 5685 8094 16 34 50  1  0  0
 2  0      0 4171564   5800 455480    0    0     0   136 6055 8518 19 34 47  1  0  0
 7  1      0 4160756   5820 465172    0    0     0 33260 6055 8444 20 35 44  1  0  0
11  1      0 4122956   5836 475664    0    0     0    96 6783 9284 39 26 34  1  0  0
 3  0      0 4112904   5852 485384    0    0     0    96 6185 8905 13 38 49  0  0  0
 2  0      0 4097280   5884 495428    0    0     0   220 6332 8784 22 32 46  0  0  0
 9  0      0 4084204   5908 505204    0    0     0   144 6194 8816 14 40 45  1  0  0
 9  0      0 4079548   5920 512292    0    0     0 104960 3340 5915 12 41 46  1  0  0
 4  1      0 4071008   5944 521988    0    0     0  2436 5231 7806  5 47 46  1  0  0
 3  1      0 4060452   5960 532096    0    0     0    96 6160 8789 13 39 47  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1      0 4052668   5992 541372    0    0     0   224 5254 8217  8 43 48  1  0  0
 9  0      0 4044632   6008 550356    0    0     0   104 5293 8115  7 30 63  0  0  0
 6  0      0 4036064   6024 560196    0    0     0    96 5636 8678  6 41 53  0  0  0
 7  0      0 4025760   6040 570988    0    0     0    96 6637 9636  7 31 62  0  0  0
 9  0      0 4016212   6056 580520    0    0     0   108 5321 8429  5 37 58  0  0  0
 0  0      0 4004144   6088 590412    0    0     0   224 5791 8839  6 36 58  1  0  0
 6  0      0 3995072   6112 600360    0    0     0   132 5477 8541  4 39 56  1  0  0
 3  0      0 3984292   6128 610252    0    0     0    96 5645 8845  4 40 55  0  0  0
 3  0      0 3974716   6144 619748    0    0     0    96 5764 8721  5 39 56  0  0  0
 2  0      0 3963656   6160 630108    0    0     0    96 5868 8970  5 41 54  0  0  0
 6  0      0 3952848   6192 639932    0    0     0   208 5708 8791  5 37 58  1  0  0
 5  0      0 3942544   6208 649824    0    0     0    96 5648 8856  4 39 56  1  0  0
11  0      0 3932212   6232 659800    0    0    92   120 5662 9071  5 40 54  1  0  0
 2  0      0 3922160   6248 669648    0    0     0    96 5533 8636  5 40 54  0  0  0
 3  0      0 3911828   6264 679732    0    0     0    96 5823 9053  4 37 59  1  0  0
 4  0      0 3902252   6296 689736    0    0     0   224 5501 8572  4 38 57  1  0  0
 6  0      0 3892676   6312 699624    0    0     0    96 5406 8591  4 42 53  1  0  0
 6  0      0 3882596   6336 709048    0    0     0   144 5388 8479  5 39 55  1  0  0
11  0      0 3872292   6352 719188    0    0     0    96 5849 9077  4 41 55  0  0  0
 5  0      0 3862464   6368 728812    0    0     8    96 5665 8748  4 38 58  0  0  0
 3  0      0 3852636   6404 739388    0    0     4   220 5822 9126  5 37 58  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 3843060   6420 748744    0    0     0    96 5389 8557  4 39 56  0  0  0
 2  0      0 3831748   6444 758368    0    0     0   132 5194 8250  4 41 54  1  0  0
