filesystem,record_size,scenario,rounds,target_ops_mean,requests_mean,avg_ms_mean,avg_ms_stdev,p50_ms_mean,p90_ms_mean,p99_ms_mean,max_ms_mean,disk_util_mean,disk_await_mean,cpu_iowait_mean,bottleneck_rounds
ext4,102400,scenario_a,1,15000,163226,51.97,0.0,16.68,100.12,692.45,1267.29,21.233452914798207,0.0,0.6651785714285714,0
f2fs,102400,scenario_a,1,15000,177514,13.11,0.0,10.93,24.11,48.63,145.31,28.268760330578512,0.0,0.5789473684210527,0
