profile,phase,occupancy_target_pct,filesystem,record_size,scenario,total_rounds,valid_rounds,invalid_rounds,run_states,target_ops_mean,sent_ops_mean,ack_window_ops_mean,eventual_ack_ops_mean,outstanding_at_end_mean,drain_time_sec_mean,drain_completed_rounds,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,mapper_util_mean,mapper_await_mean,raw_util_mean,raw_await_mean,cpu_iowait_mean,bottleneck_rounds
latency,measure,,ext4,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19009.08,19009.0,19009.08,0,0.03,1,1140545,3.99,0.0,0.0,0.3,0.55,26.33,0.0,0.0,2474.71,15.059333333333333,250502.59616666668,14.246333333333334,90.04183333333333,3.6666666666666665,0
latency,measure,,ext4,1024,scenario_b,1,1,0,STALLED,20000,18756.58,18756.47,18756.58,0,0.02,1,1125395,4.99,0.0,0.0,0.4,1.87,42.21,0.0,0.0,3233.55,14.853333333333333,321071.837,14.433333333333334,97.02166666666668,3.9,0
latency,measure,,ext4,10240,scenario_a,1,1,0,BACKPRESSURED,2000,1948.02,1947.97,1948.02,0,0.02,1,116881,24.35,0.0,0.0,0.56,0.75,1071.28,0.0,0.0,2006.84,14.365666666666666,96065.45816666668,16.505666666666666,28.789,3.1166666666666667,0
latency,measure,,ext4,10240,scenario_b,1,1,0,NOT_SATURATED,2000,2000.0,2000.0,2000.0,0,0.04,1,120000,2.23,0.0,0.0,0.54,0.69,5.5,0.0,0.0,434.57,14.046666666666667,8975.569166666668,13.52,11.321,1.3,0
latency,measure,,ext4,102400,scenario_a,1,1,0,STALLED,200,200.0,200.0,200.0,0,0.05,1,12000,52.13,0.0,0.0,1.46,2.35,1731.52,0.0,0.0,2305.58,10.533333333333333,3414472.0085,14.126666666666667,88.98483333333334,3.7,0
latency,measure,,ext4,102400,scenario_b,1,1,0,NOT_SATURATED,200,200.0,200.0,200.0,0,0.03,1,12000,58.22,0.0,0.0,1.34,2.15,2160.36,0.0,0.0,2926.75,14.56,224658.16433333332,13.84,114.24316666666667,4.816666666666666,0
latency,measure,,ext4,1024000,scenario_a,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.15,1,1200,16.13,0.0,0.0,6.59,10.52,224.48,0.0,0.0,1329.92,11.38,303543.062,16.38,0.059833333333333336,2.066666666666667,0
latency,measure,,ext4,1024000,scenario_b,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.16,1,1200,46.84,0.0,0.0,6.16,9.31,1255.84,0.0,0.0,1755.32,15.74,236096.21116666665,17.413333333333334,56.877833333333335,4.666666666666667,0
latency,measure,,f2fs,1024,scenario_a,1,1,0,BACKPRESSURED,20000,19919.33,19919.15,19919.33,0,0.03,1,1195160,0.75,0.0,0.0,0.31,0.53,6.57,0.0,0.0,267.44,8.046666666666667,126732.52925128205,9.746666666666666,37.99210049019608,1.2,0
latency,measure,,f2fs,1024,scenario_b,1,1,0,BACKPRESSURED,20000,19962.12,19962.03,19962.12,0,0.02,1,1197727,0.9,0.0,0.0,0.37,1.05,11.98,0.0,0.0,89.15,6.44,708046.886,7.1000000000000005,17.824166666666667,0.48333333333333334,0
latency,measure,,f2fs,10240,scenario_a,1,1,0,NOT_SATURATED,2000,2000.0,1999.92,2000.0,0,0.02,1,120000,0.65,0.0,0.0,0.63,0.8,0.99,0.0,0.0,12.48,9.4795,25838.022666666668,10.173,0.027666666666666666,1.1666666666666667,0
latency,measure,,f2fs,10240,scenario_b,1,1,0,NOT_SATURATED,2000,2000.0,1999.98,2000.0,0,0.02,1,120000,0.59,0.0,0.0,0.57,0.72,0.88,0.0,0.0,19.25,8.946666666666667,637.9335,8.326666666666666,64.79216666666666,1.6166666666666667,0
latency,measure,,f2fs,102400,scenario_a,1,1,0,NOT_SATURATED,200,200.0,200.0,200.0,0,0.05,1,12000,1.16,0.0,0.0,1.09,1.54,2.04,0.0,0.0,14.75,7.086666666666667,17877.98216666667,8.106666666666667,0.04066666666666666,0.7333333333333333,0
latency,measure,,f2fs,102400,scenario_b,1,1,0,NOT_SATURATED,200,200.0,200.0,200.0,0,0.05,1,12000,1.15,0.0,0.0,1.06,1.58,2.26,0.0,0.0,16.32,16.64666666666667,35016.9525,17.92,6.123166666666666,0.9,0
latency,measure,,f2fs,1024000,scenario_a,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.22,1,1200,6.68,0.0,0.0,5.17,7.62,13.02,0.0,0.0,201.15,8.846666666666666,41694.381,8.313333333333333,64.99116666666667,1.8666666666666667,0
latency,measure,,f2fs,1024000,scenario_b,1,1,0,NOT_SATURATED,20,20.0,20.0,20.0,0,0.19,1,1200,4.82,0.0,0.0,4.43,5.62,12.3,0.0,0.0,17.01,7.48,1876.3561666666667,9.24,0.028,0.7666666666666667,0
