procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0    524 10918756   5364 314948    0    0   387 17229 1688    5  3  8 87  2  0  0
 2  0    524 10923352   5380 315048    0    0     0   100  949  695  0  0 99  0  0  0
 1  0    524 10925624   5396 315048    0    0     0    40 1155  778  0  1 98  0  0  0
 2  0    524 10882308   5424 319348    0    0  4384   188 7116 8392 28 20 49  3  0  0
 6  4    524 10609508   5456 341016    0    0  3280 13068 5265 7273 29 20 44  7  0  0
22  1    524 10216976   5488 400384    0    0    44 55528 4259 5504 26 44 16 13  0  0
14  1    524 9899440   5504 446336    0    0     0 45128 5651 6299 21 30 34 15  0  0
 9  1    524 9692260   5528 496600    0    0   224 53832 5227 6631 25 37 25 13  0  0
17  0    524 9510104   5560 643120    0    0     0 146352 4838 7801 37 40 15  8  0  0
21  1    524 9236352   5592 826676    0    0     0 185320 4810 8190 41 34 14 11  0  0
 5  1    524 8942760   5616 997460    0    0   160 174320 4672 6855 33 39 19  9  0  0
12  0    524 8679796   5648 1136084    0    0    20 139580 4663 8076 39 38 14  9  0  0
15  1    524 8367372   5672 1286800    0    0    40 148988 4382 8419 38 40 13  8  0  0
13  2    524 8188964   5704 1436476    0    0     0 146188 4640 7696 40 39 14  7  0  0
22  0    524 8027588   5728 1570652    0    0  1608 142300 4262 7573 26 41 23 10  0  0
 1  0    524 7934504   9220 1635248    0    0 12676 58112 5502 6330  8 24 55 14  0  0
