filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,102400,scenario_a,1,5000,120,30,16,False,False,5,12760,106.23,2.1,26243,0,108.86,0.05,762.9,1062.48,1258.83,1684.44,97.08098360655738,99.4,0.0,0.0,0.0,5.334344262295082,0.0,0.0,3.43801652892562,32.22314049586777,24.925619834710744,39.49586776859504,True,disk util avg 97.08% >= 80.00% | cpu iowait avg 39.50% >= 5.00%,results/kafka_fs_bench_20260424_164921/raw/r1_ext4_scenario_a_102400B_5000ops_measure.txt.gz,results/kafka_fs_bench_20260424_164921/monitor/r1_ext4_scenario_a_102400B_5000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260424_164921/monitor/r1_ext4_scenario_a_102400B_5000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_a,1,5000,120,30,16,False,False,5,13136,109.36,2.2,27217,0,105.05,0.02,743.67,986.61,1131.26,1334.13,98.26590163934426,101.3,0.0,0.0,0.08196721311475409,6.057049180327869,0.0,0.0,3.2975206611570247,34.40495867768595,24.677685950413224,37.65289256198347,True,disk util avg 98.27% >= 80.00% | cpu iowait avg 37.65% >= 5.00%,results/kafka_fs_bench_20260424_164921/raw/r1_f2fs_scenario_a_102400B_5000ops_measure.txt.gz,results/kafka_fs_bench_20260424_164921/monitor/r1_f2fs_scenario_a_102400B_5000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260424_164921/monitor/r1_f2fs_scenario_a_102400B_5000ops_measure_vmstat.txt.gz
