filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,app_avg_ms,app_p50_ms,app_p90_ms,app_p99_ms,app_p999_ms,app_max_ms,block_util_avg,block_util_max,block_await_avg,block_await_max,block_r_await_avg,block_w_await_avg,block_rkB_s_avg,block_wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,1024,scenario_a,1,100000,180,30,8,False,False,5,374159,2492.1,2.5,449796,0,12.43,9.87,25.99,48.74,101.84,221.35,4.074078947368421,91.0,4.4838157894736845,47.25,0.0,4.4838157894736845,0.0,2703.2926315789473,7.151315789473684,56.31578947368421,35.973684210526315,0.4144736842105263,False,,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_a_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b,1,100000,180,30,8,True,False,5,351702,2341.11,2.3,421770,0,14.44,10.76,30.44,67.19,161.77,330.59,4.212763157894737,78.82,4.962302631578948,49.50000000000001,0.0,4.962302631578948,0.0,2633.835789473684,9.085526315789474,54.13157894736842,36.23684210526316,0.47368421052631576,False,,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_b_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_a_dynamic,1,100000,180,30,8,False,True,5,327770,2182.14,2.2,400241,0,23.69,18.49,47.65,105.53,229.84,360.92,33.25881578947369,98.7,11.369605263157895,47.85,0.0,11.369605263157895,0.0,3243.9915789473685,9.269736842105264,59.63815789473684,22.388157894736842,8.763157894736842,False,cpu iowait avg 8.76% >= 5.00% | disk await avg 11.37 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_a_dynamic_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_dynamic_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_dynamic_1024B_100000ops_measure_vmstat.txt.gz
ext4,1024,scenario_b_dynamic,1,100000,180,30,8,True,True,5,364029,2421.69,2.4,441439,0,15.55,9.17,37.41,91.84,171.04,349.82,25.06058823529412,99.9,8.375798319327732,42.91,0.029411764705882353,8.37607843137255,0.1338562091503268,3577.374117647059,16.43421052631579,53.05921052631579,25.585526315789473,4.894736842105263,False,disk await avg 8.38 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_b_dynamic_1024B_100000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_dynamic_1024B_100000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_dynamic_1024B_100000ops_measure_vmstat.txt.gz
ext4,10240,scenario_a,1,10000,180,30,8,False,False,5,359218,2391.77,23.9,432476,0,14.38,10.07,30.75,79.56,132.75,284.14,13.251986754966888,99.9,7.909933774834437,112.06,0.0,7.909933774834437,0.0,25397.844768211922,8.172185430463577,56.87417218543046,34.205298013245034,0.6622516556291391,False,disk await avg 7.91 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_a_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,1,10000,180,30,8,True,False,5,362773,2415.67,24.2,436124,0,14.5,9.19,30.9,97.59,167.98,312.68,12.149139072847682,100.4,5.950662251655629,103.94000000000001,0.0,5.950662251655629,0.0,22547.869668874173,11.19205298013245,54.158940397350996,34.019867549668874,0.5033112582781457,False,disk await avg 5.95 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_b_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_a_dynamic,1,10000,180,30,8,False,True,5,346924,2310.35,23.1,416592,0,20.82,12.81,42.67,148.07,290.91,533.84,31.95565789473684,100.0,10.510328947368421,35.14,0.0,10.510328947368421,0.0,22932.547368421052,9.42384105960265,56.437086092715234,30.172185430463575,3.993377483443709,False,disk await avg 10.51 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_a_dynamic_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_dynamic_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_dynamic_10240B_10000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b_dynamic,1,10000,180,30,8,True,True,5,353261,2352.78,23.5,423221,0,22.71,12.5,44.77,203.17,358.37,589.12,31.29907894736842,100.1,10.51328947368421,34.58,0.0,10.51328947368421,0.0,23560.555789473685,11.304635761589404,55.735099337748345,29.350993377483444,3.6490066225165565,False,disk await avg 10.51 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_b_dynamic_10240B_10000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_dynamic_10240B_10000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_dynamic_10240B_10000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,1,1000,180,30,8,False,False,5,113938,758.99,75.9,136153,0,8.92,6.41,18.68,49.51,96.86,211.0,19.657814569536423,99.9,5.9555629139072845,21.55,0.0,5.9555629139072845,0.0,76552.81589403974,6.695364238410596,43.49006622516556,49.17218543046358,0.6158940397350994,False,disk await avg 5.96 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_a_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_a_102400B_1000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,1,1000,180,30,8,True,False,5,111432,742.42,74.2,132956,0,8.85,5.83,18.76,56.83,99.15,160.02,18.75973509933775,100.5,5.837086092715232,23.75,0.0,5.837086092715232,0.0,77850.44768211921,10.271523178807946,43.89403973509934,45.324503311258276,0.4966887417218543,False,disk await avg 5.84 ms >= 5.00 ms,results/kafka_fs_bench_20260525_061559/raw/r1_ext4_scenario_b_102400B_1000ops_measure.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_102400B_1000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260525_061559/monitor/r1_ext4_scenario_b_102400B_1000ops_measure_vmstat.txt.gz
