
================================================================================
 RECORD SIZE 102400 / ROUND 1/1 START 
================================================================================

######################################################################
# FILESYSTEM = EXT4
######################################################################
[Record Size] 102400 Bytes
[Fixed OP/s] EXT4 / scenario_a / 102400B -> target_ops=1000
[Service] Stopping Kafka KRaft broker ...

[Setup] Formatting & Mounting as ext4 ...
NAME MAJ:MIN RM SIZE RO TYPE MOUNTPOINTS
sdc    8:32   0  20G  0 disk /mnt/kafka-logs
/dev/sdc on /mnt/kafka-logs type ext4 (rw,noatime,nodiratime)
[Service] Starting Kafka in KRaft mode ...
[Service] Recreating benchmark topic ...

--- [MEASURE] EXT4 / scenario_a / 102400B / 1000 ops ---
  > =====================================
  >  Kafka Filesystem Benchmark (Java API)
  > =====================================
  >  - Record Size: 102400 Bytes
  >  - Target OP/s (total): 1000
  >  - Producers: 8
  >  - Consumer Active: false
  >  - Dynamic Topic Creation: false (rate=5/sec)
  >  - Warmup: 30 sec / Total Duration: 180 sec
  >  - Send mode: ASYNC (callback-based latency measurement)
  > [Config] BUFFER_MEMORY per producer = 32 MB
  > [Run] Producers started. warmup=30s, total=180s
  > 
  > --- [ Latency Results (ms) ] ---
  >  (App-level: send() call -> broker ACK; reaches OS page cache)
  >  Total Requests : 106667
  >  Average        : 18.71 ms
  >  p50 (Median)   : 15.45 ms
  >  p90            : 31.69 ms
  >  p99            : 79.68 ms
  >  p999           : 184.90 ms
  >  Max            : 345.75 ms
  > --------------------------------
  > --- [ Throughput / Errors ] ---
  >  Target OP/s         : 1000
  >  Achieved OP/s       : 710.45
  >  Achieved/Target (%) : 71.0
  >  Total Sent (incl. warmup) : 127223
  >  Send Errors               : 0
  > --------------------------------
  > 
  > --- [ Per-second Throughput & Latency ] ---
  > Sec  55 | send=   658 | ack=   675 | p50=17.24 ms | p99=98.01 ms
  > Sec  56 | send=   719 | ack=   712 | p50=15.40 ms | p99=39.91 ms
  > Sec  57 | send=   718 | ack=   720 | p50=14.04 ms | p99=35.22 ms
  > Sec  58 | send=   715 | ack=   714 | p50=15.66 ms | p99=47.38 ms
  > Sec  59 | send=   704 | ack=   704 | p50=13.12 ms | p99=40.89 ms
  > Sec  60 | send=   696 | ack=   664 | p50=16.08 ms | p99=51.98 ms
  > Sec  61 | send=   676 | ack=   704 | p50=24.00 ms | p99=106.94 ms
  > Sec  62 | send=   754 | ack=   757 | p50=14.15 ms | p99=39.29 ms
  > Sec  63 | send=   678 | ack=   679 | p50=14.19 ms | p99=41.58 ms
  > Sec  64 | send=   718 | ack=   723 | p50=14.60 ms | p99=34.84 ms
  > Sec  65 | send=   723 | ack=   716 | p50=13.99 ms | p99=41.29 ms
  > Sec  66 | send=   721 | ack=   724 | p50=14.22 ms | p99=39.12 ms
  > Sec  67 | send=   718 | ack=   712 | p50=13.18 ms | p99=34.05 ms
  > Sec  68 | send=   723 | ack=   733 | p50=15.29 ms | p99=46.55 ms
  > Sec  69 | send=   730 | ack=   721 | p50=14.60 ms | p99=35.79 ms
  > Sec  70 | send=   729 | ack=   733 | p50=13.57 ms | p99=37.98 ms
  > Sec  71 | send=   692 | ack=   693 | p50=14.20 ms | p99=48.46 ms
  > Sec  72 | send=   717 | ack=   714 | p50=14.55 ms | p99=41.11 ms
  > Sec  73 | send=   731 | ack=   733 | p50=15.83 ms | p99=52.70 ms
  > Sec  74 | send=   735 | ack=   737 | p50=13.25 ms | p99=34.79 ms
  > Sec  75 | send=   670 | ack=   675 | p50=14.51 ms | p99=81.35 ms
  > Sec  76 | send=   714 | ack=   712 | p50=16.41 ms | p99=55.86 ms
  > Sec  77 | send=   736 | ack=   726 | p50=13.57 ms | p99=36.49 ms
  > Sec  78 | send=   693 | ack=   674 | p50=29.11 ms | p99=106.08 ms
  > Sec  79 | send=   607 | ack=   633 | p50=19.11 ms | p99=151.92 ms
  > Sec  80 | send=   726 | ack=   727 | p50=13.16 ms | p99=37.40 ms
  > Sec  81 | send=   735 | ack=   738 | p50=13.51 ms | p99=34.61 ms
  > Sec  82 | send=   723 | ack=   717 | p50=14.58 ms | p99=55.70 ms
  > Sec  83 | send=   715 | ack=   715 | p50=13.84 ms | p99=44.57 ms
  > Sec  84 | send=   737 | ack=   737 | p50=13.44 ms | p99=41.30 ms
  > Sec  85 | send=   724 | ack=   728 | p50=18.98 ms | p99=94.30 ms
  > Sec  86 | send=   721 | ack=   722 | p50=14.38 ms | p99=38.93 ms
  > Sec  87 | send=   719 | ack=   712 | p50=14.16 ms | p99=34.01 ms
  > Sec  88 | send=   731 | ack=   735 | p50=13.40 ms | p99=41.79 ms
  > Sec  89 | send=   718 | ack=   711 | p50=13.51 ms | p99=35.77 ms
  > Sec  90 | send=   718 | ack=   722 | p50=14.65 ms | p99=40.93 ms
  > Sec  91 | send=   710 | ack=   707 | p50=16.01 ms | p99=49.14 ms
  > Sec  92 | send=   729 | ack=   735 | p50=14.15 ms | p99=32.56 ms
  > Sec  93 | send=   715 | ack=   712 | p50=14.92 ms | p99=49.26 ms
  > Sec  94 | send=   719 | ack=   715 | p50=15.62 ms | p99=44.88 ms
  > Sec  95 | send=   707 | ack=   700 | p50=18.05 ms | p99=59.99 ms
  > Sec  96 | send=   692 | ack=   692 | p50=15.80 ms | p99=46.30 ms
  > Sec  97 | send=   721 | ack=   727 | p50=21.76 ms | p99=71.42 ms
  > Sec  98 | send=   706 | ack=   716 | p50=24.81 ms | p99=108.00 ms
  > Sec  99 | send=   696 | ack=   685 | p50=15.07 ms | p99=51.59 ms
  > Sec 100 | send=   727 | ack=   742 | p50=14.23 ms | p99=32.11 ms
  > Sec 101 | send=   716 | ack=   710 | p50=14.64 ms | p99=43.81 ms
  > Sec 102 | send=   704 | ack=   709 | p50=14.17 ms | p99=38.71 ms
  > Sec 103 | send=   704 | ack=   697 | p50=15.13 ms | p99=66.77 ms
  > Sec 104 | send=   704 | ack=   701 | p50=21.34 ms | p99=88.72 ms
  > Sec 105 | send=   708 | ack=   706 | p50=14.45 ms | p99=40.46 ms
  > Sec 106 | send=   720 | ack=   723 | p50=14.85 ms | p99=52.77 ms
  > Sec 107 | send=   710 | ack=   712 | p50=16.27 ms | p99=44.16 ms
  > Sec 108 | send=   730 | ack=   722 | p50=13.00 ms | p99=32.99 ms
  > Sec 109 | send=   734 | ack=   742 | p50=13.21 ms | p99=39.61 ms
  > Sec 110 | send=   734 | ack=   736 | p50=14.34 ms | p99=36.78 ms
  > Sec 111 | send=   709 | ack=   712 | p50=13.63 ms | p99=42.51 ms
  > Sec 112 | send=   730 | ack=   731 | p50=14.36 ms | p99=34.78 ms
  > Sec 113 | send=   739 | ack=   729 | p50=14.87 ms | p99=43.60 ms
  > Sec 114 | send=   743 | ack=   750 | p50=15.23 ms | p99=60.14 ms
  > Sec 115 | send=   703 | ack=   687 | p50=16.02 ms | p99=58.78 ms
  > Sec 116 | send=   712 | ack=   713 | p50=16.45 ms | p99=55.98 ms
  > Sec 117 | send=   655 | ack=   652 | p50=49.76 ms | p99=164.25 ms
  > Sec 118 | send=   679 | ack=   689 | p50=93.11 ms | p99=307.13 ms
  > Sec 119 | send=   717 | ack=   730 | p50=17.98 ms | p99=65.08 ms
  > Sec 120 | send=   739 | ack=   729 | p50=12.71 ms | p99=33.92 ms
  > Sec 121 | send=   724 | ack=   727 | p50=14.03 ms | p99=72.79 ms
  > Sec 122 | send=   742 | ack=   747 | p50=12.80 ms | p99=33.29 ms
  > Sec 123 | send=   710 | ack=   705 | p50=14.34 ms | p99=51.06 ms
  > Sec 124 | send=   744 | ack=   740 | p50=11.38 ms | p99=34.81 ms
  > Sec 125 | send=   730 | ack=   733 | p50=13.23 ms | p99=32.27 ms
  > Sec 126 | send=   726 | ack=   729 | p50=14.73 ms | p99=36.60 ms
  > Sec 127 | send=   702 | ack=   696 | p50=16.07 ms | p99=46.72 ms
  > Sec 128 | send=   717 | ack=   725 | p50=14.31 ms | p99=32.68 ms
  > Sec 129 | send=   736 | ack=   737 | p50=13.70 ms | p99=31.99 ms
  > Sec 130 | send=   716 | ack=   716 | p50=14.16 ms | p99=47.92 ms
  > Sec 131 | send=   697 | ack=   695 | p50=17.19 ms | p99=65.27 ms
  > Sec 132 | send=   671 | ack=   669 | p50=18.42 ms | p99=82.51 ms
  > Sec 133 | send=   732 | ack=   736 | p50=13.66 ms | p99=37.35 ms
  > Sec 134 | send=   699 | ack=   700 | p50=17.80 ms | p99=88.69 ms
  > Sec 135 | send=   674 | ack=   666 | p50=17.60 ms | p99=62.49 ms
  > Sec 136 | send=   673 | ack=   669 | p50=26.98 ms | p99=105.67 ms
  > Sec 137 | send=   668 | ack=   673 | p50=22.94 ms | p99=85.56 ms
  > Sec 138 | send=   682 | ack=   687 | p50=23.93 ms | p99=96.07 ms
  > Sec 139 | send=   730 | ack=   725 | p50=14.21 ms | p99=43.88 ms
  > Sec 140 | send=   719 | ack=   716 | p50=14.03 ms | p99=38.45 ms
  > Sec 141 | send=   701 | ack=   697 | p50=16.19 ms | p99=44.47 ms
  > Sec 142 | send=   715 | ack=   725 | p50=14.95 ms | p99=39.63 ms
  > Sec 143 | send=   706 | ack=   700 | p50=13.30 ms | p99=34.12 ms
  > Sec 144 | send=   634 | ack=   630 | p50=19.96 ms | p99=98.70 ms
  > Sec 145 | send=   725 | ack=   724 | p50=14.40 ms | p99=42.39 ms
  > Sec 146 | send=   720 | ack=   733 | p50=14.39 ms | p99=82.16 ms
  > Sec 147 | send=   730 | ack=   729 | p50=15.59 ms | p99=37.73 ms
  > Sec 148 | send=   721 | ack=   720 | p50=13.86 ms | p99=37.73 ms
  > Sec 149 | send=   726 | ack=   724 | p50=13.66 ms | p99=34.83 ms
  > Sec 150 | send=   727 | ack=   732 | p50=13.85 ms | p99=35.80 ms
  > Sec 151 | send=   727 | ack=   727 | p50=13.98 ms | p99=40.97 ms
  > Sec 152 | send=   697 | ack=   687 | p50=13.94 ms | p99=43.78 ms
  > Sec 153 | send=   727 | ack=   735 | p50=17.71 ms | p99=53.51 ms
