filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,102400,scenario_a,1,5000,120,30,16,False,False,5,56650,544.53,10.9,84138,0,19.88,0.02,105.97,246.82,323.93,420.73,92.59171428571429,96.9,0.0,0.0,0.0,5.801809523809524,0.0,0.0,7.885714285714286,39.97142857142857,31.038095238095238,21.104761904761904,True,disk util avg 92.59% >= 80.00% | cpu iowait avg 21.10% >= 5.00%,results/kafka_fs_bench_20260424_173420/raw/r1_ext4_scenario_a_102400B_5000ops_measure.txt.gz,results/kafka_fs_bench_20260424_173420/monitor/r1_ext4_scenario_a_102400B_5000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260424_173420/monitor/r1_ext4_scenario_a_102400B_5000ops_measure_vmstat.txt.gz
f2fs,102400,scenario_a,1,5000,120,30,16,False,False,5,63953,610.28,12.2,94323,0,16.82,0.02,66.08,208.34,251.72,349.49,89.8138679245283,93.5,0.0,0.0,0.3584905660377358,4.714433962264151,0.0,0.0,7.349056603773585,35.716981132075475,39.264150943396224,17.650943396226417,True,disk util avg 89.81% >= 80.00% | cpu iowait avg 17.65% >= 5.00%,results/kafka_fs_bench_20260424_173420/raw/r1_f2fs_scenario_a_102400B_5000ops_measure.txt.gz,results/kafka_fs_bench_20260424_173420/monitor/r1_f2fs_scenario_a_102400B_5000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260424_173420/monitor/r1_f2fs_scenario_a_102400B_5000ops_measure_vmstat.txt.gz
