
================================================================================
 RECORD SIZE 102400 / ROUND 3/3 START 
================================================================================

######################################################################
# FILESYSTEM = EXT4
######################################################################
[Record Size] 102400 Bytes
[Fixed OP/s] EXT4 / scenario_a / 102400B -> target_ops=1000
[Service] Stopping Kafka KRaft broker ...

[Setup] Formatting & Mounting as ext4 ...
NAME MAJ:MIN RM SIZE RO TYPE MOUNTPOINTS
sdc    8:32   0  20G  0 disk /mnt/kafka-logs
/dev/sdc on /mnt/kafka-logs type ext4 (rw,noatime,nodiratime)
[Service] Starting Kafka in KRaft mode ...
[Service] Recreating benchmark topic ...

--- [MEASURE] EXT4 / scenario_a / 102400B / 1000 ops ---
  > =====================================
  >  Kafka Filesystem Benchmark (Java API)
  > =====================================
  >  - Record Size: 102400 Bytes
  >  - Target OP/s (total): 1000
  >  - Producers: 8
  >  - Consumer Active: false
  >  - Dynamic Topic Creation: false (rate=5/sec)
  >  - Warmup: 30 sec / Total Duration: 180 sec
  >  - Send mode: ASYNC (callback-based latency measurement)
  > [Config] BUFFER_MEMORY per producer = 32 MB
  > [Config] linger.ms=0, batch.size=102912
  > [Run] Producers started. warmup=30s, total=180s
  > 
  > --- [ Latency Results (ms) ] ---
  >  (App-level: send() call -> broker ACK; reaches OS page cache)
  >  Total Requests : 114383
  >  Average        : 8.55 ms
  >  p50 (Median)   : 5.93 ms
  >  p90            : 17.43 ms
  >  p99            : 49.30 ms
  >  p999           : 144.40 ms
  >  Max            : 345.69 ms
  > --------------------------------
  > --- [ Throughput / Errors ] ---
  >  Target OP/s         : 1000
  >  Achieved OP/s       : 762.05
  >  Achieved/Target (%) : 76.2
  >  Total Sent (incl. warmup) : 136947
  >  Send Errors               : 0
  > --------------------------------
  > 
  > --- [ Per-second Throughput & Latency ] ---
  > Sec   0 | send=   443 | ack=   441 | p50=8.68 ms | p99=542.00 ms
  > Sec   1 | send=   713 | ack=   715 | p50=5.18 ms | p99=38.94 ms
  > Sec   2 | send=   772 | ack=   772 | p50=3.03 ms | p99=21.94 ms
  > Sec   3 | send=   703 | ack=   698 | p50=2.80 ms | p99=26.69 ms
  > Sec   4 | send=   817 | ack=   817 | p50=3.29 ms | p99=27.06 ms
  > Sec   5 | send=   795 | ack=   790 | p50=4.32 ms | p99=23.04 ms
  > Sec   6 | send=   799 | ack=   802 | p50=4.93 ms | p99=21.50 ms
  > Sec   7 | send=   716 | ack=   720 | p50=3.71 ms | p99=18.08 ms
  > Sec   8 | send=   799 | ack=   802 | p50=3.96 ms | p99=24.91 ms
  > Sec   9 | send=   792 | ack=   788 | p50=3.96 ms | p99=21.02 ms
  > Sec  10 | send=   775 | ack=   776 | p50=3.57 ms | p99=22.18 ms
  > Sec  11 | send=   803 | ack=   801 | p50=4.58 ms | p99=21.01 ms
  > Sec  12 | send=   785 | ack=   790 | p50=4.53 ms | p99=24.65 ms
  > Sec  13 | send=   697 | ack=   697 | p50=7.25 ms | p99=60.81 ms
  > Sec  14 | send=   745 | ack=   728 | p50=7.80 ms | p99=55.75 ms
  > Sec  15 | send=   729 | ack=   740 | p50=17.65 ms | p99=71.10 ms
  > Sec  16 | send=   729 | ack=   725 | p50=11.67 ms | p99=37.56 ms
  > Sec  17 | send=   769 | ack=   776 | p50=5.58 ms | p99=21.03 ms
  > Sec  18 | send=   777 | ack=   768 | p50=5.52 ms | p99=24.09 ms
  > Sec  19 | send=   761 | ack=   761 | p50=6.52 ms | p99=22.23 ms
  > Sec  20 | send=   796 | ack=   807 | p50=4.60 ms | p99=21.78 ms
  > Sec  21 | send=   765 | ack=   761 | p50=5.84 ms | p99=26.08 ms
  > Sec  22 | send=   731 | ack=   732 | p50=10.32 ms | p99=36.45 ms
