filesystem,record_size,scenario,rounds,target_ops_mean,requests_mean,avg_ms_mean,avg_ms_stdev,p50_ms_mean,p90_ms_mean,p99_ms_mean,max_ms_mean,disk_util_mean,disk_await_mean,cpu_iowait_mean,bottleneck_rounds
ext4,102400,scenario_a,1,15000,165040,1.7,0.0,0.02,0.17,5.0,60001.96,25.302263157894735,0.0,3.328042328042328,0
f2fs,102400,scenario_a,1,15000,179554,1.58,0.0,0.02,0.14,5.0,60116.23,35.6447027027027,0.0,2.0052631578947366,0
