filesystem,record_size,scenario,round,target_ops,duration,warmup_sec,producers,use_consumer,dynamic_topics,dynamic_topic_rate,total_requests,achieved_ops,achieved_pct,total_sent,send_errors,avg_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,util_avg,util_max,await_avg,await_max,r_await_avg,w_await_avg,rkB_s_avg,wkB_s_avg,cpu_us_avg,cpu_sy_avg,cpu_id_avg,cpu_wa_avg,bottleneck,bottleneck_reasons,raw_output_path,iostat_path,vmstat_path
ext4,10240,scenario_a,4,20000,120,30,16,False,False,5,135658,1213.31,6.1,239207,0,7.03,0.01,9.18,142.82,223.62,334.06,74.91823008849558,82.2,0.0,0.0,0.0,4.986725663716814,0.0,0.0,5.070796460176991,37.84070796460177,46.1858407079646,11.017699115044248,False,cpu iowait avg 11.02% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_a_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_10240B_20000ops_measure_vmstat.txt.gz
ext4,10240,scenario_a,5,20000,120,30,16,False,False,5,138232,1231.78,6.2,241725,0,6.74,0.01,7.31,127.32,180.19,332.96,75.43982300884956,82.5,0.0,0.0,0.0,5.130176991150442,0.0,0.0,4.672566371681416,37.46017699115044,46.54867256637168,11.29203539823009,False,cpu iowait avg 11.29% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_a_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_10240B_20000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,1,20000,120,30,16,True,True,5,132232,1172.9,5.9,234997,0,7.31,0.01,13.13,128.12,177.7,251.2,76.74622807017543,84.26,0.0,0.0,0.0,5.025087719298246,0.0,0.0,8.219298245614034,39.01754385964912,41.078947368421055,11.736842105263158,False,cpu iowait avg 11.74% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_b_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_10240B_20000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,2,20000,120,30,16,True,True,5,137012,1225.03,6.1,239974,0,6.87,0.01,10.22,126.02,179.92,270.54,77.89867256637169,83.2,0.0,0.0,0.0,5.69070796460177,0.0,0.0,8.938053097345133,40.56637168141593,38.203539823008846,12.4070796460177,False,cpu iowait avg 12.41% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_b_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_10240B_20000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,3,20000,120,30,16,True,True,5,156447,1433.7,7.2,260903,0,5.5,0.01,2.65,156.62,249.15,337.39,78.23854545454546,85.54,0.0,0.0,0.0,6.180181818181818,0.0,0.0,8.436363636363636,39.90909090909091,36.88181818181818,14.763636363636364,False,cpu iowait avg 14.76% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_b_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_10240B_20000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,4,20000,120,30,16,True,True,5,119330,1040.09,5.2,219669,0,8.59,0.01,21.62,143.74,197.67,335.92,73.33155172413792,80.7,0.0,0.0,0.0,4.394310344827586,0.0,0.0,7.956896551724138,36.939655172413794,44.64655172413793,10.508620689655173,False,cpu iowait avg 10.51% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_b_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_10240B_20000ops_measure_vmstat.txt.gz
ext4,10240,scenario_b,5,20000,120,30,16,True,True,5,141621,1281.44,6.4,250930,0,6.36,0.01,4.26,146.4,211.7,320.72,81.56267857142858,89.1,0.0,0.0,0.0,6.6258035714285715,0.0,0.0,8.410714285714286,41.63392857142857,36.0,13.964285714285714,True,disk util avg 81.56% >= 80.00% | cpu iowait avg 13.96% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_b_10240B_20000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_10240B_20000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_10240B_20000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,1,2000,120,30,16,False,False,5,62857,623.79,31.2,93156,0,13.02,0.02,52.98,179.34,251.01,344.53,85.28156862745098,90.7,0.0,0.0,0.0,6.942450980392157,0.0,0.0,9.03921568627451,39.59803921568628,37.254901960784316,14.098039215686274,True,disk util avg 85.28% >= 80.00% | cpu iowait avg 14.10% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_a_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_a_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_a_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,2,2000,120,30,16,False,False,5,66498,656.21,32.8,97663,0,11.65,0.02,35.94,167.72,247.36,347.3,84.50549019607843,90.0,0.0,0.0,0.0,6.557843137254902,0.0,0.0,9.235294117647058,38.71568627450981,37.80392156862745,14.254901960784315,True,disk util avg 84.51% >= 80.00% | cpu iowait avg 14.25% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_a_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_a_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_a_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,3,2000,120,30,16,False,False,5,63993,632.7,31.6,93721,0,12.59,0.02,31.39,194.32,294.42,426.87,80.3229411764706,85.8,0.0,0.0,0.0,5.8471568627450985,0.0,0.0,8.735294117647058,37.07843137254902,42.3235294117647,11.872549019607844,True,disk util avg 80.32% >= 80.00% | cpu iowait avg 11.87% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_a_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_a_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_a_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,4,2000,120,30,16,False,False,5,66395,661.1,33.1,97957,0,11.71,0.02,38.25,174.94,266.28,443.95,86.46901960784314,92.2,0.0,0.0,0.0,7.574019607843137,0.0,0.0,9.485148514851485,42.35643564356435,33.40594059405941,14.821782178217822,True,disk util avg 86.47% >= 80.00% | cpu iowait avg 14.82% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_a_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_a_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_a,5,2000,120,30,16,False,False,5,67762,669.62,33.5,97285,0,11.07,0.02,20.43,162.94,243.19,431.34,81.03470588235294,90.0,0.0,0.0,0.0,5.764705882352941,0.0,0.0,8.92156862745098,36.26470588235294,42.1078431372549,12.754901960784315,True,disk util avg 81.03% >= 80.00% | cpu iowait avg 12.75% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_a_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_a_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,1,2000,120,30,16,True,True,5,58396,573.75,28.7,87165,0,14.59,0.02,44.5,216.37,318.6,439.6,85.11436893203883,91.3,0.0,0.0,0.0,6.70378640776699,0.0,0.0,11.922330097087379,40.09708737864078,34.20388349514563,13.844660194174757,True,disk util avg 85.11% >= 80.00% | cpu iowait avg 13.84% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_b_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_b_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,2,2000,120,30,16,True,True,5,63683,626.57,31.3,95113,0,12.38,0.02,35.95,187.71,297.34,462.11,86.39446601941748,91.2,0.0,0.0,0.04854368932038835,7.4341747572815535,0.0,0.0,13.03883495145631,42.271844660194176,30.155339805825243,14.592233009708737,True,disk util avg 86.39% >= 80.00% | cpu iowait avg 14.59% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r2_ext4_scenario_b_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r2_ext4_scenario_b_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,3,2000,120,30,16,True,True,5,65722,649.95,32.5,97355,0,11.53,0.02,25.79,178.27,249.91,509.13,84.89313725490196,89.8,0.0,0.0,0.1568627450980392,7.845392156862745,0.0,0.0,12.823529411764707,41.970588235294116,29.96078431372549,15.22549019607843,True,disk util avg 84.89% >= 80.00% | cpu iowait avg 15.23% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r3_ext4_scenario_b_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r3_ext4_scenario_b_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,4,2000,120,30,16,True,True,5,58413,572.29,28.6,88112,0,14.64,0.02,48.05,218.76,341.0,515.52,85.34631067961165,90.2,0.0,0.0,0.0,6.987961165048544,0.0,0.0,12.174757281553399,40.87378640776699,33.03883495145631,14.019417475728156,True,disk util avg 85.35% >= 80.00% | cpu iowait avg 14.02% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r4_ext4_scenario_b_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r4_ext4_scenario_b_102400B_2000ops_measure_vmstat.txt.gz
ext4,102400,scenario_b,5,2000,120,30,16,True,True,5,65130,642.75,32.1,94915,0,11.67,0.02,24.21,176.53,253.8,444.62,80.80611650485437,86.9,0.0,0.0,0.04854368932038835,6.890485436893204,0.0,0.0,12.563106796116505,38.66019417475728,34.04854368932039,14.79611650485437,True,disk util avg 80.81% >= 80.00% | cpu iowait avg 14.80% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r5_ext4_scenario_b_102400B_2000ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_102400B_2000ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r5_ext4_scenario_b_102400B_2000ops_measure_vmstat.txt.gz
ext4,1024000,scenario_a,1,200,120,30,16,False,False,5,15099,124.54,62.3,20435,16,10.5,0.2,11.55,238.0,430.9,610.1,69.65949579831933,97.67,0.0,0.0,0.0,6.750672268907563,0.0,0.0,19.040983606557376,30.491803278688526,39.795081967213115,10.631147540983607,False,cpu iowait avg 10.63% >= 5.00%,results/kafka_fs_bench_20260427_193431/raw/r1_ext4_scenario_a_1024000B_200ops_measure.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_a_1024000B_200ops_measure_iostat.txt.gz,results/kafka_fs_bench_20260427_193431/monitor/r1_ext4_scenario_a_1024000B_200ops_measure_vmstat.txt.gz
