procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10894008   6156 288636    0    0   452  2009 3478   12  4 18 77  1  0  0
 2  0      0 10901276   6224 288720    0    0    36   104 1386 1193  0  1 99  0  0  0
 5  0      0 10901920   6248 288720    0    0     8   716 1307  896  1  1 98  1  0  0
 1  0      0 10822016   6412 295040    0    0  6552    48 6610 5845 16 10 71  3  0  0
13  0      0 10786272   6428 299008    0    0   272    68 6930 10959 45 25 30  0  0  0
10  0      0 10769136   6444 300444    0    0     0    88 5802 8302 28 29 43  0  0  0
 2  0      0 10729828   6476 302176    0    0     0   188 6561 8063 29 26 44  1  0  0
15  0      0 10722016   6496 303472    0    0     0  5744 5143 6410 23 27 49  1  0  0
 2  0      0 10695304   6652 305140    0    0   136   160 7316 8452 47 18 35  0  0  0
11  0      0 10665820   6668 306792    0    0     0    96 6158 7334 30 23 47  0  0  0
 3  0      0 10664056   6684 308304    0    0     0    96 5965 7276 21 29 49  0  0  0
 7  0      0 10660024   6748 309760    0    0   160   376 5075 7383 22 37 40  1  0  0
 9  1      0 10657028   6772 311024    0    0     0   116 4697 7494 15 42 43  1  0  0
 5  0      0 10654004   6788 312324    0    0     0   172 5177 7659 19 40 41  1  0  0
 4  0      0 10650224   6804 313676    0    0     0    92 5309 7808 11 42 46  1  0  0
12  0      0 10644680   6820 314956    0    0     0    96 4995 7608 12 40 47  0  0  0
 8  0      0 10611416   6852 316488    0    0     0   196 6356 8696 31 31 38  0  0  0
 3  0      0 10606880   6876 317876    0    0     0   132 5544 7904 19 37 43  1  0  0
 7  0      0 10601336   6892 319152    0    0     0   164 4942 7619 17 37 46  1  0  0
 7  0      0 10579916   6908 320508    0    0     0    96 5842 7751 29 21 49  0  0  0
 4  0      0 10571852   7340 322400    0    0  1048   156 4687 7381  5 45 48  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
23  0      0 10567820   7372 323604    0    0     0   196 4541 7299  8 26 65  1  0  0
 7  0      0 10566308   7524 324920    0    0   136    96 4832 7717 10 36 53  0  0  0
 3  0      0 10565804   7540 326160    0    0     0   232 4635 7496  3 34 61  1  0  0
 9  0      0 10565364   7556 327360    0    0     0    96 4434 7354  9 39 52  0  0  0
 2  1      0 10565376   7576 328644    0    0     0   156 4504 7604  5 40 54  1  0  0
 3  0      0 10564984   7612 329984    0    0     0   220 4956 8080  6 34 58  1  0  0
 5  0      0 10563724   7628 331132    0    0     0    96 4105 6837  2 37 61  0  0  0
 6  0      0 10561484   7644 332412    0    0     0   268 4696 7560  4 38 56  1  0  0
 1  0      0 10559972   7660 333664    0    0     0    96 4594 7647  4 36 60  0  0  0
 8  1      0 10558712   7680 334968    0    0     0   140 4397 7395  3 39 58  0  0  0
 0  0      0 10557704   7716 336104    0    0     0   212 4370 7235  3 42 53  1  0  0
