procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10864244   4924 291524    0    0   443 24841 4068   16  7 23 69  1  0  0
 1  0     12 10872084   4960 291600    0    0    36    44 1159 1020  0  1 99  0  0  0
 2  1     12 10878904   4960 291600    0    0     0   108 1117  716  0  1 99  0  0  0
 1  0     12 10824108   5108 297640    0    0  6140   308 6332 5655 15 10 72  2  0  0
10  1     12 10626896   5108 365284    0    0  1584  3020 6311 10155 42 30 26  3  0  0
11  1     12 10411488   5108 508880    0    0     0  6800 6093 12369 51 39  9  2  0  0
 8  0     12 10212188   5108 664952    0    0   224  2056 6665 11664 45 29 25  1  0  0
 3  0     12 10020784   5108 843224    0    0     0    16 7669 11862 52 24 23  0  0  0
 5  0     12 9821872   5116 1005908    0    0     0   460 7205 10626 41 29 29  0  0  0
20  0     12 9576924   5116 1162904    0    0    64    16 6760 12124 43 30 27  0  0  0
 8  1     12 9283716   5116 1323252    0    0   152  1080 6934 13678 52 30 18  0  0  0
12  0     12 9095372   5116 1451084    0    0     0 123348 5197 11339 44 40 15  1  0  0
 8  0     12 8875368   5116 1589384    0    0     0 140504 5679 11393 27 53 19  1  0  0
18  0     12 8660076   5128 1692260    0    0     0 379192 4192 9289 20 46 34  0  0  0
14  1     12 8358592   5128 1794000    0    0    56 489244 4009 9163 24 43 31  1  0  0
12  0     12 8192672   5128 1918328    0    0     0 141640 5702 11285 26 38 35  0  0  0
 5  0     12 8027920   5128 2084772    0    0     0  4480 7561 13703 36 39 25  0  0  0
11  0     12 7871824   5128 2239532    0    0     0    16 6933 12560 28 43 28  0  0  0
 8  0     12 7713296   5136 2390888    0    0     0   144 6862 12424 25 45 30  0  0  0
11  0     12 7562924   5136 2542376    0    0     0    16 7193 12381 26 47 27  0  0  0
 6  0     12 7330920   5136 2682228    0    0     0 144920 6295 12719 29 47 23  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0     12 7180992   5136 2831580    0    0     4 145348 6735 12332 22 51 27  0  0  0
13  0     12 7055860   5136 2955400    0    0     0 110568 5391 10301 21 51 28  0  0  0
11  0     12 6907404   5148 3103596    0    0     0 157144 6236 11984 20 54 25  1  0  0
11  0     12 6766456   5148 3246300    0    0     0 122648 6121 11712 20 53 26  0  0  0
 5  1     12 6490124   5148 3378968    0    0     0 251396 5464 11567 19 60 20  1  0  0
 6  0     12 6355176   5148 3510096    0    0     0 280748 4532 10676 20 61 18  1  0  0
 9  0     12 6226068   5148 3636600    0    0     0 291736 4779 10913 18 59 21  2  0  0
10  0     12 6085300   5156 3776352    0    0     0 189796 5538 11516 21 56 22  1  0  0
 8  0     12 5945160   5156 3916692    0    0     0    20 6404 11450 21 47 32  0  0  0
11  0     12 5789760   5156 4069788    0    0     0    16 6940 12330 23 47 30  0  0  0
 6  0     12 5641132   5156 4220168    0    0     0  2988 6754 12559 27 46 27  0  0  0
 5  0     12 5502876   5156 4357632    0    0     0 140864 6007 11396 22 53 25  1  0  0
 8  0     12 5355692   5168 4503600    0    0     0 146808 6209 12392 26 52 23  0  0  0
 8  0     12 5210984   5168 4646484    0    0     0 122980 5748 11849 27 49 24  0  0  0
 8  0     12 5065252   5168 4788436    0    0     0 135496 5986 11872 21 53 26  0  0  0
 8  0     12 4804396   5168 4917752    0    0     4 155976 5788 10864 17 52 30  1  0  0
17  1     12 4507792   5184 5060164    0    0     8 246952 5638 12098 27 56 17  0  0  0
10  1     12 4381352   5184 5178084    0    0     0 269096 4601 9864 21 58 19  2  0  0
 3  0     12 4231324   5184 5327928    0    0     0 106892 6542 12994 28 46 25  1  0  0
