procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 10946476   4296 288588    0    0   469  4050 3783   15  5 21 73  1  0  0
 2  0      0 10948316   4332 288656    0    0    36    44 1327 1050  0  0 99  0  0  0
 0  1      0 10945196   4336 288660    0    0     4    16 1474  946  1  1 98  0  0  0
 0  1      0 10889516   4484 295116    0    0  6612   324 6665 6376 14 12 71  3  0  0
 5  0      0 10808408   4620 310252    0    0   352   228 6984 12515 49 26 25  0  0  0
 6  0      0 10765596   4620 325088    0    0     0    16 6256 10139 30 26 45  0  0  0
10  0      0 10691544   4620 337932    0    0     0   172 5692 8785 28 23 48  0  0  0
 7  0      0 10662092   4620 347528    0    0     0    16 4154 6493 20 20 59  0  0  0
 8  0      0 10644008   4896 363440    0    0   268    96 6657 10212 34 30 36  0  0  0
 7  0      0 10618836   4896 379124    0    0     0    16 7077 9769 28 36 36  0  0  0
 7  0      0 10585096   4896 395216    0    0   160   352 7115 10415 33 34 32  0  0  0
 7  0      0 10561184   4896 408188    0    0     0   108 5828 9587 30 29 40  0  0  0
 8  0      0 10529432   4896 423984    0    0     0    16 7017 11094 30 37 33  0  0  0
 8  0      0 10500452   4912 439012    0    0     0    76 6858 11150 27 38 34  0  0  0
 9  0      0 10482840   5460 454160    0    0  1360    56 5808 10125 18 49 32  0  0  0
 8  0      0 10466488   5460 468276    0    0     0    16 5741 9836 20 46 34  0  0  0
 3  0      0 10445824   5460 479684    0    0     0   280 4772 8117  9 44 46  1  0  0
 3  0      0 10435268   5460 492244    0    0     0    16 5044 8626  7 52 41  0  0  0
 4  0      0 10424180   5460 504792    0    0     0    16 5337 8838  8 50 42  0  0  0
 5  0      0 10412336   5468 516908    0    0     0    52 4941 8654  6 55 38  0  0  0
 7  0      0 10399260   5468 529516    0    0     0    16 5111 8918  9 54 37  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 10386912   5468 541880    0    0     0   264 4942 8392  6 51 42  0  0  0
 8  0      0 10374844   5468 554016    0    0     0    16 5022 8423  7 53 40  0  0  0
 7  0      0 10361768   5468 566396    0    0     0    16 5246 8844  7 52 42  0  0  0
 7  0      0 10346424   5476 579704    0    0     0    36 5494 9214 11 51 39  0  0  0
 9  0      0 10333600   5476 592784    0    0     0    20 5433 9351  9 46 44  0  0  0
 6  0      0 10320244   5476 605568    0    0     0   276 5566 9534  7 46 46  1  0  0
 9  0      0 10307392   5476 619036    0    0     0    16 5518 9647 11 45 45  0  0  0
 4  0      0 10291768   5476 632372    0    0     0    16 5392 9580  9 46 44  0  0  0
 5  1      0 10279672   5492 644688    0    0     8    44 4803 8578  5 49 45  0  0  0
 6  0      0 10266820   5492 657696    0    0     0    16 5283 9310  5 49 45  0  0  0
 8  0      0 10254220   5492 670548    0    0     0   316 4975 8920  6 50 44  1  0  0
 7  0      0 10225744   5492 683280    0    0     0    16 5075 8905  5 50 45  0  0  0
 4  0      0 10184668   5492 696024    0    0     0    16 5151 9064  6 48 46  0  0  0
 2  0      0 10147624   5492 708268    0    0     0    16 4813 8599  5 51 43  0  0  0
 5  0      0 10109852   5500 720352    0    0     0    88 5088 8840  6 49 44  0  0  0
 5  0      0 10070568   5500 733068    0    0     0   272 4915 8928  5 50 44  0  0  0
 9  0      0 10025992   5500 745712    0    0     0    16 4924 8618  5 48 47  0  0  0
 6  0      0 10008632   5500 758944    0    0     0    16 5147 9430  6 50 44  0  0  0
 4  0      0 9995556   5500 771620    0    0     0    16 5113 9106  6 48 46  0  0  0
13  0      0 9982504   5508 784116    0    0     8   548 4982 8956  5 51 43  0  0  0
10  0      0 9968712   5508 797372    0    0     0    20 5593 9616  8 47 46  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 9954124   5508 810972    0    0     0    16 5611 9821 10 45 45  0  0  0
 8  0      0 9940796   5508 823676    0    0     0    16 4969 8861  5 48 47  0  0  0
 3  0      0 9926948   5508 836816    0    0     0   196 5316 9441  7 50 42  0  0  0
 4  0      0 9913340   5516 850412    0    0     0   328 5005 9049  6 50 44  0  0  0
10  0      0 9901244   5516 862772    0    0     0    16 4904 8947  5 51 44  0  0  0
 8  0      0 9881840   5516 876068    0    0     0    16 5271 9235  8 48 43  0  0  0
 4  0      0 9842556   5516 888960    0    0     0    16 5078 9082  6 50 44  0  0  0
