procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 9534104   5516 1143128    0    0     0    16 5426 9332  7 47 46  0  0  0
 6  0      0 9493308   5516 1157112    0    0     0    16 5572 9543  5 47 48  0  0  0
 6  0      0 9449964   5524 1171360    0    0     0    64 5570 9823  7 47 45  0  0  0
 2  1      0 9410176   5524 1184212    0    0     0   468 5048 9152  5 51 43  1  0  0
13  0      0 9367644   5524 1198016    0    0     0    12 5684 9533  5 49 46  0  0  0
12  0      0 9327932   5524 1211516    0    0     0    16 5525 9430  5 49 46  0  0  0
 1  0      0 9284588   5524 1224480    0    0     0    16 5273 9237  6 48 47  0  0  0
10  0      0 9246576   5532 1237596    0    0     0   240 5441 9365  5 48 46  0  0  0
 9  0      0 9206788   5532 1250264    0    0     0   272 4839 8693  5 52 42  0  0  0
 2  0      0 9165964   5532 1264080    0    0     0    16 5747 9884  5 47 47  0  0  0
 1  0      0 9125392   5532 1277164    0    0     0    16 5175 9263  4 50 46  0  0  0
 5  0      0 9086332   5532 1290192    0    0     0    16 4923 8772  6 50 44  0  0  0
11  0      0 9047292   5540 1303304    0    0     0    56 5119 8934  5 50 45  0  0  0
 7  0      0 9007516   5540 1316252    0    0     0   360 5311 9366  6 49 45  1  0  0
14  0      0 8967728   5540 1328744    0    0     0    16 5241 9021  5 46 48  0  0  0
14  0      0 8926400   5540 1342160    0    0     0    20 5249 9226  6 50 45  0  0  0
 3  0      0 8887476   5540 1355156    0    0     0    24 5174 9117  6 49 45  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 8848220   5548 1367552    0    0     0    48 5072 8875  6 49 44  0  0  0
 5  0      0 8819320   5548 1380300    0    0     0   272 4815 8793  5 51 43  1  0  0
 8  0      0 8807040   5548 1393696    0    0     0    16 4953 8961  5 48 47  0  0  0
 7  0      0 8793684   5548 1406824    0    0     0    16 5305 9432  5 48 47  0  0  0
 8  0      0 8779348   5548 1420444    0    0     0    16 5191 9234  6 49 45  0  0  0
 8  0      0 8765992   5556 1433936    0    0     0    36 5349 9327  5 47 48  0  0  0
 5  0      0 8752636   5556 1447632    0    0     0   288 5566 9600  4 47 48  0  0  0
 8  0      0 8739028   5556 1460784    0    0     0    16 5485 9574  4 49 46  0  0  0
 7  0      0 8726204   5556 1473548    0    0     0    16 5209 8941  5 49 46  0  0  0
11  0      0 8713408   5556 1486040    0    0     0    16 4867 8661  6 47 47  0  0  0
 5  0      0 8700584   5564 1498708    0    0     0 16420 4609 8608  5 52 42  1  0  0
 6  0      0 8688488   5564 1511156    0    0     0 12772 4936 8753  3 51 45  0  0  0
15  0      0 8676448   5564 1522688    0    0     0 17152 4572 7950  4 45 51  0  0  0
 3  0      0 8663372   5564 1534964    0    0     0 12304 4798 8664  5 51 45  0  0  0
 6  0      0 8650324   5564 1547600    0    0     0    16 4784 8729  5 50 45  0  0  0
 8  0      0 8637484   5572 1560600    0    0     0 16536 4941 8788  5 50 44  0  0  0
10  0      0 8624896   5572 1573064    0    0     0 16876 4719 8576  5 50 45  0  0  0
12  0      0 8610784   5572 1585908    0    0     0 24592 5042 8976  6 48 45  0  0  0
 7  0      0 8596420   5572 1599116    0    0     0    16 5223 9191  5 47 48  0  0  0
 9  0      0 8584100   5572 1610964    0    0     0 49508 4339 8198  4 56 39  1  0  0
10  0      0 8572788   5580 1621916    0    0     0 151596 3264 7154  4 65 29  2  0  0
