procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10909920   4864 292936    0    0   712 40290 3666   13  6 19 74  1  0  0
 4  0     12 10914372   4900 293028    0    0    36    44 1496 1058  0  1 98  0  0  0
 2  0     12 10917844   4912 293028    0    0     0    92 1432  814  0  1 99  0  0  0
 2  0     12 10873772   5052 299068    0    0  6228   308 6650 6102 15 11 72  2  0  0
19  0     12 10549112   5052 339892    0    0  1500  1356 5961 8170 41 34 23  2  0  0
14  1     12 9815212   5052 583188    0    0     0  5104 5880 11471 41 42 14  3  0  0
11  0     12 8865904   5052 1044568    0    0   224  1696 4287 12168 45 33 22  0  0  0
 3  0     12 8034560   5060 1536664    0    0     0 254104 4519 11338 43 40 17  0  0  0
 9  0     12 7555368   5060 1982028    0    0     0 485524 3676 10237 40 46 13  1  0  0
12  0     12 7068640   5060 2315516    0    0    64 408056 3748 8729 36 50 14  0  0  0
11  0     12 6182780   5060 2753596    0    0   156 514044 3836 12263 35 48 16  1  0  0
13  0     12 5511192   5068 3251932    0    0     8 413808 4154 14391 37 46 16  0  0  0
 8  0     12 5096960   5076 3663160    0    0     0 418580 4107 12411 33 51 16  0  0  0
 9  0     12 4694756   5076 4067784    0    0     0 431888 4154 13192 40 51  9  1  0  0
 8  0     12 4280920   5076 4404392    0    0    56 351184 4528 11107 29 50 20  1  0  0
11  0     12 3713860   5076 4786428    0    0     0 421444 4293 12551 30 54 15  0  0  0
 7  0     12 3229220   5076 5091444    0    0     4 291344 5018 10359 29 54 16  1  0  0
11  0     12 2699172   5076 5446052    0    0     0 357572 4194 12118 34 53 13  1  0  0
22  0     12 2174228   5084 5948252    0    0     0 495624 4217 15618 43 44 12  0  0  0
 9  0     12 1777624   5084 6344472    0    0     0 462152 4282 13170 35 44 19  2  0  0
32  0     12 1321880   5084 6792984    0    0     0 476712 4324 14039 29 30 40  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0     12 959444   5084 7158436    0    0     4 246056 4175 13666 35 33 31  1  0  0
 9  0     12 647192   5084 7470028    0    0     0 365328 4474 10838 31 53 16  1  0  0
10  0     12 176532   5092 7941136    0    0     0 419216 4147 13880 36 51 12  1  0  0
13  0     12 171780   1288 7951636    0    0     4 416868 4218 13438 37 53 10  0  0  0
 9  4     12 139844   1288 7976464    0    0    76 339304 4249 11820 32 54 11  2  0  0
10  0     12 222880   1288 7899084    0    0     0 400620 3742 11138 27 51 19  3  0  0
 9  0     12 150640   1424 7969320    0    0   136 349064 4233 12131 30 55 13  2  0  0
 8  1     12 194980   1436 7925280    0    0     0 322432 4672 12459 31 57 11  1  0  0
