procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10908024   5124 289484    0    0   464  3774 3747   14  5 21 73  1  0  0
 3  0      0 10911912   5160 289560    0    0    36    44 1619 1276  0  1 98  0  0  0
 1  0      0 10897856   5168 289560    0    0     0    88 1166  792  0  1 99  0  0  0
 3  0      0 10861760   5308 296188    0    0  6748   292 6379 6065 14 12 71  3  0  0
 9  0      0 10823700   5308 307144    0    0    80    16 6674 10486 46 25 29  0  0  0
 5  0      0 10769772   5308 317104    0    0     0    16 5988 8724 32 29 40  0  0  0
 8  0      0 10723940   5308 326956    0    0     0   144 6129 7698 31 28 40  0  0  0
 4  0      0 10710612   5316 336468    0    0     0    72 6128 7286 31 22 46  0  0  0
 0  0      0 10672848   5316 347392    0    0     0    16 6528 8074 37 24 39  0  0  0
 4  0      0 10656216   5316 357788    0    0     0    16 6433 7733 33 26 41  0  0  0
 7  2      0 10644120   5316 366852    0    0     4   208 5541 7022 18 34 48  0  0  0
 4  0      0 10628020   5316 376168    0    0   156   204 5099 7688 12 42 45  1  0  0
 5  1      0 10612648   5324 385404    0    0     0    36 5601 7970 14 43 42  1  0  0
 5  0      0 10591732   5324 392620    0    0     0    16 4278 6403 12 25 63  0  0  0
 5  0      0 10531504   5684 402688    0    0   372    32 6645 9220 40 23 36  0  0  0
 5  0      0 10517672   5684 411920    0    0     0    16 5663 8160 19 39 42  0  0  0
 5  0      0 10502552   5684 420964    0    0     0   240 5260 7564 18 36 46  1  0  0
 7  0      0 10486424   5692 429312    0    0     0    64 4427 7021  5 48 47  0  0  0
 4  0      0 10472844   5692 438156    0    0     0    16 5440 7798 20 37 43  0  0  0
 4  0      0 10462288   5692 447072    0    0     0   316 5093 7599 10 46 44  0  0  0
 3  0      0 10454052   5692 456232    0    0     0    16 5478 8015 12 41 46  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 10446904   5692 464980    0    0     0   260 4592 7262  4 49 46  1  0  0
10  0      0 10439296   5692 473176    0    0     0    16 4850 7207  9 45 46  0  0  0
 6  0      0 10430708   5700 481908    0    0     0    44 4671 7217  4 51 45  0  0  0
 3  0      0 10422000   5700 490812    0    0     0    16 5131 7655  5 48 47  0  0  0
 9  0      0 10413832   5700 499684    0    0     0   128 5047 7550  9 44 47  0  0  0
10  0      0 10406344   5700 508372    0    0     0   264 4588 7082  5 49 46  1  0  0
 8  0      0 10396740   5700 517724    0    0     0    16 5153 7670 12 43 45  0  0  0
 3  0      0 10388088   5708 526528    0    0     0    56 5075 7919  5 41 54  0  0  0
 6  0      0 10380196   5708 535404    0    0     0    24 4559 7377  4 43 52  0  0  0
 6  0      0 10371936   5708 544440    0    0     0   272 5005 7854  6 43 49  1  0  0
 4  0      0 10364076   5708 553180    0    0     0   272 4565 7366  4 42 54  0  0  0
 4  0      0 10353996   5708 562152    0    0     0    16 5088 8021  4 41 55  0  0  0
 6  0      0 10345568   5716 571168    0    0     0   100 4869 7913  4 39 56  0  0  0
 5  0      0 10336832   5716 579936    0    0     0    16 4750 7611  4 43 53  0  0  0
