procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10939320   5164 290416    0    0   466  3897 3764   14  5 21 73  1  0  0
 2  0      0 10940768   5200 290524    0    0    36    16 1165  994  0  1 99  0  0  0
 1  0      0 10942008   5208 290524    0    0     0   508 1139  771  0  1 99  0  0  0
 6  0      0 10883040   5352 296912    0    0  6652    16 7229 7237 15 10 73  2  0  0
10  0      0 10820444   5352 310836    0    0   180    24 6301 11427 47 25 27  0  0  0
 4  1      0 10754196   5352 329740    0    0     0   156 7750 12820 48 28 24  0  0  0
 5  0      0 10701536   5352 345844    0    0     0    16 6593 10686 46 23 31  0  0  0
 7  0      0 10667528   5360 358928    0    0     0   168 5658 8634 30 26 43  0  0  0
 8  0      0 10643672   5360 372308    0    0     0    16 5843 8584 17 41 42  0  0  0
 8  0      0 10601840   5360 386812    0    0     0    16 6230 9182 30 36 34  0  0  0
 8  0      0 10545952   5360 400800    0    0   160   460 6156 9204 21 34 43  1  0  0
 3  0      0 10516468   5360 415584    0    0     0    16 6439 10709 33 29 38  0  0  0
13  0      0 10490008   5368 425928    0    0     0   316 4579 7894 21 27 52  0  0  0
11  0      0 10476204   5368 438844    0    0     0    16 5790 9529 23 44 33  0  0  0
 5  0      0 10464840   5368 452040    0    0     0    16 5146 8759 11 50 39  0  0  0
 9  0      0 10451568   5368 464160    0    0     0   268 4951 8601  8 54 38  0  0  0
 8  0      0 10438772   5368 476424    0    0     0    16 4754 8326  7 54 39  0  0  0
 7  0      0 10425920   5376 488960    0    0     0    80 4905 8665  7 54 39  0  0  0
11  0      0 10414636   5376 500308    0    0     0    16 4503 7934  6 56 38  0  0  0
 7  0      0 10402540   5376 511820    0    0     0    16 4818 8421  7 53 40  0  0  0
 5  0      0 10389716   5376 524464    0    0     0   256 4883 8595  8 56 36  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 10377144   5376 537320    0    0     0    16 5523 9203 11 51 38  0  0  0
 3  0      0 10364572   5384 549316    0    0     0    36 4525 8128  5 55 39  0  0  0
 7  0      0 10352000   5384 561796    0    0     0    16 5148 8967  5 50 45  0  0  0
 2  0      0 10337132   5384 574184    0    0     0    20 4917 8854  6 49 45  0  0  0
 6  0      0 10325036   5384 586544    0    0     0   276 5098 9074  7 50 43  0  0  0
 4  0      0 10311988   5388 599136    0    0     4    16 5162 8964  7 48 44  0  0  0
 6  0      0 10299388   5396 611096    0    0     0    40 4702 8493  7 47 45  0  0  0
 6  0      0 10287544   5396 623524    0    0     0    32 5193 9012  5 49 45  0  0  0
 3  0      0 10274692   5396 636148    0    0     0    16 5239 9136  6 49 45  0  0  0
 3  0      0 10262092   5408 648956    0    0    16   300 4999 8925  6 51 42  1  0  0
 7  0      0 10249492   5408 661320    0    0     0    16 4889 8798  5 51 44  0  0  0
 9  1      0 10237900   5416 673108    0    0     0    84 4985 8700  4 48 48  0  0  0
 8  0      0 10217676   5416 685168    0    0     0   260 4808 8709  5 51 44  0  0  0
 7  0      0 10189956   5416 698256    0    0     0    16 5246 9309  6 49 44  0  0  0
