procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0     12 10871356   6204 291396    0    0   462  9985 4108   17  6 25 69  1  0  0
 1  0     12 10881616   6272 291504    0    0    36   104 1498 1164  0  1 99  0  0  0
 1  0     12 10881368   6304 291488    0    0     8  1060 1339  841  0  1 98  0  0  0
 1  0     12 10848428   6460 298276    0    0  6892    32 6465 5871 17 10 71  3  0  0
13  1     12 10706804   7384 353936    0    0   832  4492 7027 12335 45 33 19  3  0  0
 3  0     12 10572856   8184 419776    0    0   180  4248 6671 10705 36 32 28  4  0  0
 8  0     12 10473420   8216 493532    0    0    40   208 7265 7575 29 22 48  1  0  0
 3  0     12 10387960   8932 568760    0    0  1588   192 7455 7322 24 23 52  1  0  0
 6  0     12 10310760   8948 644492    0    0     0    96 7531 7174 36 18 46  0  0  0
19  0     12 10184644   8956 704132    0    0    64    48 6289 8181 34 18 48  0  0  0
28  0     12 10127572   8972 772852    0    0     0    96 7105 8693 29 23 48  0  0  0
 5  0     12 10054556   9020 844036    0    0   152   348 7951 10013 33 29 38  1  0  0
12  0     12 9943224   9044 911292    0    0     0 33520 7464 9692 36 32 32  1  0  0
11  0     12 9895456   9060 963612    0    0     0   116 5747 7557 17 23 59  0  0  0
12  0     12 9810336   9076 1028628    0    0    56    96 7386 9412 35 25 39  0  0  0
 4  0     12 9656628   9092 1101096    0    0     0    96 8359 10493 42 23 35  0  0  0
 5  0     12 9545684   9124 1169544    0    0     0   232 6922 9325 29 33 37  1  0  0
 9  0     12 9454664   9152 1237792    0    0     4 143476 6755 9100 35 35 29  1  0  0
20  0     12 9389180   9236 1286788    0    0     0 630988 3484 6383 18 50 32  1  0  0
 8  0     12 9222864   9252 1349588    0    0     0 122080 6287 8866 24 37 39  0  0  0
 6  0     12 9153808   9268 1420260    0    0     0    96 7430 9718 24 35 41  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0     12 9083364   9300 1486940    0    0     0   216 6949 9045 28 31 40  0  0  0
 3  0     12 8980612   9324 1546340    0    0     0   604 6033 8185 14 36 49  1  0  0
 3  0     12 8839608   9340 1609552    0    0     0    96 5838 8141 12 41 47  1  0  0
10  0     12 8758156   9356 1670680    0    0     0 219208 4610 7487 13 55 31  1  0  0
 2  0     12 8689776   9372 1735364    0    0     0   704 5947 8368 14 41 46  0  0  0
 2  0     12 8623364   9404 1802552    0    0     0   240 6569 8943 15 41 43  1  0  0
 7  0     12 8555408   9428 1867972    0    0     0   276 6329 8596 13 44 42  1  0  0
 4  0     12 8483444   9444 1932060    0    0     0    96 5960 8551 12 42 45  0  0  0
 7  0     12 8271328   9460 1999544    0    0     0    96 6844 9347 12 38 50  0  0  0
 3  0     12 8116032   9476 2067636    0    0     0    96 6225 9193 11 39 50  1  0  0
 2  0     12 8043784   9508 2134964    0    0     0   220 6563 9452 11 37 51  1  0  0
 8  0     12 7976828   9532 2202024    0    0     0   124 6468 9279  9 37 53  1  0  0
 9  0     12 7904944   9548 2270712    0    0     4   104 6284 9420 11 38 50  0  0  0
 6  0     12 7838276   9564 2338384    0    0     0    96 6387 9390 11 36 52  0  0  0
 6  0     12 7767696   9580 2407252    0    0     0    96 6649 9584 19 35 45  0  0  0
 3  0     12 7698668   9612 2476256    0    0     0   212 6481 9432 11 37 52  0  0  0
 4  0     12 7600236   9636 2543140    0    0     0 82592 6352 9306 12 40 48  1  0  0
 5  0     12 7448876   9652 2612440    0    0     0 74192 6465 9424 13 40 47  1  0  0
 3  0     12 7299220   9668 2681908    0    0     0 65824 7070 9836 21 34 44  1  0  0
 4  0     12 7139664   9684 2754360    0    0     8 86276 7117 10111 25 34 41  0  0  0
 9  0     12 6998580   9716 2819192    0    0     0 264104 5277 8319 12 52 35  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0     12 6873932   9740 2878984    0    0     0 526164 3629 7644 11 67 19  2  0  0
 3  0     12 6769332   9756 2944528    0    0     0 202876 5570 8691 10 47 42  1  0  0
 4  0     12 6701556   9772 3012448    0    0     0    96 6514 9584  9 35 55  0  0  0
 3  0     12 6634224   9788 3080776    0    0     0    96 6571 9534  9 37 54  0  0  0
 5  0     12 6568160   9820 3147144    0    0     0   216 6641 9556 16 29 55  0  0  0
 6  1     12 6504680   9844 3209300    0    0     0   140 6093 8835 10 33 56  1  0  0
19  0     12 6436036   9868 3276360    0    0     4 61520 6529 9196  9 41 50  0  0  0
 3  0     12 6371248   9884 3342120    0    0     0 104360 5869 8944  9 45 45  1  0  0
 5  0     12 6301608   9900 3409048    0    0     0    96 6625 9626  8 34 58  0  0  0
 5  0     12 6232416   9932 3477940    0    0     0   208 7229 10019 13 34 53  0  0  0
 4  0     12 6159792   9960 3546072    0    0     0   148 6752 9620 10 35 55  0  0  0
 6  0     12 6092048   9976 3614764    0    0     0   268 6515 9447  9 38 53  0  0  0
 6  0     12 6024524   9992 3683200    0    0     0    96 6352 9235 11 35 53  1  0  0
 2  0     12 5935272  10008 3752340    0    0     0   108 6844 9720 10 38 52  0  0  0
 2  0     12 5780172  10068 3822756    0    0     0   320 7074 10031 12 35 52  1  0  0
 3  0     12 5627056  10084 3893396    0    0     0    96 7327 10286 12 35 54  0  0  0
 6  0     12 5485480  10100 3960100    0    0     0 41512 6362 8944 11 44 44  1  0  0
12  0     12 5404032  10116 4026836    0    0     0 268020 5339 8523 11 51 37  1  0  0
10  0     12 5335512  10132 4086708    0    0     0 479848 3704 7068  8 66 24  2  0  0
 9  0     12 5271204  10172 4151592    0    0     0 225704 5394 8512  9 49 40  3  0  0
11  0     12 5202440  10188 4219940    0    0     0    96 6216 9166  9 38 52  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
