procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10887216   4892 292028    0    0   535 32418 3909   15  6 22 71  1  0  0
 2  1     12 10889188   4936 292096    0    0    36    84 1123  926  0  1 99  0  0  0
 6  0     12 10891588   4936 292100    0    0     0    16 1110  714  0  1 99  0  0  0
 2  0     12 10837872   5148 298676    0    0  6820   204 6707 6193 17  9 71  2  0  0
 0  0     12 10434828   5148 459932    0    0    80    24 6503 8274 32 22 45  0  0  0
 1  0     12 10033896   5148 645220    0    0     0   488 6534 6897 29 20 50  0  0  0
10  0     12 9594940   5148 831120    0    0     0    16 6748 6774 24 17 58  0  0  0
11  0     12 9358240   5156 1005676    0    0     0    80 6403 6419 19 15 66  0  0  0
11  0     12 9207416   5156 1177060    0    0     0    16 5967 6117 11 14 75  0  0  0
13  0     12 9040428   5156 1344628    0    0     0 28712 5642 5924 12 20 68  0  0  0
 5  0     12 8848124   5156 1523800    0    0   160 184364 5366 6180 19 39 41  1  0  0
19  0     12 8612288   5160 1699864    0    0     0 192608 5271 6871 19 40 40  0  0  0
 7  0     12 8428984   5164 1877636    0    0     0 175140 5992 7081 22 35 42  0  0  0
 9  0     12 8266692   5164 2048684    0    0     0 247652 4554 6449 18 45 37  1  0  0
 4  0     12 8093888   5164 2219984    0    0     0 341268 4894 6579 17 46 37  1  0  0
 6  0     12 7858980   5164 2393028    0    0     4 129152 5662 7191 13 34 52  1  0  0
 9  1     12 7654968   5172 2578288    0    0     0    80 6857 7908 26 23 51  0  0  0
 8  0     12 7473256   5172 2759520    0    0     0 148660 5905 7254 23 34 43  0  0  0
 8  0     12 7300104   5172 2934300    0    0     0 243672 4830 6658 16 44 38  1  0  0
 7  0     12 7131756   5172 3102640    0    0     0 360096 4341 6477 22 41 36  1  0  0
 4  0     12 6959268   5172 3276900    0    0     0 246096 4654 6490 16 47 35  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0     12 6775276   5176 3460588    0    0     0    32 6812 7905 15 25 60  0  0  0
11  0     12 6592160   5180 3641324    0    0     0 71120 6195 7408 15 33 52  0  0  0
