procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10866340   5128 290168    0    0   463  5773 4027   17  6 24 69  1  0  0
 1  0      0 10866088   5172 290252    0    0    44    16 1326 1040  0  1 99  0  0  0
 2  0      0 10873876   5180 290272    0    0     0   396 1225  741  0  1 99  0  0  0
 2  0      0 10817496   5320 296588    0    0  6556   120 6644 6346 15 10 73  2  0  0
13  0      0 10770760   5320 309288    0    0  1172  2932 5763 10028 51 28 19  2  0  0
12  0      0 10724980   5320 324968    0    0     0  4240 6333 13394 48 39 11  3  0  0
 7  0      0 10673616   5320 340284    0    0   220   848 5989 11186 45 23 31  1  0  0
 3  0      0 10629768   5888 357740    0    0  1456   100 6987 11202 46 27 27  1  0  0
 8  0      0 10581136   5888 371848    0    0     0   384 5968 9364 38 22 39  0  0  0
 9  0      0 10529000   5888 388404    0    0    64    16 7385 12179 43 32 25  0  0  0
12  0      0 10502316   5888 403236    0    0   152   440 6353 12179 39 28 33  0  0  0
 9  0      0 10483668   5888 416312    0    0     0    16 5912 11305 32 25 43  0  0  0
12  1      0 10465556   5900 431692    0    0     0   112 6656 12838 33 42 25  0  0  0
 9  0      0 10443912   5900 443532    0    0     0   144 5231 9531 22 30 48  0  0  0
 7  0      0 10427028   5900 457044    0    0    56    16 5980 11147 21 40 39  0  0  0
16  0      0 10395780   5900 472064    0    0     0   284 6621 12135 22 39 39  0  0  0
 9  0      0 10380716   5900 487008    0    0     0    16 6269 11602 22 48 30  0  0  0
 3  0      0 10366352   5912 500248    0    0     0    68 6024 10954 22 44 34  0  0  0
 3  0      0 10352268   5912 514640    0    0     0    88 6298 11511 25 42 33  0  0  0
 8  0      0 10338408   5912 527340    0    0     0    16 5076 9754 11 48 40  0  0  0
10  0      0 10325304   5912 540688    0    0     4   280 5624 10541 15 52 32  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 10311472   5912 555036    0    0     0    16 6240 11340 20 49 31  0  0  0
15  0      0 10297612   5920 568248    0    0     0    52 5828 10598 19 51 30  0  0  0
 4  0      0 10280028   5920 583860    0    0     0   160 6900 12315 26 45 28  0  0  0
12  0      0 10262388   5920 599792    0    0     0    16 7166 13333 32 42 26  0  0  0
 7  0      0 10248556   5920 613308    0    0     0   280 5737 10980 18 45 37  0  0  0
 6  0      0 10234976   5920 626560    0    0     0    16 4995 9849 10 57 34  0  0  0
13  0      0 10221368   5920 640516    0    0     0    16 5734 10740 14 53 32  0  0  0
 6  0      0 10207816   5928 653324    0    0     0   160 5731 10640 10 54 35  0  0  0
 4  0      0 10194712   5928 666852    0    0     0    20 5510 10710 10 53 37  0  0  0
 7  0      0 10180404   5928 680024    0    0     0   316 5448 10613  8 52 40  0  0  0
 8  0      0 10132716   5928 693420    0    0     0    16 5883 10533  7 50 42  0  0  0
 7  0      0 10082064   5936 708272    0    0     0    56 6414 11807 12 51 37  0  0  0
10  0      0 10031692   5936 722712    0    0     0    76 6386 11970 16 44 40  0  0  0
 5  0      0 9979528   5936 736696    0    0     0    16 6326 11804 16 46 38  0  0  0
 3  0      0 9945004   5936 750284    0    0     0   296 5199 10236  8 51 40  0  0  0
 4  0      0 9931424   5936 764640    0    0     0    16 6379 11586 13 46 40  0  0  0
 7  1      0 9917312   5936 778652    0    0     0    96 5832 11310 11 49 39  0  0  0
 7  0      0 9902708   5944 792592    0    0     0   152 6134 11578 15 49 36  0  0  0
 7  0      0 9889604   5944 805840    0    0     8    76 5467 10449  8 51 42  0  0  0
12  0      0 9875768   5944 818916    0    0     0   480 5718 10769  7 48 44  0  0  0
 8  0      0 9861152   5944 832060    0    0     0    16 5524 10265  8 53 39  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
