procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0     12 10914100   4688 292260    0    0   531 33774 3877   14  6 21 72  1  0  0
 1  0     12 10917892   4724 292364    0    0    36    16 1325 1009  0  1 99  0  0  0
 3  1     12 10921180   4728 292360    0    0     0   112 1173  737  1  1 99  0  0  0
 3  0     12 10873992   4872 298412    0    0  6236   400 7092 6735 15 11 71  3  0  0
10  0     12 10287488   4872 433112    0    0   592    24 6480 9345 36 28 36  1  0  0
 4  0     12 8925372   4872 867392    0    0     0   640 4797 10982 42 34 24  0  0  0
14  0     12 8162000   4872 1418192    0    0     0 164036 4764 12009 42 33 25  0  0  0
10  0     12 7577280   4880 1811484    0    0     0 418664 3764 8907 27 36 36  1  0  0
 9  0     12 7048812   4880 2250952    0    0     0 475520 3841 10079 34 49 16  1  0  0
12  0     12 6600740   4880 2648532    0    0     0 417808 4133 8871 30 52 17  0  0  0
12  0     12 6219124   4880 3028828    0    0   164 336228 4389 9039 27 50 21  2  0  0
 7  0     12 5709500   4880 3443280    0    0     0 376784 4314 10704 35 51 14  0  0  0
13  1     12 5366592   4888 3786188    0    0     0 380620 4346 9236 25 53 21  1  0  0
 7  0     12 4776772   4888 4174140    0    0     0 367488 4309 9845 27 54 19  0  0  0
 8  0     12 4297908   4888 4516856    0    0     4 330372 4386 9188 26 54 19  1  0  0
 5  0     12 3668808   4892 4852600    0    0     8 353356 4329 9278 25 55 19  2  0  0
16  0     12 3534700   4892 5078252    0    0     0 317888 4467 6955 21 64 14  1  0  0
12  3     12 3213000   4896 5425780    0    0     0 330240 4898 9406 27 57 15  1  0  0
10  0     12 2782856   4900 5852772    0    0     0 454280 3471 10850 40 44 14  2  0  0
13  0     12 2275868   4900 6344612    0    0     0 437736 4428 11537 28 44 29  0  0  0
 7  1     12 1943516   5032 6674428    0    0   136 342496 4389 9127 24 53 20  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0     12 1512096   5032 7110056    0    0     0 465596 3829 11022 42 48 10  1  0  0
 7  0     12 1108720   5040 7512432    0    0     0 353288 4756 9828 24 54 21  1  0  0
 8  1     12 618736   5040 7986248    0    0     0 464212 4079 11664 40 50 10  0  0  0
10  0     12 183488   5040 8433812    0    0     0 451588 3892 11184 30 50 19  1  0  0
14  1     12 237564   1408 8343556    0    0    80 309556 4268 8243 22 56 19  2  0  0
 8  0     12 311292   1408 8139920    0    0     0 333744 4200 8906 34 51  9  6  0  0
 7  0     12 625168   1416 8438716    0    0     4 353484 4341 8960 32 58  9  1  0  0
11  0     12 353564   1416 8726000    0    0     0 314456 4636 11355 32 52 16  1  0  0
10  0     12 212140   1416 8679672    0    0     0 421408 3942 10639 33 54 12  1  0  0
 6  0     12 188624   1416 8622892    0    0     0 312484 4145 9559 27 56 16  1  0  0
 5  0     12 152476   1416 8548144    0    0     0 354620 4146 9246 23 58 19  0  0  0
12  0     12 174360   1424 8257348    0    0     0 378064 4340 9257 24 57 19  1  0  0
 8  0     12 542404   1424 8468248    0    0     0 301252 4427 8798 24 59 17  1  0  0
 6  0     12 232604   1424 8783836    0    0     0 348216 4518 11214 25 59 15  1  0  0
 9  0     12 218640   1424 8796908    0    0     4 315520 4227 9201 24 58 17  1  0  0
10  0     12 213236   1684 8770024    0    0   344 356356 4649 10193 23 57 18  1  0  0
 6  0     12 275332   1692 8469668    0    0     0 353944 4129 9437 23 57 19  1  0  0
 9  0     12 133356   1692 8461876    0    0     0 345624 4173 8746 21 59 19  1  0  0
14  0     12 184604   1692 8080396    0    0    16 402788 4225 9520 23 57 18  1  0  0
 9  0     12 285368   1692 8362072    0    0    20 288388 4359 8165 23 61 15  1  0  0
 9  1     12 242556   1692 8415168    0    0     0 349636 4419 10628 27 56 16  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  1     12 151344   1700 8493868    0    0     0 406092 4154 10953 26 55 18  1  0  0
10  0     12 230464   1704 8425580    0    0     0 299920 4402 9808 23 56 19  1  0  0
 5  1     12 237264   1704 8420268    0    0     0 341368 4275 9796 24 59 16  1  0  0
 9  0     12 178300   1704 8475520    0    0     4 310872 4201 8874 21 59 18  2  0  0
10  0     12 265904   1704 8389960    0    0     0 352040 4152 8998 22 57 20  2  0  0
 6  0     12 159912   1712 8444392    0    0     0 341568 4407 9783 23 56 20  0  0  0
12  0     12 447548   1712 8617936    0    0     0 299392 4374 8055 24 60 15  1  0  0
 7  0     12 323460   1712 8744060    0    0    12 331012 4205 8694 22 63 12  3  0  0
 9  0     12 255124   1712 8815820    0    0     0 327064 4161 9114 21 60 15  4  0  0
14  0     12 242464   1712 8825160    0    0     0 352916 4277 9770 24 60 15  2  0  0
 6  0     12 215224   1720 8701024    0    0     0 387204 3717 9049 21 63 14  1  0  0
 7  1     12 200568   1720 8552488    0    0     4 330620 4083 9277 22 56 20  2  0  0
 8  0     12 210956   1720 8288044    0    0     0 294800 4118 9090 24 60 15  1  0  0
 7  1     12 377028   1720 8590780    0    0     8 313488 4327 8810 22 60 17  2  0  0
12  0     12 209520   1720 8776900    0    0     0 352524 4070 10449 22 60 17  1  0  0
 9  0     12 252828   1728 8732508    0    0     0 360672 3955 9632 23 59 17  1  0  0
 6  0     12 157312   1728 8742916    0    0     0 328968 4082 9254 20 55 24  1  0  0
 8  0     12 148768   1728 8551424    0    0     0 376304 4156 9477 21 58 20  1  0  0
 1  0     12 248552   1728 8163888    0    0    20 451932 3585 7166 12 42 43  3  0  0
 0  0     12 1344216   1728 8164428    0    0    16 160768 2130 1631  2  5 92  1  0  0
 4  0     12 1344216   1728 8164428    0    0     0     0  636  442  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 1343208   1736 8164440    0    0     0    76 1442 1015  0  1 99  0  0  0
 1  0     12 1343208   1736 8164440    0    0     0   128  468  305  0  0 100  0  0  0
 1  0     12 1343208   1736 8164440    0    0     0     0  762  434  0  0 99  0  0  0
 2  0     12 1341948   1736 8165064    0    0     0 351044 1604  787  0  6 92  2  0  0
 0  0     12 1336908   1736 8166264    0    0   112 511760 2520 1053  0  8 89  3  0  0
 0  0     12 1336908   1744 8166356    0    0     0    56  789  510  0  1 99  0  0  0
 0  0     12 1336908   1744 8166364    0    0     0    64 1143  860  0  0 99  0  0  0
 0  0     12 1336908   1744 8166364    0    0     0     0 1110  754  0  1 99  0  0  0
 0  0     12 1336168   1744 8166388    0    0     0     0  870  569  0  0 99  0  0  0
 2  0     12 1336168   1744 8166388    0    0     0     0  538  220  0  0 100  0  0  0
 5  0     12 1335164   1752 8166392    0    0     0    80 1367  583  0  0 100  0  0  0
 0  0     12 1335164   1756 8166508    0    0    12     0 1140  725  0  1 99  0  0  0
 0  0     12 1334912   1756 8166508    0    0     0     0 1095  532  0  1 99  0  0  0
 0  0     12 1334420   1756 8166532    0    0     0     0  944  645  0  1 99  0  0  0
 0  0     12 1334420   1764 8166524    0    0     0    80  652  350  0  0 100  0  0  0
 1  0     12 1334420   1764 8166532    0    0     0   208  641  325  0  0 100  0  0  0
