procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10937448   6048 292684    0    0   640 38421 3731   13  6 20 73  1  0  0
 1  0     12 10938740   6116 292792    0    0    36   104 1321 1034  0  1 99  0  0  0
 1  0     12 10938096   6140 292792    0    0     0   828 1517  924  1  1 98  1  0  0
 6  1     12 10878400   6304 298924    0    0  6404    32 7575 6740 15 11 72  2  0  0
15  1     12 10543776   6912 338320    0    0  1332  2216 5722 7528 39 37 22  2  0  0
16  1     12 9856184   7872 555360    0    0     0  4108 5932 10790 44 46  8  2  0  0
13  0     12 8820344   8168 974356    0    0   220  1240 4814 11310 51 38 11  0  0  0
22  0     12 8086444   8256 1514652    0    0     0 349504 4348 11842 45 38 16  0  0  0
15  1     12 7788508   9204 1726684    0    0  2492 733436 3325 5788 24 53 21  2  0  0
31  0     12 7033556   9812 2269288    0    0 64616 24708 5754 12933 37 39 23  1  0  0
14  2     12 6403256  11340 2593484    0    0  9208 189048 4589 11212 38 47 12  3  0  0
20  0     12 6135488  11680 2797040    0    0  4668 231392 4472 8759 37 58  4  1  0  0
10  0     12 5961864  11712 2975132    0    0  1084 220780 4132 6786 46 51  2  1  0  0
16  1     12 5869416  11728 3079316    0    0     0 402004 3763 4581 33 64  2  0  0  0
14  0     12 5813724  11760 3160492    0    0    72 393472 3544 4090 29 65  4  1  0  0
 9  0     12 5417152  11796 3471216    0    0     4 32324 5475 10486 47 41 12  0  0  0
 5  1     12 4399504  11820 3985316    0    0     4 139104 4742 14043 48 44  8  0  0  0
16  0     12 3875264  13088 4453532    0    0 13376 935248 5630 16790 25 44 30  2  0  0
12  0     12 3406548  13104 4873192    0    0  1080 249372 4874 13515 45 45 10  1  0  0
13  0     12 2993732  13220 5378972    0    0  1280 238144 5228 15115 43 44 12  1  0  0
10  0     12 2610240  13260 5749268    0    0  1000 309680 4412 13156 48 42  9  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  1     12 2158692  13276 6182444    0    0     0 422456 3265 14218 50 31 18  0  0  0
11  1     12 1746564  13300 6593028    0    0     4 492264 4013 12646 47 44  9  0  0  0
17  0     12 1393332  13316 6950136    0    0     0 640640 3657 12468 42 49  9  0  0  0
15  0     12 890664  13332 7447084    0    0     0 88636 4131 15104 53 35 11  0  0  0
16  0     12 256680  13524 7738664    0    0   580 343188 4337 10729 36 50 12  1  0  0
14  0     12 340576  13576 8140668    0    0   360 375700 4392 12313 41 49 10  0  0  0
11  1     12 230612   8856 8231548    0    0 72100 287256 3693 11231 28 58 12  2  0  0
 8  0     12 190508   8516 8252416    0    0 34152 523236 3668 11183 33 58  7  2  0  0
 7  4     12 174380   8568 8245864    0    0 37448 154372 4804 13040 36 51 12  2  0  0
11  3     12 218280   8656 8199916    0    0 22636 513544 3444 6977 28 62  4  6  0  0
11  0     12 179212   8748 8218640    0    0 11304 254848 3659 8851 27 44 26  3  0  0
11  0     12 216052   8784 8097564    0    0   864 164420 4644 16057 43 42 15  1  0  0
13  0     12 431684   8800 7924468    0    0    16 327364 4294 9941 38 49 12  0  0  0
12  1     12 178812   9600 8280464    0    0  4464 332440 4727 14473 41 46 12  0  0  0
 9  0     12 227424   9724 8320028    0    0  1004 401712 4134 12612 35 55  9  0  0  0
20  0     12 147728   9764 8366064    0    0     0 340380 4696 13317 43 48  9  1  0  0
13  0     12 179144   9952 8241908    0    0     4 443412 4269 12074 38 51 12  0  0  0
 7  1     12 350656  10308 8296336    0    0  1840 388984 3632 7374 23 64 10  3  0  0
 9  0     12 135840  10716 8116888    0    0   820 449472 3758 11857 31 61  7  1  0  0
49  0     12 178980  10752 8017644    0    0    24 467768 4639 15755 36 35 28  0  0  0
10  0     12 172904  10760 8006740    0    0 93184  1764 4725 9950  1  1 92  7  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1     12 175888  10784 8026948    0    0 201004   180 4285 5904  3  4 82 11  0  0
11  2     12 141936  10804 8062384    0    0 41628 194036 4762 10325 39 51  9  2  0  0
12  1     12 164456  10812 8037524    0    0 11080 466688 3797 11377 36 57  5  1  0  0
 9  0     12 149288  10852 8048760    0    0 47932 180708 5048 12173 37 53  9  2  0  0
 6  0     12 151472  10868 8048916    0    0 43312 215752 4488 9000 34 51 11  4  0  0
 6  3     12 167124  10884 8039064    0    0 40200 266712 4063 8709 36 53  8  3  0  0
32  1     12 161064  10900 8042564    0    0 62464 422024 4673 10792 31 47 18  5  0  0
14  3     12 191908  10932 8009436    0    0 32000 387372 3976 8702 34 57  6  2  0  0
 9  0     12 175396  10948 8030036    0    0 45892 193364 4204 9516 33 49 14  4  0  0
14  0     12 544472  10972 8211804    0    0 39272 83584 5127 9032 37 50 11  1  0  0
13  0     12 217492  10988 8537532    0    0 42060 245548 4495 9137 34 54  9  3  0  0
14  0     12 136984  11004 8618440    0    0 38784 237408 4174 8463 35 56  8  2  0  0
 9  2     12 204952  11036 8553912    0    0 29888 322880 4073 7831 32 55 10  4  0  0
 6  1     12 181532  11052 8578976    0    0 27904 348400 3632 7321 33 53 10  4  0  0
 7  1     12 227220  11076 8534176    0    0 54584 154956 4787 10005 38 45 14  3  0  0
11  0     12 186876  11092 8539932    0    0 42884 144680 4836 9779 39 48 11  2  0  0
 8  2     12 207636  11108 8541104    0    0 39808 257440 4351 8952 36 53  9  3  0  0
