procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10908520   4444 287280    0    0   467  1904 3159   10  4 15 80  1  0  0
 1  0      0 10909660   4480 287364    0    0    36    44 1342 1138  0  1 98  0  0  0
 1  0      0 10910228   4480 287396    0    0     0   120 1095  737  0  0 99  0  0  0
 2  0      0 10807692   4628 293296    0    0  6140   312 6711 6516 15 10 72  3  0  0
 8  0      0 10783500   4628 297228    0    0   688    24 6813 8992 41 22 36  1  0  0
 9  0      0 10770396   4628 298736    0    0     0    16 5818 8364 27 31 42  0  0  0
 5  0      0 10735620   4628 300236    0    0     0   140 6156 7715 29 29 41  1  0  0
12  0      0 10691296   4628 301964    0    0     0    16 6682 8185 35 24 41  0  0  0
11  0      0 10653496   4640 303244    0    0     0   208 5057 6007 25 15 60  0  0  0
 7  0      0 10650056   4640 304760    0    0     0    16 6323 7315 34 25 41  0  0  0
10  0      0 10648944   4640 306364    0    0    44    88 6468 7768 37 23 40  0  0  0
 7  0      0 10648628   4640 307772    0    0   116   108 5323 7826 20 38 41  1  0  0
 9  0      0 10647648   4640 309104    0    0     0    16 5152 7538 14 40 46  0  0  0
 5  0      0 10645716   4648 310388    0    0     0    36 5486 7712 21 37 42  0  0  0
 4  0      0 10640840   4648 311748    0    0     0    16 5343 7684 14 39 46  0  0  0
 5  0      0 10637044   4916 313496    0    0  1012    16 4628 7410  9 45 45  1  0  0
 4  0      0 10621952   5316 315324    0    0   496   108 5583 7998 27 26 46  1  0  0
 1  0      0 10614808   5316 316684    0    0     0    16 5750 8081 31 33 36  0  0  0
 1  0      0 10612068   5324 318164    0    0     0    48 5132 7411 14 39 46  0  0  0
 8  0      0 10609464   5324 319412    0    0     0    16 5775 7836 27 25 49  0  0  0
 0  0      0 10603956   5324 320768    0    0     0    16 4922 7494 13 41 46  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 8  0      0 10595920   5324 322096    0    0     0   264 5363 7827 17 39 44  0  0  0
 6  0      0 10581708   5324 323340    0    0     0    16 4889 7135 16 33 50  0  0  0
11  0      0 10583200   5332 324660    0    0     0    48 4451 7172  6 42 51  0  0  0
 1  0      0 10583724   5332 325836    0    0     0    16 4550 6952 17 35 48  0  0  0
 9  0      0 10584248   5332 326960    0    0     0    20 4327 6999  7 43 50  0  0  0
10  0      0 10584248   5332 328404    0    0     0   136 5327 8337  9 33 58  0  0  0
 1  0      0 10583996   5332 329676    0    0     0    16 4847 7718  6 36 57  0  0  0
10  0      0 10583240   5340 331008    0    0     0    40 4808 7762  4 40 56  0  0  0
 6  0      0 10582736   5340 332220    0    0     0    16 4681 7495  4 38 58  0  0  0
 7  0      0 10582232   5340 333388    0    0     0    16 4706 7577  3 39 58  0  0  0
 7  0      0 10581728   5340 334732    0    0     0   160 4634 7661  3 37 60  0  0  0
