procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 10494176   9984 385740    0    0     0    96 4627 8226  4 44 51  0  0  0
10  0      0 10491908  10000 386600    0    0     0   224 4623 8152  5 44 50  1  0  0
 6  0      0 10490648  10016 388300    0    0     0   100 4716 8244  4 45 50  1  0  0
 8  0      0 10489892  10072 389660    0    0     0   376 5039 8779  4 44 51  1  0  0
 9  0      0 10488632  10096 390592    0    0     0   132 4439 7902  4 47 49  0  0  0
 6  0      0 10487120  10112 392116    0    0     0    96 4558 7900  4 47 48  1  0  0
 9  0      0 10485608  10128 393400    0    0     0    96 4759 8370  4 46 50  0  0  0
 2  0      0 10475780  10144 394648    0    0     0   372 5568 9237  6 44 49  1  0  0
 6  0      0 10475024  10176 396188    0    0     0   204 4665 8272  4 47 49  1  0  0
 7  0      0 10474016  10192 397232    0    0     0    96 4590 7946  4 46 49  1  0  0
 4  0      0 10474360  10216 398524    0    0     0   116 4788 8412  4 46 49  1  0  0
 5  0      0 10472456  10232 399948    0    0     0    96 4594 8342  4 46 49  1  0  0
15  2      0 10471952  10248 400956    0    0     0 24688 4189 7827  4 51 44  2  0  0
 5  0      0 10470944  10280 402112    0    0     0 14780 4155 7960  3 50 44  3  0  0
10  0      0 10469684  10296 403688    0    0     0    96 4774 8357  4 46 48  1  0  0
 5  0      0 10468172  10320 405108    0    0     0   128 5224 8808  8 43 48  1  0  0
 3  0      0 10467668  10340 406232    0    0     0   128 4863 8402  4 45 51  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 10466660  10356 407608    0    0     0   100 5156 8735  4 43 53  0  0  0
 6  0      0 10465400  10388 408940    0    0     0   220 4933 8560  5 44 50  1  0  0
 6  0      0 10464644  10404 410304    0    0     0    96 4973 8686  4 41 54  1  0  0
 6  0      0 10462628  10428 411668    0    0     0   280 4824 8503  4 47 49  1  0  0
 5  0      0 10461872  10444 412900    0    0     0   112 4812 8633  5 45 49  0  0  0
 8  0      0 10461620  10460 414332    0    0     0   100 4901 8715  4 44 51  0  0  0
 3  0      0 10460612  10484 415352    0    0     0   192 4767 8449  5 45 49  1  0  0
 1  0      0 10459352  10500 416816    0    0     0    96 4821 8305  4 46 49  1  0  0
 5  0      0 10458092  10524 418100    0    0     0   128 4606 8189  3 46 51  0  0  0
 5  0      0 10457084  10540 419472    0    0     0    96 5053 8730  4 41 55  0  0  0
 7  0      0 10455320  10556 421084    0    0     0   164 4942 8638  4 46 49  1  0  0
 4  0      0 10454816  10588 422096    0    0     0   188 5089 8716  4 44 52  1  0  0
 1  0      0 10453052  10604 423664    0    0     0    96 5132 8878  4 44 52  1  0  0
 0  0      0 10452296  10628 424900    0    0     0   108 4701 8269  4 46 49  1  0  0
13  0      0 10451036  10644 426124    0    0     0    92 4577 8005  3 46 51  0  0  0
 5  0      0 10449272  10660 427280    0    0     0   116 4862 8387  5 46 48  1  0  0
 9  1      0 10449020  10692 428692    0    0     0   200 4714 8324  4 44 51  1  0  0
 5  0      0 10447760  10708 429988    0    0     0    96 4912 8474  4 42 53  1  0  0
 4  0      0 10446500  10732 431212    0    0     0   120 4881 8527  4 44 51  0  0  0
 7  0      0 10445240  10748 432684    0    0     0    96 4994 8602  3 43 54  0  0  0
 3  0      0 10443980  10764 433872    0    0     0   100 4394 7952  4 47 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 10443476  10796 435272    0    0     0   448 4623 8226  4 48 47  1  0  0
 3  0      0 10442720  10812 436416    0    0     0    96 4824 8464  4 46 49  1  0  0
 8  1      0 10440704  10828 437688    0    0     0    88 4978 8719  3 45 52  0  0  0
 5  1      0 10439444  10860 439040    0    0     0   136 4498 8045  4 47 49  1  0  0
13  1      0 10437680  10876 440464    0    0     0   100 4939 8616  4 43 53  0  0  0
 3  1      0 10436924  10904 441856    0    0     0 10712 5048 8619  4 46 50  1  0  0
 2  0      0 10435664  10980 442936    0    0     0 29308 4036 7758  5 51 41  3  0  0
 5  0      0 10434404  10996 444296    0    0     0    96 4661 8266  4 46 50  0  0  0
10  0      0 10432892  11020 445492    0    0     0   116 4611 8247  4 45 51  1  0  0
 6  1      0 10432136  11036 446468    0    0     0   132 4347 8147  4 49 46  1  0  0
 8  1      0 10431128  11068 447796    0    0     0   204 4626 8247  4 47 48  1  0  0
 9  1      0 10427612  11084 449272    0    0     0   104 4902 8637  4 46 50  0  0  0
 7  1      0 10415516  11100 450716    0    0     0    92 4835 8597  3 44 52  1  0  0
 8  1      0 10401404  11124 451976    0    0     0   148 4898 8461  3 46 51  1  0  0
11  0      0 10386536  11140 453292    0    0     0   108 4803 8650  4 45 50  0  0  0
 2  0      0 10372424  11172 454672    0    0     0   196 4947 8738  4 44 51  1  0  0
 8  0      0 10360328  11188 456048    0    0     0   116 4835 8631  7 44 48  0  0  0
12  0      0 10348736  11204 457284    0    0     0    96 4717 8477  4 45 51  1  0  0
11  1      0 10332356  11220 458768    0    0     0    96 5002 8617  5 44 50  1  0  0
 7  0      0 10315976  11244 460124    0    0     0   132 4924 8728  7 45 48  0  0  0
 9  1      0 10300856  11272 461260    0    0     0   208 4852 8519  3 43 53  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  1      0 10289012  11292 462536    0    0     0   100 4661 8575  6 47 46  1  0  0
 8  1      0 10269860  11308 464096    0    0     0    96 5187 8791  5 45 50  0  0  0
11  1      0 10259528  11324 465332    0    0     0    92 4875 8315  3 45 51  1  0  0
 5  0      0 10247936  11348 466516    0    0     0   216 4422 7944  4 47 47  2  0  0
11  0      0 10231304  11404 467872    0    0     0   384 5365 9138  6 43 50  1  0  0
 5  1      0 10219208  11420 469372    0    0     0    96 5530 9300  9 39 51  1  0  0
 8  1      0 10206104  11436 470564    0    0     0    96 4456 8061  3 45 51  0  0  0
 8  0      0 10195520  11444 471808    0    0     0    52 4600 8260  4 47 48  0  0  0
 4  1      0 10184432  11476 473180    0    0     0   160 5009 8627  4 45 51  0  0  0
 5  1      0 10163516  11508 474540    0    0     0   208 4966 8593  8 43 48  1  0  0
 8  2      0 10154444  11516 476016    0    0     0   292 5221 8801  3 46 51  0  0  0
 7  0      0 10135292  11532 477332    0    0     0   136 4620 8174  4 49 47  1  0  0
 3  0      0 10135292  11548 478748    0    0     0   156 5232 8845  3 40 56  1  0  0
 9  0      0 10135292  11572 479856    0    0     0   136 4398 7943  3 46 50  1  0  0
 5  0      0 10134788  11604 481252    0    0     0   196 4608 8311  4 47 48  1  0  0
10  0      0 10134032  11620 482568    0    0     0   100 4847 8523  3 45 51  1  0  0
 7  0      0 10133528  11656 483732    0    0     0 39860 3829 7305  3 53 41  3  0  0
 5  0      0 10130000  11672 484980    0    0     0    96 4930 8607  4 45 50  1  0  0
 2  0      0 10128992  11696 486140    0    0     0   116 4459 8151  4 46 49  0  0  0
11  0      0 10126976  11728 487420    0    0     0   232 4854 8356  4 43 53  1  0  0
 6  0      0 10123700  11744 488604    0    0     0    96 4806 8376  3 45 51  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 10122944  11760 489916    0    0     0   104 4594 7984  4 47 49  1  0  0
 6  0      0 10121936  11776 491264    0    0     0    96 4557 8142  4 46 49  0  0  0
 4  0      0 10120676  11804 492688    0    0     0   328 4327 8046  4 48 47  1  0  0
 5  0      0 10119164  11836 493928    0    0     0   316 4569 8227  4 45 51  1  0  0
 5  0      0 10118156  11852 494856    0    0     0    96 4453 7967  3 47 49  1  0  0
10  0      0 10114880  11868 496288    0    0     0    96 4554 8016  4 47 49  1  0  0
 6  0      0 10113872  11884 497788    0    0     0    96 4773 8410  4 43 52  0  0  0
 9  0      0 10112612  11908 498704    0    0     0   140 4664 8367  4 44 51  1  0  0
 7  0      0 10111100  11940 500336    0    0     0   204 4392 7849  3 47 50  1  0  0
 5  0      0 10110596  11956 501700    0    0     0    96 5146 8748  4 46 49  1  0  0
 6  0      0 10109336  11972 502960    0    0     0   108 5248 8884  4 42 54  1  0  0
 4  0      0 10107068  11988 504372    0    0     0   108 4878 8510  5 46 48  0  0  0
 7  0      0 10105556  12012 505716    0    0     0   116 5012 8599 11 40 49  1  0  0
12  0      0 10104548  12044 506988    0    0     0   212 4652 8472  4 43 52  1  0  0
 8  0      0 10103036  12060 508368    0    0     0    96 4836 8530  3 48 49  0  0  0
 8  0      0 10101272  12076 509728    0    0     0    96 5072 8552  4 44 52  0  0  0
 4  0      0 10100012  12092 510992    0    0     0    96 4668 8488  4 46 49  1  0  0
10  0      0 10098752  12108 512348    0    0     0   100 5121 8800  3 44 52  1  0  0
 4  0      0 10097492  12148 513656    0    0     0   272 4706 8346  3 47 48  2  0  0
13  0      0 10096232  12164 515024    0    0     0    96 5221 8864  5 40 55  0  0  0
 7  0      0 10094720  12180 516316    0    0     0    96 4898 8454  3 45 51  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 10093208  12196 517660    0    0     0   408 4786 8393  4 49 47  1  0  0
 4  0      0 10074056  12212 518988    0    0     0   100 5010 8750  6 45 49  0  0  0
 4  0      0 10064984  12256 520356    0    0     0   232 5032 8589  5 47 47  1  0  0
 7  0      0 10051880  12272 521644    0    0     0    96 4777 8174  3 48 48  0  0  0
 2  0      0 10029956  12288 523036    0    0     0    96 4977 8633  4 47 49  0  0  0
 6  0      0 10029956  12312 524132    0    0     0 39616 3812 7395  4 55 40  2  0  0
11  0      0 10029704  12328 525424    0    0     0   104 4821 8689  3 46 50  0  0  0
 0  0      0 10029200  12368 526696    0    0     0   260 4579 8051  5 46 48  1  0  0
 4  0      0 10026944  12384 528068    0    0     0   104 4964 8677  3 46 51  0  0  0
12  0      0 10026188  12400 529404    0    0     0    96 5062 8747  3 45 52  1  0  0
11  0      0 10025432  12416 530712    0    0     0    96 4997 8624  3 44 53  0  0  0
 6  0      0 10024424  12432 532068    0    0     0   100 4733 8438  4 45 50  1  0  0
 7  0      0 10023668  12472 533360    0    0     0   260 4727 8439  4 45 50  1  0  0
 4  0      0 10022660  12488 534704    0    0     0   248 4610 8434  3 47 49  1  0  0
 4  0      0 10021652  12504 536000    0    0     0    96 4809 8416  4 46 50  1  0  0
