procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0     12 10857720   6628 293008    0    0   701 39475 3704   13  6 20 73  1  0  0
 2  0     12 10864272   6696 293084    0    0    36   104 1394 1115  1  1 98  0  0  0
 1  0     12 10862812   6720 293084    0    0     0   132 1274  756  0  1 99  0  0  0
 1  0     12 10819604   6876 298856    0    0  6136   744 6563 5712 15 12 70  4  0  0
10  0     12 10338596   6900 406412    0    0   688    60 6645 8010 34 29 36  1  0  0
11  0     12 8971000   6916 877336    0    0     0    96 5149 11381 44 30 26  0  0  0
10  0     12 8002708   6948 1456696    0    0     0 229980 5132 12698 44 36 20  0  0  0
10  0     12 7504820   7040 1870184    0    0     0 410184 4072 9176 39 44 16  1  0  0
13  0     12 7162044   7056 2187988    0    0     0 794964 3090 7416 32 51 15  1  0  0
 8  0     12 6365948   7072 2681632    0    0     0 254504 5000 10699 40 42 18  0  0  0
12  1     12 5888216   7112 3157704    0    0   160 254252 5464 10242 35 42 22  1  0  0
13  0     12 5302600   7152 3588420    0    0     0 426268 4551 10267 32 50 17  0  0  0
 9  0     12 4932992   7176 3951992    0    0     0 393420 4896 9263 29 52 18  1  0  0
12  1     12 4489144   7464 4285520    0    0   920 436568 4578 8943 25 54 20  1  0  0
12  0     12 4253728   7480 4516388    0    0     0 485616 3682 7064 24 61 14  1  0  0
 7  0     12 3702404   7512 4937620    0    0     0 118360 6146 10670 30 47 23  0  0  0
 8  0     12 3822372   7528 5235728    0    0     0 152120 6131 8289 25 60 15  1  0  0
 8  1     12 3479632   7552 5578568    0    0     0 340508 4495 8973 31 51 18  0  0  0
13  0     12 2991428   7568 6014960    0    0     0 630556 3808 10246 37 48 14  1  0  0
11  0     12 2541972   7584 6442008    0    0     0 461968 4650 10403 34 45 20  1  0  0
 7  0     12 1983500   7616 6817792    0    0     0 133524 5993 10327 36 45 19  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0     12 1527232   7632 7137876    0    0     0 442468 4581 9017 45 42 13  0  0  0
 5  0     12 1641768   7648 7602400    0    0     0 344200 5074 11057 37 48 15  0  0  0
12  0     12 1026996   7672 8020344    0    0     0 498352 4586 10199 31 53 16  0  0  0
 9  0     12 756136   7688 8300944    0    0     0 580996 3775 8100 28 55 16  1  0  0
12  1     12 219688   5372 8619884    0    0     0 48092 6812 11550 30 43 27  1  0  0
15  4     12 273608   5460 8341684    0    0    68 502740 3783 6514 18 64 14  5  0  0
 8  0     12 140188   5596 8384592    0    0     0 452600 3742 8725 24 44 29  3  0  0
11  0     12 800360   5612 8255804    0    0     0    96 7158 11174 28 47 25  0  0  0
17  0     12 484208   5632 8618224    0    0     0 315492 4855 9060 27 53 19  1  0  0
 7  0     12 176204   5696 8689340    0    0     0 452532 4081 9800 23 58 19  0  0  0
10  0     12 126868   5724 8711528    0    0     0 352400 4472 8923 26 58 15  1  0  0
15  1     12 154264   5796 8685044    0    0     0 334604 4719 9678 27 51 21  1  0  0
10  0     12 130156   5880 8697880    0    0     0 304184 4812 8555 26 55 19  0  0  0
 7  0     12 212840   5944 8754004    0    0     4 378592 4804 7980 21 60 17  2  0  0
12  2     12 176300   6076 8785932    0    0     0 466256 4071 9008 23 61 15  1  0  0
 5  0     12 176932   5960 8780908    0    0     0 185540 5313 9831 27 52 21  0  0  0
13  2     12 195512   5988 8759752    0    0     0 340760 4488 7880 22 57 20  1  0  0
12  0     12 164176   6008 8694292    0    0     0 325280 4392 8865 22 58 19  1  0  0
11  2     12 138468   4880 8432452    0    0     8 326788 4554 8827 22 58 19  1  0  0
 8  0     12 149308   4912 8287780    0    0    16 490028 3369 7014 17 66 15  3  0  0
 5  0     12 344492   4928 8379556    0    0     0 228168 4568 6325 21 68 11  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0     12 210144   4860 8520204    0    0     0 149696 5849 10692 26 51 22  1  0  0
 8  0     12 162024   4876 8567804    0    0     0 275492 4606 9483 27 56 16  1  0  0
 6  0     12 156968   4892 8572524    0    0     4 305524 3898 8243 22 63 14  0  0  0
 7  0     12 205460   4924 8519580    0    0     0 420064 3476 7205 19 66 14  1  0  0
 9  0     12 163208   4940 8568544    0    0     0 386712 3530 7063 20 59 18  2  0  0
 7  1     12 201940   4960 8413636    0    0     0 167976 6019 11382 27 47 25  1  0  0
 8  0     12 151668   4980 8364388    0    0     0 291408 4587 7784 22 56 20  3  0  0
 4  0     12 638660   4996 8557004    0    0     0 285652 4476 8049 22 60 18  0  0  0
10  0     12 303380   5028 8886472    0    0     0 303296 4558 8493 24 58 16  2  0  0
12  0     12 154576   5044 9051524    0    0     0 409044 3269 6180 16 65 18  2  0  0
13  1     12 167232   5132 8888564    0    0     8 299040 4260 8793 19 52 26  2  0  0
12  0     12 202784   5244 8850272    0    0     0 442452 3212 5802 14 60 12 14  0  0
 6  0     12 151148   5308 8541868    0    0     0 155872 5544 11768 23 51 24  1  0  0
 6  0     12 641432   5340 8485992    0    0     0 129152 5308 9897 24 51 24  2  0  0
11  0     12 265120   5360 8863640    0    0     0 326580 4211 9452 22 56 20  1  0  0
 7  0     12 178276   5376 8953088    0    0     0 329924 3847 7932 19 54 25  1  0  0
 9  0     12 145704   5408 8844756    0    0     0 344196 3711 8324 20 54 24  2  0  0
 8  0     12 152264   5448 8749364    0    0     0 282332 4799 9385 22 50 27  1  0  0
15  0     12 158560   5496 8452676    0    0     0 437844 3572 7175 18 61 19  3  0  0
 8  0     12 227440   5564 8309012    0    0    12 520900 3372 5621 15 51 30  4  0  0
 0  0     12 1321536   5564 8309032    0    0    16 43348 2241 1721  4  4 91  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0     12 1321676   5572 8309020    0    0     0   192  615  411  0  0 100  0  0  0
 0  0     12 1319912   5572 8309020    0    0     0     0  898  609  0  1 99  0  0  0
 5  0     12 1319912   5572 8309028    0    0     0     0 1168  970  0  1 99  0  0  0
 3  2     12 1319912   5580 8309020    0    0     0 15624  892  493  0  0 99  0  0  0
 2  0     12 1319408   5580 8309028    0    0     0 18732 1144  631  0  1 98  1  0  0
 0  0     12 1318664   5588 8309052    0    0     0   128  815  507  0  1 99  0  0  0
 0  0     12 1318664   5588 8309052    0    0     0     0  715  437  0  0 99  0  0  0
 1  0     12 1318664   5588 8309052    0    0     4     0  726  502  0  0 100  0  0  0
 0  0     12 1315400   5612 8309092    0    0     0    96 1217  672  1  1 98  0  0  0
 0  0     12 1314564   5612 8309096    0    0     0     0 1455  629  0  1 99  0  0  0
 0  0     12 1314312   5612 8309096    0    0     0   132  900  394  0  0 100  0  0  0
 0  0     12 1314312   5612 8309104    0    0     0     0  728  428  0  0 100  0  0  0
 0  0     12 1314312   5612 8309104    0    0     0     0  640  368  0  0 100  0  0  0
 1  0     12 1312552   5620 8309104    0    0     0    60  978  591  0  0 99  0  0  0
 0  0     12 1314384   5620 8309112    0    0     0    76  930  707  0  0 99  0  0  0
 1  0     12 1314384   5620 8309112    0    0     0     0  676  371  0  0 100  0  0  0
 0  0     12 1314384   5620 8309112    0    0     0     0  717  468  0  0 99  0  0  0
 1  0     12 1314384   5620 8309112    0    0     0     0  603  340  0  0 100  0  0  0
 0  0     12 1313884   5628 8309120    0    0     0    28  989  615  0  0 99  0  0  0
 0  0     12 1312384   5628 8309136    0    0     0     0 1040  626  0  1 99  0  0  0
 0  0     12 1312384   5628 8309140    0    0     0    36  756  379  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 1312384   5628 8309148    0    0     0     0  823  454  0  0 100  0  0  0
 1  0     12 1312384   5636 8309148    0    0     0    28 1130  624  0  1 99  0  0  0
 2  0     12 1311880   5636 8309152    0    0     0     0 1100  600  0  1 99  0  0  0
 0  0     12 1311880   5636 8309152    0    0     0     0  719  446  0  0 100  0  0  0
 1  0     12 1311880   5636 8309160    0    0     0    56  615  404  0  0 100  0  0  0
 2  0     12 1310372   5636 8309160    0    0     0     0 1184  666  0  0 99  0  0  0
 4  0     12 1310372   5644 8309168    0    0     0 185160 1078  486  0  2 98  0  0  0
 4  0     12 1309124   5644 8309168    0    0     0     0  904  505  0  1 99  0  0  0
 1  0     12 1309124   5644 8309168    0    0     0    52  716  450  0  0 100  0  0  0
 1  0     12 1309124   5644 8309176    0    0     0     0  954  744  0  0 99  0  0  0
 3  0     12 1307868   5652 8309180    0    0     0   200 1104  650  0  1 99  0  0  0
 1  0     12 1305856   5664 8309188    0    0     0    92 1109  617  0  1 99  0  0  0
 0  0     12 1305856   5664 8309188    0    0     0     0  871  351  0  0 99  0  0  0
 0  0     12 1305856   5664 8309188    0    0     0    48  691  420  0  0 100  0  0  0
 1  0     12 1305856   5664 8309188    0    0     0     0  459  262  0  0 100  0  0  0
 1  0     12 1305364   5672 8309300    0    0     0    44 1230  541  0  1 99  0  0  0
 1  0     12 1305124   5672 8309320    0    0     0     0 1063  621  0  1 98  0  0  0
 1  0     12 1305124   5672 8309320    0    0     0     4  764  338  0  0 100  0  0  0
 0  0     12 1305124   5676 8309316    0    0     0   164  633  362  0  0 100  0  0  0
 0  0     12 1305124   5676 8309328    0    0     0     0  882  366  0  1 99  0  0  0
 0  0     12 1304116   5676 8309328    0    0     0     0  870  518  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
