procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 10924648   4412 286864    0    0   462  1871 2835    9  3 13 83  0  0  0
 2  0      0 10929308   4448 286944    0    0    36    16 1377 1141  0  1 98  0  0  0
 2  1      0 10915680   4596 287016    0    0   268    80 1109  851  0  0 99  0  0  0
 2  1      0 10888996   4596 293684    0    0  6680   232 6269 5843 13 12 71  3  0  0
 1  1      0 10813900   4596 298296    0    0   776  2464 5799 10858 45 31 20  4  0  0
 6  1      0 10794020   5136 301180    0    0  1360  2488 5792 10945 36 43 17  4  0  0
10  0      0 10759748   5136 303408    0    0   220  1384 5802 9293 34 32 32  3  0  0
 9  0      0 10731272   5144 304976    0    0     0    64 6745 7856 38 22 40  0  0  0
12  0      0 10725224   5144 306480    0    0     0    16 6184 7493 34 24 42  0  0  0
13  0      0 10706828   5144 307968    0    0    64    16 5876 7869 37 20 43  0  0  0
 8  0      0 10686920   5280 309820    0    0   288   144 6498 10115 36 29 34  0  0  0
 7  0      0 10669028   5280 311448    0    0    16    16 6312 9834 27 34 39  0  0  0
15  0      0 10644080   5288 312628    0    0     0   476 5277 8674 26 33 41  0  0  0
11  0      0 10616108   5288 314032    0    0     0    16 5985 9170 26 33 40  0  0  0
 9  0      0 10611824   5288 315516    0    0    56    16 6020 9645 35 29 36  0  0  0
 7  0      0 10611824   5288 316744    0    0     0   116 4976 8219 15 36 49  0  0  0
 2  0      0 10610312   5288 318392    0    0     0    16 6950 9848 33 31 35  0  0  0
 8  0      0 10609556   5296 319968    0    0     0    72 7446 10353 36 32 33  0  0  0
19  0      0 10608296   5296 321396    0    0     0    16 5509 8611 17 29 54  0  0  0
 3  0      0 10589900   5296 323176    0    0     0    16 7394 11072 41 29 29  0  0  0
 8  0      0 10589648   5296 324464    0    0     0   116 5182 8579 12 47 41  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 10568732   5296 326028    0    0     0    16 6666 9941 36 27 37  0  0  0
12  0      0 10567976   5304 327272    0    0     0    36 4958 8324 11 47 42  0  0  0
 8  0      0 10566744   5304 328532    0    0     0    16 4937 8326 18 44 37  0  0  0
 7  0      0 10565232   5304 329824    0    0     0    16 5128 8570 17 43 40  0  0  0
 7  0      0 10564224   5304 331084    0    0     0   128 4914 8038 12 43 44  0  0  0
 4  0      0 10562964   5304 332512    0    0     0    20 5825 9457 14 37 49  0  0  0
 8  0      0 10558932   5304 333796    0    0     0    16 5672 9286 14 35 51  0  0  0
 7  0      0 10557924   5312 335148    0    0    12    76 4808 8455 11 40 48  1  0  0
 4  0      0 10555656   5312 336584    0    0     0    20 5726 9543 14 39 47  0  0  0
 3  0      0 10553892   5312 337840    0    0     0   164 4994 8752  6 41 52  0  0  0
 6  0      0 10552128   5312 339032    0    0     0    16 4257 7859  4 45 51  0  0  0
13  0      0 10551372   5312 340240    0    0     0    16 4640 8095  4 44 51  0  0  0
12  0      0 10550868   5320 341592    0    0     0   220 5236 9125 10 42 47  1  0  0
11  0      0 10549608   5320 343136    0    0     0    16 4971 8580  6 45 48  0  0  0
 8  0      0 10548348   5320 344360    0    0     0   148 4859 8649  5 43 51  0  0  0
 2  0      0 10546332   5320 345528    0    0     0   156 4482 7868  4 35 61  0  0  0
 7  0      0 10545072   5320 346876    0    0     0    16 5260 8973  6 40 54  0  0  0
 7  0      0 10552884   5328 348064    0    0     0   336 4458 8015 12 35 53  0  0  0
 6  0      0 10551744   5328 349332    0    0     0    16 4874 8540 13 43 44  0  0  0
10  0      0 10550484   5328 350564    0    0     8   352 4749 8689  4 45 50  1  0  0
 4  0      0 10549476   5328 351788    0    0     0    16 4733 8629  5 44 52  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 10548468   5328 353072    0    0     0    16 4716 8499  5 45 50  0  0  0
 2  0      0 10546704   5336 354324    0    0     0    64 4891 8621  6 44 50  0  0  0
 6  0      0 10545696   5336 355672    0    0     0    16 5532 9327 16 34 50  0  0  0
 2  0      0 10544436   5336 356964    0    0     0   116 4749 8614  4 46 50  0  0  0
 6  0      0 10542672   5336 358172    0    0     0    16 4536 8468  7 44 48  0  0  0
 7  0      0 10541412   5336 359572    0    0     0    16 5303 9187  6 41 54  0  0  0
 6  0      0 10539900   5344 360824    0    0     0    40 4649 8229  5 44 51  0  0  0
10  0      0 10539144   5344 362152    0    0     0    16 5450 9223  6 40 54  0  0  0
 6  0      0 10537884   5344 363476    0    0     0   160 4735 8591  5 43 51  0  0  0
 7  0      0 10536372   5344 364780    0    0     0    16 5337 9095  5 39 56  0  0  0
 5  0      0 10535616   5344 366020    0    0     0    16 4566 8222  4 42 53  0  0  0
 6  0      0 10534104   5352 367272    0    0     0    36 4819 8313  3 44 52  0  0  0
 5  0      0 10532844   5352 368468    0    0     0    20 4595 7982  4 47 49  0  0  0
 6  0      0 10531080   5352 369728    0    0     0   156 4939 8785  6 44 50  0  0  0
 8  0      0 10528812   5352 370984    0    0     0    16 4597 8314  3 45 52  0  0  0
 2  0      0 10528056   5352 372260    0    0     0    16 5029 8742  8 44 48  0  0  0
 6  0      0 10526544   5352 373600    0    0     0    16 4995 8865  4 42 53  0  0  0
 7  0      0 10526292   5360 374888    0    0     0    36 5040 8790  6 43 51  0  0  0
 8  0      0 10524528   5360 376188    0    0     0   132 4655 8341  3 45 50  1  0  0
 8  0      0 10523268   5360 377400    0    0     0    24 4939 8577  5 43 52  0  0  0
 8  0      0 10522008   5360 378704    0    0     0    16 5037 8569  4 43 52  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0      0 10521000   5360 380020    0    0     0    16 4872 8692  3 47 50  0  0  0
 3  0      0 10519488   5368 381316    0    0     0    32 4926 8583  5 44 51  0  0  0
 9  0      0 10518984   5368 382528    0    0     0   128 4549 8469  4 48 47  1  0  0
 5  0      0 10517724   5368 383828    0    0     0    16 4781 8491  5 45 50  0  0  0
 6  0      0 10516212   5368 385124    0    0     0    16 5089 8965  4 43 53  0  0  0
10  0      0 10515204   5368 386312    0    0     0    16 4688 8323  5 43 52  0  0  0
 3  0      0 10514196   5376 387676    0    0     0   180 4809 8540  5 46 49  1  0  0
 7  0      0 10512432   5376 388936    0    0     0   296 5005 8505  4 44 51  1  0  0
 5  0      0 10511172   5376 390136    0    0     0   152 4576 8342  4 48 48  0  0  0
 5  0      0 10509660   5376 391604    0    0     0    16 5279 9107  5 41 54  0  0  0
 5  0      0 10507644   5376 392976    0    0     0    16 5371 9115 12 40 48  0  0  0
10  0      0 10506384   5384 394348    0    0     0    84 5371 9198  4 40 55  0  0  0
 4  0      0 10504872   5384 395672    0    0     0   168 5407 9148  3 42 54  0  0  0
 6  0      0 10503360   5384 396980    0    0     0    16 5080 8607  3 45 52  0  0  0
 2  0      0 10502100   5384 398348    0    0     0    16 5447 9281  4 41 55  0  0  0
12  0      0 10500840   5384 399620    0    0     0    16 5020 8879  4 43 53  0  0  0
 6  0      0 10499328   5392 400912    0    0     0   224 4845 8605  4 46 49  0  0  0
 0  0      0 10498068   5392 402244    0    0     4   160 4810 8521  3 47 49  0  0  0
 0  0      0 10497060   5392 403536    0    0     0    16 5305 9028  4 41 55  0  0  0
 7  0      0 10493532   5392 404972    0    0     0    16 5549 9049 10 36 54  0  0  0
 5  0      0 10474632   5392 406412    0    0     0    20 5670 9307  6 41 53  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 10462536   5400 407624    0    0     0   112 4589 8225  5 47 48  1  0  0
 3  0      0 10447920   5400 408856    0    0     0   140 4931 8662  4 42 54  0  0  0
 5  0      0 10446660   5400 410172    0    0     0    16 4860 8502  4 43 53  0  0  0
 3  0      0 10446156   5400 411396    0    0     0    16 5196 8920  4 42 54  0  0  0
 5  0      0 10445148   5400 412644    0    0     0    16 4891 8503  3 43 53  0  0  0
11  0      0 10444392   5408 413912    0    0     0   108 4672 8366  4 48 48  0  0  0
 2  0      0 10443384   5408 415300    0    0     0   144 4836 8597  4 45 51  0  0  0
 6  0      0 10442880   5408 416432    0    0     0    16 4377 8036  3 49 48  0  0  0
 8  0      0 10441116   5408 417768    0    0     0    16 4859 8472  4 44 52  0  0  0
 3  0      0 10440360   5408 419020    0    0     0    16 4995 8755  4 43 53  0  0  0
 8  0      0 10438092   5416 420284    0    0     0    40 4953 8623  4 45 51  0  0  0
 4  0      0 10437336   5416 421536    0    0     0   156 4628 8287  5 41 53  1  0  0
