procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0     12 10889296   5208 292804    0    0   740 41379 3618   13  6 19 74  1  0  0
 2  0     12 10888852   5244 292896    0    0    36    44 1520 1149  1  1 98  0  0  0
 1  0     12 10871464   5244 292912    0    0     0    16 1075  744  0  0 99  0  0  0
 3  0     12 10851712   5400 299420    0    0  6628   208 6345 5752 15 12 70  3  0  0
 1  1     12 10319320   5400 400464    0    0  1108  2748 6769 9914 44 33 20  3  0  0
13  0     12 9555748   5400 670596    0    0     4  5068 5659 11108 43 43 11  2  0  0
16  0     12 8655248   5408 1213956    0    0   228   196 4780 12904 47 29 23  0  0  0
 7  0     12 8134316   5408 1528052    0    0     0 278872 3621 7615 27 32 40  0  0  0
 6  0     12 7292960   5420 1933504    0    0     0 424200 4324 9366 30 56 14  0  0  0
10  0     12 6755684   5428 2349340    0    0    72 530520 3693 10743 40 49 10  0  0  0
 8  1     12 6160660   5428 2768100    0    0     8 352940 4401 11868 39 47 14  1  0  0
10  0     12 5793724   5428 3119500    0    0   148 384276 4168 12244 39 51 10  1  0  0
 7  0     12 5343832   5428 3561132    0    0     0 397536 4281 12891 34 51 15  1  0  0
12  0     12 4914432   5436 3996136    0    0     0 446512 3928 13586 33 53 14  0  0  0
12  0     12 4584324   5436 4308160    0    0    56 409156 4029 10524 30 52 17  1  0  0
10  0     12 4115620   5436 4617440    0    0     0 225668 5572 11225 28 52 19  1  0  0
13  0     12 3642856   5436 4969392    0    0     4 360632 4445 11684 30 54 16  1  0  0
 9  1     12 3244028   5436 5372168    0    0     0 419908 4068 13649 33 52 15  0  0  0
10  0     12 2930224   5448 5658932    0    0     0 319616 3738 11976 16 17 67  1  0  0
12  0     12 2588864   5448 5996144    0    0     0 451576 3893 11705 38 45 17  1  0  0
11  0     12 2217096   5448 6316816    0    0     0 424108 4130 11497 29 51 18  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
15  0     12 2420284   5448 6588612    0    0     4  6568 8078 10650 36 54  9  1  0  0
