filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,app_avg_mean,app_avg_stdev,app_avg_cv_pct,app_p50_mean,app_p90_mean,app_p99_mean,app_p99_stdev,app_p99_cv_pct,app_max_mean,block_util_mean,block_await_mean,block_await_stdev,block_await_cv_pct,block_wkB_s_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,1,100000,1961.98,2.0,0,294564,14.28,0.0,0.0,13.06,24.61,42.18,0.0,0.0,171.49,3.792894736842105,4.358092105263158,0.0,0.0,2161.1115789473683,0.75,0
ext4,1024,scenario_b,1,100000,1891.08,1.9,0,283984,16.57,0.0,0.0,14.03,29.32,65.05,0.0,0.0,316.94,31.534934210526316,11.545921052631579,0.0,0.0,2891.1157894736843,4.6381578947368425,0
ext4,10240,scenario_a,1,10000,1988.29,19.9,0,298625,17.29,0.0,0.0,12.8,34.5,92.75,0.0,0.0,261.07,13.53171052631579,8.957828947368421,0.0,0.0,22149.18736842105,0.9276315789473685,0
ext4,10240,scenario_b,1,10000,1890.96,18.9,0,284002,31.23,0.0,0.0,16.29,61.86,279.11,0.0,0.0,661.81,34.993973509933774,12.372980132450332,0.0,0.0,18802.67443708609,4.509933774834437,0
ext4,102400,scenario_a,1,1000,710.45,71.0,0,106667,18.71,0.0,0.0,15.45,31.69,79.68,0.0,0.0,345.75,22.10078947368421,8.854407894736843,0.0,0.0,73906.59368421053,0.8881578947368421,0
ext4,102400,scenario_b,1,1000,694.94,69.5,0,104328,25.07,0.0,0.0,16.95,50.06,145.59,0.0,0.0,538.27,38.2525,11.03703947368421,0.0,0.0,69806.34947368421,3.966887417218543,0
ext4,1024000,scenario_a,1,100,92.35,92.3,0,13864,25.47,0.0,0.0,17.66,51.68,103.43,0.0,0.0,202.48,24.587302631578947,7.259802631578947,0.0,0.0,91937.48210526316,0.4407894736842105,0
ext4,1024000,scenario_b,1,100,91.08,91.1,0,13711,33.84,0.0,0.0,26.41,64.48,136.23,0.0,0.0,277.47,36.17578947368421,10.111842105263158,0.0,0.0,91045.72631578948,3.3552631578947367,0
f2fs,1024,scenario_a,1,100000,1985.23,2.0,0,298169,13.85,0.0,0.0,12.81,23.96,38.84,0.0,0.0,93.99,1.6755263157894738,2.0492763157894736,0.0,0.0,645.9957894736842,0.6381578947368421,0
f2fs,1024,scenario_b,1,100000,1799.19,1.8,0,270267,16.96,0.0,0.0,14.52,31.02,61.4,0.0,0.0,125.09,32.41769736842105,9.396447368421052,0.0,0.0,995.84,4.230263157894737,0
f2fs,10240,scenario_a,1,10000,1972.15,19.7,0,296178,17.33,0.0,0.0,13.28,34.95,80.07,0.0,0.0,312.34,16.631315789473685,6.840197368421053,0.0,0.0,22027.04842105263,0.8092105263157895,0
f2fs,10240,scenario_b,1,10000,1887.32,18.9,0,283592,25.97,0.0,0.0,19.52,56.19,104.58,0.0,0.0,277.86,42.26565789473684,11.231118421052631,0.0,0.0,18375.20842105263,4.190789473684211,0
f2fs,102400,scenario_a,1,1000,708.97,70.9,0,106457,16.91,0.0,0.0,14.96,29.04,52.61,0.0,0.0,173.04,28.75834437086093,8.846293765252657,0.0,0.0,70775.01456953642,1.185430463576159,0
f2fs,102400,scenario_b,1,1000,693.12,69.3,0,104069,21.32,0.0,0.0,17.55,40.23,73.83,0.0,0.0,186.29,52.70933774834437,11.077020373568127,0.0,0.0,71144.67178807947,4.132450331125828,0
f2fs,1024000,scenario_a,1,100,92.31,92.3,0,13866,24.39,0.0,0.0,17.77,48.82,83.58,0.0,0.0,172.28,30.902236842105264,8.499078947368421,0.0,0.0,94715.55368421052,0.743421052631579,0
f2fs,1024000,scenario_b,1,100,89.02,89.0,0,13371,34.84,0.0,0.0,29.27,62.18,119.92,0.0,0.0,445.83,50.61019867549669,10.432649006622517,0.0,0.0,90693.10304635762,3.8741721854304636,0
