filesystem,record_size,scenario,rounds,target_ops_mean,achieved_ops_mean,achieved_pct_mean,send_errors_mean,requests_mean,avg_ms_mean,avg_ms_stdev,avg_ms_cv_pct,p50_ms_mean,p90_ms_mean,p99_ms_mean,p99_ms_stdev,p99_ms_cv_pct,max_ms_mean,disk_util_mean,disk_await_mean,cpu_iowait_mean,bottleneck_rounds
ext4,1024,scenario_a,1,200000,4929.96,2.5,0,444781,85.42,0.0,0.0,71.66,173.05,290.6,0.0,0.0,833.98,87.01,0.0,10.923076923076923,1
ext4,1024,scenario_b,1,200000,4898.27,2.4,0,441795,106.2,0.0,0.0,90.4,211.27,355.6,0.0,0.0,714.79,88.9532967032967,0.0,11.736263736263735,1
ext4,10240,scenario_a,1,20000,2130.33,10.7,0,236024,30413.98,0.0,0.0,33134.89,35512.41,36434.82,0.0,0.0,37234.84,80.39401785714286,0.0,11.705357142857142,1
ext4,10240,scenario_b,1,20000,1869.71,9.3,0,210324,34553.12,0.0,0.0,37482.15,41371.02,43421.48,0.0,0.0,44565.67,79.33508771929824,0.0,11.610619469026549,0
ext4,102400,scenario_a,1,2000,804.85,40.2,0,81108,13087.1,0.0,0.0,13100.56,14102.73,14832.67,0.0,0.0,15778.72,86.17156862745098,0.0,13.696078431372548,1
ext4,102400,scenario_b,1,2000,751.13,37.6,0,75377,14109.58,0.0,0.0,14315.59,15323.45,16015.87,0.0,0.0,16998.19,85.78059405940594,0.0,13.306930693069306,1
ext4,1024000,scenario_a,1,200,119.6,59.8,538,14382,1715.43,0.0,0.0,1610.74,2504.49,3444.45,0.0,0.0,4769.54,63.22108333333333,0.0,10.658333333333333,0
ext4,1024000,scenario_b,1,200,120.44,60.2,1033,14465,3753.22,0.0,0.0,3277.53,6455.66,8598.21,0.0,0.0,10325.97,69.45533333333333,0.0,10.575,0
f2fs,1024,scenario_a,1,200000,5254.16,2.6,0,473715,36.81,0.0,0.0,27.56,80.03,136.03,0.0,0.0,287.2,74.75263736263736,0.0,5.846153846153846,0
f2fs,1024,scenario_b,1,200000,4726.94,2.4,0,427741,428.78,0.0,0.0,318.61,964.25,1382.45,0.0,0.0,1981.11,88.92369565217392,0.0,16.47826086956522,1
f2fs,10240,scenario_a,1,20000,2394.59,12.0,0,262090,26688.64,0.0,0.0,29030.18,30683.15,31828.11,0.0,0.0,32479.3,86.46720720720721,0.0,14.39090909090909,1
f2fs,10240,scenario_b,1,20000,1964.92,9.8,0,216235,33485.78,0.0,0.0,36797.32,40009.35,41034.28,0.0,0.0,42287.25,80.5709009009009,0.0,14.36936936936937,1
f2fs,102400,scenario_a,1,2000,770.53,38.5,0,78609,13632.4,0.0,0.0,13696.32,14478.06,15164.6,0.0,0.0,16176.52,86.04776699029127,0.0,12.339805825242719,1
f2fs,102400,scenario_b,1,2000,667.38,33.4,0,67967,15984.79,0.0,0.0,16178.47,17043.9,17672.23,0.0,0.0,18259.31,82.23417475728155,0.0,13.776699029126213,1
f2fs,1024000,scenario_a,1,200,129.89,64.9,888,15607,1871.66,0.0,0.0,1646.3,2720.81,7868.48,0.0,0.0,11212.8,73.00033333333333,0.0,9.851239669421487,0
f2fs,1024000,scenario_b,1,200,159.45,79.7,0,15214,5229.87,0.0,0.0,5466.06,7605.79,9184.21,0.0,0.0,12270.69,92.41670103092784,0.0,13.0,1
